,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,44964000.0,310610000.0,817383000.0,701882000.0
Repurchase Of Capital Stock,-14518000.0,-618480000.0,-906208000.0,-469691000.0
Repayment Of Debt,-4990000000.0,-2051081000.0,0.0,-1102568000.0
Issuance Of Debt,5404571000.0,2383618000.0,0.0,1347092000.0
Issuance Of Capital Stock,,,3074000.0,3270000.0
Capital Expenditure,-242411000.0,-425961000.0,-289639000.0,-267806000.0
Interest Paid Supplemental Data,73844000.0,46159000.0,36372000.0,34011000.0
Income Tax Paid Supplemental Data,98792000.0,94605000.0,177317000.0,146073000.0
End Cash Position,503471000.0,270805000.0,588050000.0,834992000.0
Beginning Cash Position,270805000.0,588050000.0,826980000.0,418665000.0
Effect Of Exchange Rate Changes,-8487000.0,-8664000.0,5474000.0,-467000.0
Changes In Cash,241153000.0,-308581000.0,-244404000.0,416794000.0
Financing Cash Flow,189267000.0,-620704000.0,-1064112000.0,-285997000.0
Cash Flow From Continuing Financing Activities,189267000.0,-620704000.0,-1064112000.0,-285997000.0
Net Other Financing Charges,-1493000.0,1469000.0,3021000.0,-4483000.0
Cash Dividends Paid,-209293000.0,-336230000.0,-160925000.0,-56347000.0
Common Stock Dividend Paid,-209293000.0,-336230000.0,-160925000.0,-56347000.0
Net Common Stock Issuance,-14518000.0,-618480000.0,-906208000.0,-469691000.0
Common Stock Payments,-14518000.0,-618480000.0,-906208000.0,-469691000.0
Common Stock Issuance,,,3074000.0,3270000.0
Net Issuance Payments Of Debt,414571000.0,332537000.0,0.0,244524000.0
Net Short Term Debt Issuance,-185000000.0,185000000.0,0.0,0.0
Short Term Debt Payments,-4990000000.0,-1850000000.0,0.0,-500000000.0
Short Term Debt Issuance,4805000000.0,2035000000.0,0.0,500000000.0
Net Long Term Debt Issuance,599571000.0,147537000.0,0.0,244524000.0
Long Term Debt Payments,0.0,-201081000.0,0.0,-602568000.0
Long Term Debt Issuance,599571000.0,348618000.0,0.0,847092000.0
Investing Cash Flow,-235489000.0,-424448000.0,-287314000.0,-266897000.0
Cash Flow From Continuing Investing Activities,-235489000.0,-424448000.0,-287314000.0,-266897000.0
Net Intangibles Purchase And Sale,0.0,-1900000.0,0.0,-230000.0
Purchase Of Intangibles,0.0,-1900000.0,0.0,-230000.0
Net PPE Purchase And Sale,-235489000.0,-422548000.0,-287314000.0,-266667000.0
Sale Of PPE,6922000.0,1513000.0,2325000.0,909000.0
Purchase Of PPE,-242411000.0,-424061000.0,-289639000.0,-267576000.0
Operating Cash Flow,287375000.0,736571000.0,1107022000.0,969688000.0
Cash Flow From Continuing Operating Activities,287375000.0,736571000.0,1107022000.0,969688000.0
Change In Working Capital,-50803000.0,-92713000.0,127657000.0,118963000.0
Change In Other Working Capital,-91987000.0,9732000.0,-134135000.0,-15569000.0
Change In Payables And Accrued Expense,111028000.0,60051000.0,393387000.0,294995000.0
Change In Accrued Expense,115673000.0,-167723000.0,102345000.0,78507000.0
Change In Payable,-4645000.0,227774000.0,291042000.0,216488000.0
Change In Account Payable,-4645000.0,227774000.0,291042000.0,216488000.0
Change In Inventory,44821000.0,-229643000.0,-124139000.0,-101449000.0
Change In Receivables,-114665000.0,67147000.0,-7456000.0,-59014000.0
Other Non Cash Items,3267000.0,2587000.0,-7985000.0,1467000.0
Stock Based Compensation,45647000.0,50978000.0,63067000.0,45271000.0
Deferred Tax,-47782000.0,16528000.0,58786000.0,8136000.0
Deferred Income Tax,-47782000.0,16528000.0,58786000.0,8136000.0
Depreciation Amortization Depletion,306454000.0,283800000.0,259933000.0,250081000.0
Depreciation And Amortization,306454000.0,283800000.0,259933000.0,250081000.0
Operating Gains Losses,857000.0,10989000.0,8949000.0,52749000.0
Gain Loss On Sale Of PPE,857000.0,3581000.0,8949000.0,4727000.0
Net Income From Continuing Operations,29735000.0,464402000.0,596615000.0,493021000.0
