,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-5781000.0,-330000.0,-139000.0,800000.0
Tax Rate For Calcs,0.141,0.165,0.139,0.1
Normalized EBITDA,10585000000.0,12133000000.0,12283000000.0,8833000000.0
Total Unusual Items,-41000000.0,-2000000.0,-1000000.0,8000000.0
Total Unusual Items Excluding Goodwill,-41000000.0,-2000000.0,-1000000.0,8000000.0
Net Income From Continuing Operation Net Minority Interest,5723000000.0,6933000000.0,7071000000.0,4471000000.0
Reconciled Depreciation,3243000000.0,3267000000.0,3538000000.0,3327000000.0
Reconciled Cost Of Revenue,16698000000.0,17888000000.0,17046000000.0,13808000000.0
EBITDA,10544000000.0,12131000000.0,12282000000.0,8841000000.0
EBIT,7301000000.0,8864000000.0,8744000000.0,5514000000.0
Net Interest Income,-252000000.0,-375000000.0,-490000000.0,-500000000.0
Interest Expense,637000000.0,558000000.0,533000000.0,546000000.0
Interest Income,385000000.0,183000000.0,43000000.0,46000000.0
Normalized Income,5758219000.0,6934670000.0,7071861000.0,4463800000.0
Net Income From Continuing And Discontinued Operation,5723000000.0,6933000000.0,7071000000.0,4495000000.0
Total Expenses,33631000000.0,35291000000.0,34650000000.0,29251000000.0
Total Operating Income As Reported,6478000000.0,8362000000.0,8425000000.0,5357000000.0
Diluted Average Shares,1749000000.0,1764000000.0,1789000000.0,1786000000.0
Basic Average Shares,1734076358.0,1737795021.0,1764082193.0,1771230274.0
Diluted EPS,3.26,3.91,3.94,2.5
Basic EPS,3.300316,3.989538,4.008317,2.537784
Diluted NI Availto Com Stockholders,5723000000.0,6933000000.0,7071000000.0,4495000000.0
Net Income Common Stockholders,5723000000.0,6933000000.0,7071000000.0,4495000000.0
Net Income,5723000000.0,6933000000.0,7071000000.0,4495000000.0
Net Income Including Noncontrolling Interests,5723000000.0,6933000000.0,7071000000.0,4495000000.0
Net Income Discontinuous Operations,,0.0,0.0,24000000.0
Net Income Continuous Operations,5723000000.0,6933000000.0,7071000000.0,4471000000.0
Tax Provision,941000000.0,1373000000.0,1140000000.0,497000000.0
Pretax Income,6664000000.0,8306000000.0,8211000000.0,4968000000.0
Other Income Expense,438000000.0,319000000.0,276000000.0,111000000.0
Other Non Operating Income Expenses,479000000.0,321000000.0,277000000.0,103000000.0
Special Income Charges,,,0.0,0.0
Gain On Sale Of Security,-41000000.0,-2000000.0,-1000000.0,8000000.0
Net Non Operating Interest Income Expense,-252000000.0,-375000000.0,-490000000.0,-500000000.0
Interest Expense Non Operating,637000000.0,558000000.0,533000000.0,546000000.0
Interest Income Non Operating,385000000.0,183000000.0,43000000.0,46000000.0
Operating Income,6478000000.0,8362000000.0,8425000000.0,5357000000.0
Operating Expense,15656000000.0,16149000000.0,16113000000.0,14248000000.0
Depreciation Amortization Depletion Income Statement,1966000000.0,2013000000.0,2047000000.0,2132000000.0
Depreciation And Amortization In Income Statement,1966000000.0,2013000000.0,2047000000.0,2132000000.0
Amortization,1966000000.0,2013000000.0,2047000000.0,2132000000.0
Amortization Of Intangibles Income Statement,1966000000.0,2013000000.0,2047000000.0,2132000000.0
Research And Development,2741000000.0,2888000000.0,2742000000.0,2420000000.0
Selling General And Administration,10949000000.0,11248000000.0,11324000000.0,9696000000.0
Gross Profit,22134000000.0,24511000000.0,24538000000.0,19605000000.0
Cost Of Revenue,17975000000.0,19142000000.0,18537000000.0,15003000000.0
Total Revenue,40109000000.0,43653000000.0,43075000000.0,34608000000.0
Operating Revenue,40109000000.0,43653000000.0,43075000000.0,34608000000.0
