,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,513000000.0,547000000.0,560000000.0,556000000.0
Share Issued,513000000.0,547000000.0,560000000.0,556000000.0
Net Debt,6997000000.0,8143000000.0,8596000000.0,9263000000.0
Total Debt,9596000000.0,10288000000.0,10581000000.0,11053000000.0
Tangible Book Value,17791000000.0,17740000000.0,15730000000.0,14415000000.0
Invested Capital,32497000000.0,33464000000.0,32016000000.0,29929000000.0
Working Capital,11105000000.0,11219000000.0,9961000000.0,9104000000.0
Net Tangible Assets,17791000000.0,17740000000.0,15730000000.0,14415000000.0
Capital Lease Obligations,1231000000.0,1108000000.0,1042000000.0,1124000000.0
Common Stock Equity,24132000000.0,24284000000.0,22477000000.0,20000000000.0
Total Capitalization,32391000000.0,32019000000.0,30488000000.0,27885000000.0
Total Equity Gross Minority Interest,24465000000.0,24616000000.0,22767000000.0,20096000000.0
Minority Interest,333000000.0,332000000.0,290000000.0,96000000.0
Stockholders Equity,24132000000.0,24284000000.0,22477000000.0,20000000000.0
Gains Losses Not Affecting Retained Earnings,-2487000000.0,-2509000000.0,-2172000000.0,-2604000000.0
Other Equity Adjustments,-2487000000.0,-2509000000.0,-2172000000.0,-2604000000.0
Retained Earnings,23465000000.0,23646000000.0,21655000000.0,19780000000.0
Capital Stock,3154000000.0,3147000000.0,2994000000.0,2824000000.0
Common Stock,3154000000.0,3147000000.0,2994000000.0,2824000000.0
Total Liabilities Net Minority Interest,30166000000.0,35158000000.0,33369000000.0,29623000000.0
Total Non Current Liabilities Net Minority Interest,11504000000.0,10967000000.0,11421000000.0,11441000000.0
Other Non Current Liabilities,1005000000.0,1014000000.0,1233000000.0,1391000000.0
Preferred Securities Outside Stock Equity,,,,74000000.0
Non Current Deferred Liabilities,1309000000.0,1402000000.0,1412000000.0,1302000000.0
Non Current Deferred Taxes Liabilities,1309000000.0,1402000000.0,1412000000.0,1302000000.0
Long Term Debt And Capital Lease Obligation,9190000000.0,8551000000.0,8776000000.0,8748000000.0
Long Term Capital Lease Obligation,931000000.0,816000000.0,765000000.0,863000000.0
Long Term Debt,8259000000.0,7735000000.0,8011000000.0,7885000000.0
Current Liabilities,18662000000.0,24191000000.0,21948000000.0,18182000000.0
Other Current Liabilities,1101000000.0,1543000000.0,1950000000.0,2584000000.0
Current Deferred Liabilities,8493000000.0,10550000000.0,9546000000.0,7086000000.0
Current Deferred Revenue,8493000000.0,10550000000.0,9546000000.0,7086000000.0
Current Debt And Capital Lease Obligation,406000000.0,1737000000.0,1805000000.0,2305000000.0
Current Capital Lease Obligation,300000000.0,292000000.0,277000000.0,261000000.0
Current Debt,106000000.0,1445000000.0,1528000000.0,2044000000.0
Other Current Borrowings,106000000.0,1445000000.0,1528000000.0,2044000000.0
Pensionand Other Post Retirement Benefit Plans Current,439000000.0,475000000.0,445000000.0,396000000.0
Payables And Accrued Expenses,8223000000.0,9886000000.0,8202000000.0,5811000000.0
Current Accrued Expenses,1381000000.0,1476000000.0,1294000000.0,931000000.0
Payables,6842000000.0,8410000000.0,6908000000.0,4880000000.0
Other Payable,73000000.0,223000000.0,220000000.0,238000000.0
Total Tax Payable,456000000.0,384000000.0,300000000.0,168000000.0
Income Tax Payable,284000000.0,248000000.0,132000000.0,41000000.0
Accounts Payable,6313000000.0,7803000000.0,6388000000.0,4474000000.0
Total Assets,54631000000.0,59774000000.0,56136000000.0,49719000000.0
Total Non Current Assets,24864000000.0,24364000000.0,24227000000.0,22433000000.0
Other Non Current Assets,1304000000.0,1332000000.0,1369000000.0,1054000000.0
Investments And Advances,5500000000.0,5467000000.0,5285000000.0,4913000000.0
