,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-284130000.0,-339360000.0,-390390000.0,-291870000.0
Tax Rate For Calcs,0.21,0.21,0.13,0.27
Normalized EBITDA,3904000000.0,3617000000.0,3906000000.0,3675000000.0
Total Unusual Items,-1353000000.0,-1616000000.0,-3003000000.0,-1081000000.0
Total Unusual Items Excluding Goodwill,-1353000000.0,-1616000000.0,-3003000000.0,-1081000000.0
Net Income From Continuing Operation Net Minority Interest,242000000.0,-546000000.0,-413000000.0,43000000.0
Reconciled Depreciation,1128000000.0,1053000000.0,1056000000.0,1068000000.0
Reconciled Cost Of Revenue,10164000000.0,10069000000.0,8430000000.0,6967000000.0
EBITDA,2551000000.0,2001000000.0,903000000.0,2594000000.0
EBIT,1423000000.0,948000000.0,-153000000.0,1526000000.0
Net Interest Income,-768000000.0,-728000000.0,-613000000.0,-770000000.0
Interest Expense,1319000000.0,1117000000.0,911000000.0,1038000000.0
Interest Income,551000000.0,389000000.0,298000000.0,268000000.0
Normalized Income,1310870000.0,730640000.0,2199610000.0,832130000.0
Net Income From Continuing And Discontinued Operation,249000000.0,-546000000.0,-409000000.0,46000000.0
Total Expenses,10419000000.0,10276000000.0,8596000000.0,7132000000.0
Diluted Average Shares,712000000.0,665853659.0,670491803.0,668000000.0
Basic Average Shares,669000000.0,665853659.0,670491803.0,657142857.0
Diluted EPS,0.35,-0.82,-0.61,0.07
Basic EPS,0.37,-0.82,-0.61,0.07
Diluted NI Availto Com Stockholders,249000000.0,-546000000.0,-409000000.0,46000000.0
Net Income Common Stockholders,249000000.0,-546000000.0,-409000000.0,46000000.0
Net Income,249000000.0,-546000000.0,-409000000.0,46000000.0
Minority Interests,431000000.0,-41000000.0,542000000.0,-106000000.0
Net Income Including Noncontrolling Interests,-182000000.0,-505000000.0,-951000000.0,152000000.0
Net Income Discontinuous Operations,7000000.0,0.0,4000000.0,3000000.0
Net Income Continuous Operations,-189000000.0,-505000000.0,-955000000.0,149000000.0
Earnings From Equity Interest Net Of Tax,-32000000.0,-71000000.0,-24000000.0,-123000000.0
Tax Provision,261000000.0,265000000.0,-133000000.0,216000000.0
Pretax Income,104000000.0,-169000000.0,-1064000000.0,488000000.0
Other Income Expense,-1377000000.0,-1782000000.0,-2996000000.0,-1270000000.0
Other Non Operating Income Expenses,-24000000.0,-166000000.0,7000000.0,-189000000.0
Special Income Charges,-1000000000.0,-1564000000.0,-2994000000.0,-1136000000.0
Gain On Sale Of Ppe,-30000000.0,-13000000.0,10000000.0,39000000.0
Gain On Sale Of Business,134000000.0,-24000000.0,-1683000000.0,-95000000.0
Other Special Charges,41000000.0,-5000000.0,28000000.0,216000000.0
Write Off,,,1575000000.0,864000000.0
Impairment Of Capital Assets,1079000000.0,1540000000.0,1575000000.0,864000000.0
Restructuring And Mergern Acquisition,-16000000.0,-8000000.0,-282000000.0,0.0
Gain On Sale Of Security,-353000000.0,-52000000.0,-9000000.0,55000000.0
Net Non Operating Interest Income Expense,-768000000.0,-728000000.0,-613000000.0,-770000000.0
Interest Expense Non Operating,1319000000.0,1117000000.0,911000000.0,1038000000.0
Interest Income Non Operating,551000000.0,389000000.0,298000000.0,268000000.0
Operating Income,2249000000.0,2341000000.0,2545000000.0,2528000000.0
Operating Expense,255000000.0,207000000.0,166000000.0,165000000.0
Selling General And Administration,255000000.0,207000000.0,166000000.0,165000000.0
General And Administrative Expense,255000000.0,207000000.0,166000000.0,165000000.0
Other Gand A,255000000.0,207000000.0,166000000.0,165000000.0
Salaries And Wages,12000000.0,0.0,-11000000.0,2000000.0
Gross Profit,2504000000.0,2548000000.0,2711000000.0,2693000000.0
Cost Of Revenue,10164000000.0,10069000000.0,8430000000.0,6967000000.0
Total Revenue,12668000000.0,12617000000.0,11141000000.0,9660000000.0
Operating Revenue,12668000000.0,12617000000.0,11141000000.0,9660000000.0
