,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3190000000.0,3879000000.0,5051000000.0,5958000000.0
Repurchase Of Capital Stock,-2801000000.0,-2401000000.0,-2301000000.0,-1537000000.0
Repayment Of Debt,0.0,-1416000000.0,-700000000.0,-350000000.0
Issuance Of Debt,204000000.0,1277000000.0,1153000000.0,1545000000.0
Issuance Of Capital Stock,17000000.0,17000000.0,26000000.0,34000000.0
Interest Paid Supplemental Data,185000000.0,211000000.0,213000000.0,210000000.0
Income Tax Paid Supplemental Data,1569000000.0,961000000.0,880000000.0,800000000.0
End Cash Position,4306000000.0,3943000000.0,5051000000.0,5141000000.0
Beginning Cash Position,3943000000.0,5051000000.0,5141000000.0,4896000000.0
Effect Of Exchange Rate Changes,79000000.0,104000000.0,-24000000.0,21000000.0
Changes In Cash,284000000.0,-1212000000.0,-66000000.0,224000000.0
Financing Cash Flow,-3723000000.0,-3551000000.0,-2739000000.0,-1115000000.0
Cash Flow From Continuing Financing Activities,-3723000000.0,-3551000000.0,-2739000000.0,-1115000000.0
Net Other Financing Charges,-177000000.0,-49000000.0,-62000000.0,-38000000.0
Cash Dividends Paid,-966000000.0,-979000000.0,-855000000.0,-769000000.0
Common Stock Dividend Paid,-966000000.0,-979000000.0,-855000000.0,-769000000.0
Net Common Stock Issuance,-2784000000.0,-2384000000.0,-2275000000.0,-1503000000.0
Common Stock Payments,-2801000000.0,-2401000000.0,-2301000000.0,-1537000000.0
Common Stock Issuance,17000000.0,17000000.0,26000000.0,34000000.0
Net Issuance Payments Of Debt,204000000.0,-139000000.0,453000000.0,1195000000.0
Net Long Term Debt Issuance,204000000.0,-139000000.0,453000000.0,1195000000.0
Long Term Debt Payments,0.0,-1416000000.0,-700000000.0,-350000000.0
Long Term Debt Issuance,204000000.0,1277000000.0,1153000000.0,1545000000.0
Investing Cash Flow,817000000.0,-1540000000.0,-2378000000.0,-4619000000.0
Cash Flow From Continuing Investing Activities,817000000.0,-1540000000.0,-2378000000.0,-4619000000.0
Net Other Investing Changes,-550000000.0,-561000000.0,1552000000.0,-1292000000.0
Net Investment Purchase And Sale,722000000.0,728000000.0,-2747000000.0,-2149000000.0
Sale Of Investment,4297000000.0,4991000000.0,4624000000.0,3981000000.0
Purchase Of Investment,-3575000000.0,-4263000000.0,-7371000000.0,-6130000000.0
Operating Cash Flow,3190000000.0,3879000000.0,5051000000.0,5958000000.0
Cash Flow From Continuing Operating Activities,3190000000.0,3879000000.0,5051000000.0,5958000000.0
Change In Working Capital,-1652000000.0,222000000.0,942000000.0,662000000.0
Change In Payables And Accrued Expense,-967000000.0,-509000000.0,96000000.0,-1419000000.0
Change In Payable,-967000000.0,-509000000.0,96000000.0,-1419000000.0
Change In Tax Payable,-967000000.0,-509000000.0,96000000.0,-1419000000.0
Change In Income Tax Payable,-967000000.0,-509000000.0,96000000.0,-1419000000.0
Change In Receivables,-133000000.0,5000000.0,72000000.0,58000000.0
Other Non Cash Items,1183000000.0,-125000000.0,566000000.0,290000000.0
Amortization Of Securities,-270000000.0,-262000000.0,-228000000.0,72000000.0
Operating Gains Losses,-1261000000.0,-1525000000.0,-1265000000.0,555000000.0
Gain Loss On Investment Securities,-85000000.0,341000000.0,-195000000.0,-82000000.0
Net Foreign Currency Exchange Gain Loss,-1176000000.0,-1866000000.0,-1070000000.0,637000000.0
Net Income From Continuing Operations,4659000000.0,4418000000.0,4231000000.0,4778000000.0
