,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2296089.0,2296089.0,2296089.0,5000000.0
Preferred Shares Number,,,,2875000.0
Ordinary Shares Number,51955994.0,52830381.0,55754113.0,57967808.0
Share Issued,54252083.0,55126470.0,58050202.0,62967808.0
Net Debt,453000000.0,593200000.0,161700000.0,45300000.0
Total Debt,2080400000.0,2129900000.0,2202500000.0,2252900000.0
Tangible Book Value,1549700000.0,724000000.0,1589900000.0,1510800000.0
Invested Capital,6889900000.0,6358600000.0,7666600000.0,8201400000.0
Net Tangible Assets,1549700000.0,724000000.0,1589900000.0,1513700000.0
Common Stock Equity,4809500000.0,4228700000.0,5464100000.0,5948500000.0
Preferred Stock Equity,,,,2900000.0
Total Capitalization,6889900000.0,6133900000.0,7666600000.0,8204300000.0
Total Equity Gross Minority Interest,4809500000.0,4228700000.0,5464100000.0,5954800000.0
Minority Interest,,,0.0,3400000.0
Stockholders Equity,4809500000.0,4228700000.0,5464100000.0,5951400000.0
Gains Losses Not Affecting Retained Earnings,-765000000.0,-986200000.0,-150000000.0,709800000.0
Other Equity Adjustments,-765000000.0,-986200000.0,-150000000.0,709800000.0
Treasury Stock,122800000.0,122800000.0,122800000.0,267400000.0
Retained Earnings,4028200000.0,3699300000.0,4041200000.0,3548700000.0
Additional Paid In Capital,1668500000.0,1637800000.0,1695000000.0,1956800000.0
Capital Stock,600000.0,600000.0,700000.0,3500000.0
Common Stock,600000.0,600000.0,700000.0,600000.0
Preferred Stock,,,0.0,2900000.0
Total Liabilities Net Minority Interest,28825700000.0,28888600000.0,28456500000.0,38695100000.0
Long Term Debt And Capital Lease Obligation,2080400000.0,1905200000.0,2202500000.0,2252900000.0
Long Term Debt,2080400000.0,1905200000.0,2202500000.0,2252900000.0
Current Debt And Capital Lease Obligation,0.0,224700000.0,,
Current Debt,0.0,224700000.0,,
Current Notes Payable,0.0,224700000.0,,
Payables And Accrued Expenses,2962100000.0,3350300000.0,2743700000.0,2668700000.0
Payables,2962100000.0,3350300000.0,2743700000.0,2668700000.0
Other Payable,542800000.0,647500000.0,692700000.0,699100000.0
Accounts Payable,2419300000.0,2702800000.0,2051000000.0,1969600000.0
Total Assets,33635200000.0,33117300000.0,33920600000.0,44649900000.0
Investments And Advances,7393200000.0,6720500000.0,7908800000.0,7397700000.0
Long Term Equity Investment,,,,0.0
Investments In Other Ventures Under Equity Method,,,,0.0
Goodwill And Other Intangible Assets,3259800000.0,3504700000.0,3874200000.0,4437700000.0
Other Intangible Assets,651000000.0,901700000.0,1302600000.0,1848400000.0
Goodwill,2608800000.0,2603000000.0,2571600000.0,2589300000.0
Net PPE,685800000.0,645100000.0,561400000.0,446100000.0
Receivables,8914800000.0,9405800000.0,8123700000.0,8154300000.0
Receivables Adjustments Allowances,,-9200000.0,-9400000.0,-13800000.0
Other Receivables,78800000.0,110700000.0,73900000.0,78000000.0
Accounts Receivable,8836000000.0,9295100000.0,8059200000.0,8090100000.0
Cash Cash Equivalents And Short Term Investments,3733600000.0,7975900000.0,9503900000.0,9315100000.0
Other Short Term Investments,2106200000.0,6439200000.0,7463100000.0,7107500000.0
Cash And Cash Equivalents,1627400000.0,1536700000.0,2040800000.0,2207600000.0
