,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,18329975.0,,9349944.0,9349944.0,9349944.0
Ordinary Shares Number,123119199.0,,127533098.0,125905864.0,124217590.0
Share Issued,141449174.0,,136883042.0,135255808.0,133567534.0
Net Debt,3732000000.0,2190000000.0,1821000000.0,2069000000.0,
Total Debt,6393000000.0,,3780000000.0,4086000000.0,5053000000.0
Tangible Book Value,775000000.0,,1778000000.0,1757000000.0,938000000.0
Invested Capital,9305000000.0,6584000000.0,5975000000.0,6340000000.0,
Working Capital,-2385000000.0,,-1453000000.0,-71000000.0,-287000000.0
Net Tangible Assets,775000000.0,,1778000000.0,1757000000.0,938000000.0
Capital Lease Obligations,1460000000.0,1347000000.0,1621000000.0,1547000000.0,
Common Stock Equity,4372000000.0,,3816000000.0,3801000000.0,2988000000.0
Total Capitalization,8863000000.0,,5699000000.0,5974000000.0,5345000000.0
Total Equity Gross Minority Interest,4372000000.0,,3816000000.0,3801000000.0,2988000000.0
Stockholders Equity,4372000000.0,,3816000000.0,3801000000.0,2988000000.0
Gains Losses Not Affecting Retained Earnings,-239000000.0,,-388000000.0,-262000000.0,-494000000.0
Treasury Stock,1131000000.0,,674000000.0,674000000.0,674000000.0
Retained Earnings,4930000000.0,,4300000000.0,4242000000.0,3764000000.0
Additional Paid In Capital,811000000.0,,577000000.0,494000000.0,391000000.0
Capital Stock,1000000.0,,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,,0.0,0.0,0.0
Total Liabilities Net Minority Interest,15396000000.0,,10370000000.0,10150000000.0,11058000000.0
Total Non Current Liabilities Net Minority Interest,9251000000.0,,5877000000.0,6159000000.0,6765000000.0
Other Non Current Liabilities,457000000.0,,305000000.0,378000000.0,524000000.0
Employee Benefits,460000000.0,,348000000.0,305000000.0,665000000.0
Non Current Pension And Other Postretirement Benefit Plans,460000000.0,,348000000.0,305000000.0,665000000.0
Non Current Deferred Liabilities,2598000000.0,,1948000000.0,2024000000.0,1951000000.0
Non Current Deferred Revenue,1664000000.0,,1374000000.0,1446000000.0,1544000000.0
Non Current Deferred Taxes Liabilities,934000000.0,,574000000.0,578000000.0,407000000.0
Long Term Debt And Capital Lease Obligation,5736000000.0,,3276000000.0,3452000000.0,3625000000.0
Long Term Capital Lease Obligation,1245000000.0,,1393000000.0,1279000000.0,1268000000.0
Long Term Debt,4491000000.0,,1883000000.0,2173000000.0,2357000000.0
Current Liabilities,6145000000.0,,4493000000.0,3991000000.0,4293000000.0
Current Deferred Liabilities,3304000000.0,,2303000000.0,2075000000.0,1806000000.0
Current Deferred Revenue,3304000000.0,,2303000000.0,2075000000.0,1806000000.0
Current Debt And Capital Lease Obligation,657000000.0,,504000000.0,634000000.0,1428000000.0
Current Capital Lease Obligation,215000000.0,222000000.0,228000000.0,268000000.0,
Current Debt,442000000.0,289000000.0,276000000.0,366000000.0,
Other Current Borrowings,442000000.0,289000000.0,276000000.0,366000000.0,
Payables And Accrued Expenses,2184000000.0,,1686000000.0,1282000000.0,1059000000.0
Current Accrued Expenses,1998000000.0,,1465000000.0,1082000000.0,951000000.0
Payables,186000000.0,,221000000.0,200000000.0,108000000.0
Accounts Payable,186000000.0,,221000000.0,200000000.0,108000000.0
Total Assets,19768000000.0,,14186000000.0,13951000000.0,14046000000.0
Total Non Current Assets,16008000000.0,,11146000000.0,10031000000.0,10040000000.0
Other Non Current Assets,334000000.0,,380000000.0,396000000.0,379000000.0
Goodwill And Other Intangible Assets,3597000000.0,,2038000000.0,2044000000.0,2050000000.0
Other Intangible Assets,873000000.0,90000000.0,,,107000000.0
Goodwill,2724000000.0,1943000000.0,,,1943000000.0
Net PPE,12077000000.0,,8728000000.0,7591000000.0,7611000000.0
Accumulated Depreciation,-4548000000.0,,-4127000000.0,-3862000000.0,-3531000000.0
Gross PPE,16625000000.0,,12855000000.0,11453000000.0,11142000000.0
Leases,,,66000000.0,55000000.0,55000000.0
Construction In Progress,883000000.0,,670000000.0,384000000.0,583000000.0
Other Properties,3469000000.0,3009000000.0,1661000000.0,1489000000.0,
Current Assets,3760000000.0,,3040000000.0,3920000000.0,4006000000.0
Other Current Assets,192000000.0,,60000000.0,76000000.0,
Restricted Cash,29000000.0,0.0,,,
Prepaid Assets,307000000.0,,163000000.0,120000000.0,123000000.0
Inventory,199000000.0,,104000000.0,62000000.0,57000000.0
Receivables,558000000.0,,296000000.0,546000000.0,480000000.0
Accounts Receivable,558000000.0,,296000000.0,546000000.0,480000000.0
Cash Cash Equivalents And Short Term Investments,2475000000.0,,2417000000.0,3116000000.0,3346000000.0
Other Short Term Investments,1274000000.0,,2079000000.0,2646000000.0,1976000000.0
Cash And Cash Equivalents,1201000000.0,,338000000.0,470000000.0,1370000000.0
