,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,11004447.0,11004447.0,10914405.0,10914405.0
Ordinary Shares Number,466295971.0,465618791.0,455772376.0,444330360.0
Share Issued,477300418.0,476623238.0,466686781.0,455244765.0
Net Debt,36948200000.0,36641800000.0,41304300000.0,27541200000.0
Total Debt,47154800000.0,47051000000.0,52008600000.0,36711800000.0
Tangible Book Value,-24961500000.0,-25367600000.0,-28996100000.0,-17029000000.0
Invested Capital,43119700000.0,44242600000.0,48335400000.0,33381000000.0
Working Capital,-3539300000.0,-4689600000.0,-5337900000.0,-749900000.0
Net Tangible Assets,-24961500000.0,-25367600000.0,-28996100000.0,-17029000000.0
Capital Lease Obligations,8233300000.0,8380800000.0,8754400000.0,7424300000.0
Common Stock Equity,4198200000.0,5572400000.0,5081200000.0,4093500000.0
Total Capitalization,39932200000.0,39728400000.0,43766700000.0,32591200000.0
Total Equity Gross Minority Interest,10865400000.0,12408500000.0,9069600000.0,4780500000.0
Minority Interest,6667200000.0,6836100000.0,3988400000.0,687000000.0
Stockholders Equity,4198200000.0,5572400000.0,5081200000.0,4093500000.0
Gains Losses Not Affecting Retained Earnings,-5739500000.0,-5718300000.0,-4738900000.0,-3759400000.0
Other Equity Adjustments,-5739500000.0,-5718300000.0,-4738900000.0,-3759400000.0
Treasury Stock,1301200000.0,1301200000.0,1282400000.0,1282400000.0
Retained Earnings,-3638800000.0,-2101900000.0,-1142400000.0,-1343000000.0
Additional Paid In Capital,14872900000.0,14689000000.0,12240200000.0,10473700000.0
Capital Stock,4800000.0,4800000.0,4700000.0,4600000.0
Common Stock,4800000.0,4800000.0,4700000.0,4600000.0
Total Liabilities Net Minority Interest,55162200000.0,54786000000.0,60818300000.0,42453000000.0
Total Non Current Liabilities Net Minority Interest,47912900000.0,46474100000.0,51751000000.0,38797500000.0
Other Non Current Liabilities,745300000.0,697300000.0,649600000.0,408500000.0
Preferred Securities Outside Stock Equity,,,,212100000.0
Non Current Deferred Liabilities,1836700000.0,1981500000.0,2371100000.0,1435600000.0
Non Current Deferred Revenue,475300000.0,489500000.0,540200000.0,576100000.0
Non Current Deferred Taxes Liabilities,1361400000.0,1492000000.0,1830900000.0,859500000.0
Long Term Debt And Capital Lease Obligation,43172700000.0,41747900000.0,46727300000.0,35382100000.0
Long Term Capital Lease Obligation,7438700000.0,7591900000.0,8041800000.0,6884400000.0
Long Term Debt,35734000000.0,34156000000.0,38685500000.0,28497700000.0
Long Term Provisions,2158200000.0,2047400000.0,2003000000.0,1571300000.0
Current Liabilities,7249300000.0,8311900000.0,9067300000.0,3655500000.0
Current Deferred Liabilities,434700000.0,439700000.0,1204000000.0,390600000.0
Current Deferred Revenue,434700000.0,439700000.0,1204000000.0,390600000.0
Current Debt And Capital Lease Obligation,3982100000.0,5303100000.0,5281300000.0,1329700000.0
Current Capital Lease Obligation,794600000.0,788900000.0,712600000.0,539900000.0
Current Debt,3187500000.0,4514200000.0,4568700000.0,789800000.0
Other Current Borrowings,3187500000.0,4514200000.0,4568700000.0,789800000.0
Payables And Accrued Expenses,2832500000.0,2569100000.0,2582000000.0,1935200000.0
Current Accrued Expenses,1220100000.0,1154900000.0,1151100000.0,886500000.0
Interest Payable,387000000.0,261000000.0,254700000.0,207800000.0
Payables,1612400000.0,1414200000.0,1430900000.0,1048700000.0
Other Payable,131000000.0,150400000.0,176300000.0,125300000.0
Dividends Payable,906200000.0,745300000.0,642100000.0,544600000.0
Total Tax Payable,316500000.0,299900000.0,340100000.0,239700000.0
Income Tax Payable,21000000.0,29800000.0,84800000.0,20600000.0
Accounts Payable,258700000.0,218600000.0,272400000.0,139100000.0
Total Assets,66027600000.0,67194500000.0,69887900000.0,47233500000.0
Total Non Current Assets,62317600000.0,63572200000.0,66158500000.0,44327900000.0
Other Non Current Assets,789400000.0,546700000.0,400900000.0,400100000.0
Non Current Deferred Assets,3700900000.0,3168300000.0,2671200000.0,2207400000.0
Non Current Deferred Taxes Assets,179100000.0,129200000.0,131600000.0,123100000.0
Non Current Note Receivables,,,400900000.0,400100000.0
Goodwill And Other Intangible Assets,29159700000.0,30940000000.0,34077300000.0,21122500000.0
Other Intangible Assets,16520700000.0,17983300000.0,20727200000.0,13839800000.0
Goodwill,12639000000.0,12956700000.0,13350100000.0,7282700000.0
Net PPE,28667600000.0,28917200000.0,29009100000.0,20597900000.0
Accumulated Depreciation,-11119500000.0,-9878900000.0,-8619600000.0,-7863700000.0
Gross PPE,39787100000.0,38796100000.0,37628700000.0,28461600000.0
Construction In Progress,1362200000.0,1431900000.0,913200000.0,431500000.0
Other Properties,30383700000.0,29616900000.0,29227300000.0,24550200000.0
Machinery Furniture Equipment,,,,2327100000.0
Buildings And Improvements,3775800000.0,3593600000.0,3523000000.0,634000000.0
Land And Improvements,4265400000.0,4153700000.0,3965200000.0,2845900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3710000000.0,3622300000.0,3729400000.0,2905600000.0
Other Current Assets,347600000.0,115900000.0,80600000.0,79600000.0
Restricted Cash,120100000.0,112300000.0,393400000.0,115100000.0
Prepaid Assets,196300000.0,240000000.0,223100000.0,209800000.0
Receivables,1072700000.0,1125700000.0,1082400000.0,754800000.0
Other Receivables,323200000.0,283800000.0,269600000.0,176900000.0
Taxes Receivable,79800000.0,83600000.0,83900000.0,66300000.0
Accounts Receivable,669700000.0,758300000.0,728900000.0,511600000.0
Allowance For Doubtful Accounts Receivable,-486100000.0,-438700000.0,,
