,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2924300000.0,1822600000.0,3443200000.0,2849700000.0
Repurchase Of Capital Stock,0.0,-18800000.0,0.0,-56000000.0
Repayment Of Debt,-13230300000.0,-9625500000.0,-13178100000.0,-13943600000.0
Issuance Of Debt,11947000000.0,5512400000.0,26965500000.0,18095500000.0
Issuance Of Capital Stock,0.0,2291700000.0,2361800000.0,0.0
Capital Expenditure,-1798100000.0,-1873600000.0,-1376700000.0,-1031700000.0
Interest Paid Supplemental Data,1260000000.0,1088600000.0,791200000.0,762300000.0
Income Tax Paid Supplemental Data,306500000.0,322300000.0,225200000.0,146300000.0
End Cash Position,2093400000.0,2140700000.0,2343300000.0,1861400000.0
Beginning Cash Position,2140700000.0,2343300000.0,1861400000.0,1578000000.0
Effect Of Exchange Rate Changes,23200000.0,-120400000.0,-70300000.0,-28700000.0
Changes In Cash,-70500000.0,-82200000.0,552200000.0,312100000.0
Financing Cash Flow,-3097400000.0,-1423200000.0,16424500000.0,1215300000.0
Cash Flow From Continuing Financing Activities,-3097400000.0,-1423200000.0,16424500000.0,1215300000.0
Net Other Financing Charges,1113100000.0,3015000000.0,2449500000.0,-1050500000.0
Proceeds From Stock Option Exercised,22100000.0,32400000.0,96800000.0,98100000.0
Cash Dividends Paid,-2949300000.0,-2630400000.0,-2271000000.0,-1928200000.0
Preferred Stock Dividend Paid,,,,0.0
Common Stock Dividend Paid,-2949300000.0,-2630400000.0,-2271000000.0,-1928200000.0
Net Common Stock Issuance,0.0,2272900000.0,2361800000.0,-56000000.0
Common Stock Payments,0.0,-18800000.0,0.0,-56000000.0
Common Stock Issuance,0.0,2291700000.0,2361800000.0,0.0
Net Issuance Payments Of Debt,-1283300000.0,-4113100000.0,13787400000.0,4151900000.0
Net Short Term Debt Issuance,6268700000.0,4218800000.0,12856900000.0,8230400000.0
Short Term Debt Issuance,6268700000.0,4218800000.0,12856900000.0,8230400000.0
Net Long Term Debt Issuance,-7552000000.0,-8331900000.0,930500000.0,-4078500000.0
Long Term Debt Payments,-13230300000.0,-9625500000.0,-13178100000.0,-13943600000.0
Long Term Debt Issuance,5678300000.0,1293600000.0,14108600000.0,9865100000.0
Investing Cash Flow,-1695500000.0,-2355200000.0,-20692200000.0,-4784600000.0
Cash Flow From Continuing Investing Activities,-1695500000.0,-2355200000.0,-20692200000.0,-4784600000.0
Net Other Investing Changes,253300000.0,47800000.0,-900000.0,26600000.0
Net Investment Purchase And Sale,17300000.0,19600000.0,-10700000.0,19600000.0
Sale Of Investment,17300000.0,19600000.0,14300000.0,19600000.0
Purchase Of Investment,0.0,0.0,-25000000.0,0.0
Net Business Purchase And Sale,-168000000.0,-549000000.0,-19303900000.0,-3799100000.0
Purchase Of Business,-168000000.0,-549000000.0,-19303900000.0,-3799100000.0
Net PPE Purchase And Sale,-1798100000.0,-1873600000.0,-1376700000.0,-1031700000.0
Purchase Of PPE,-1798100000.0,-1873600000.0,-1376700000.0,-1031700000.0
Operating Cash Flow,4722400000.0,3696200000.0,4819900000.0,3881400000.0
Cash Flow From Continuing Operating Activities,4722400000.0,3696200000.0,4819900000.0,3881400000.0
Change In Working Capital,-813900000.0,-1619200000.0,102100000.0,-423600000.0
Change In Other Working Capital,-619100000.0,-1328000000.0,245500000.0,-261300000.0
Change In Other Current Liabilities,65600000.0,25100000.0,5400000.0,-200000.0
Change In Payables And Accrued Expense,116700000.0,-41600000.0,76100000.0,-71000000.0
Change In Accrued Expense,128600000.0,6600000.0,42900000.0,-1800000.0
Change In Interest Payable,128600000.0,6600000.0,42900000.0,-1800000.0
Change In Payable,-11900000.0,-48200000.0,33200000.0,-69200000.0
Change In Account Payable,-11900000.0,-48200000.0,33200000.0,-69200000.0
Change In Prepaid Assets,-342600000.0,-196100000.0,-33200000.0,84400000.0
Change In Receivables,-34500000.0,-78600000.0,-191700000.0,-175500000.0
Changes In Account Receivables,-34500000.0,-78600000.0,-191700000.0,-175500000.0
Other Non Cash Items,49800000.0,47500000.0,39900000.0,22000000.0
Stock Based Compensation,195700000.0,169300000.0,119500000.0,120800000.0
Asset Impairment Charge,739900000.0,684300000.0,196400000.0,239500000.0
Deferred Tax,-182000000.0,-236700000.0,-41200000.0,-22500000.0
Deferred Income Tax,-182000000.0,-236700000.0,-41200000.0,-22500000.0
Depreciation Amortization Depletion,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Depreciation And Amortization,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Depreciation,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Operating Gains Losses,279300000.0,-400800000.0,-497000000.0,371400000.0
Gain Loss On Investment Securities,279000000.0,-401200000.0,-535200000.0,299600000.0
Net Income From Continuing Operations,1367100000.0,1696700000.0,2567600000.0,1691500000.0
