,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-109352700.0,-3294200.0,29914448.292924,-37596881.005985
Tax Rate For Calcs,0.101,0.014,0.092528,0.071166
Normalized EBITDA,7088700000.0,6447600000.0,5709600000.0,5025200000.0
Total Unusual Items,-1082700000.0,-235300000.0,323300000.0,-528300000.0
Total Unusual Items Excluding Goodwill,-1082700000.0,-235300000.0,323300000.0,-528300000.0
Net Income From Continuing Operation Net Minority Interest,1483300000.0,1765800000.0,2567700000.0,1690600000.0
Reconciled Depreciation,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Reconciled Cost Of Revenue,3260600000.0,3263800000.0,2682000000.0,2227200000.0
EBITDA,6006000000.0,6212300000.0,6032900000.0,4496900000.0
EBIT,2919500000.0,2857200000.0,3700300000.0,2614600000.0
Net Interest Income,-1254800000.0,-1064900000.0,-830500000.0,-753800000.0
Interest Expense,1398200000.0,1136500000.0,870900000.0,793500000.0
Interest Income,143400000.0,71600000.0,40400000.0,39700000.0
Normalized Income,2456647300.0,1997805800.0,2274314448.292924,2181303118.994015
Net Income From Continuing And Discontinued Operation,1483300000.0,1765800000.0,2567700000.0,1690600000.0
Total Expenses,7367700000.0,7674500000.0,6028500000.0,4913900000.0
Total Operating Income As Reported,3024900000.0,2352300000.0,3132000000.0,2887500000.0
Diluted Average Shares,467162000.0,462750000.0,453294000.0,446104003.0
Basic Average Shares,466063000.0,461519000.0,451498000.0,443640003.0
Diluted EPS,3.18,3.82,5.66,3.79
Basic EPS,3.18,3.83,5.69,3.81
Diluted NI Availto Com Stockholders,1483300000.0,1765800000.0,2567700000.0,1690600000.0
Net Income Common Stockholders,1483300000.0,1765800000.0,2567700000.0,1690600000.0
Net Income,1483300000.0,1765800000.0,2567700000.0,1690600000.0
Minority Interests,116200000.0,69100000.0,100000.0,-900000.0
Net Income Including Noncontrolling Interests,1367100000.0,1696700000.0,2567600000.0,1691500000.0
Net Income Continuous Operations,1367100000.0,1696700000.0,2567600000.0,1691500000.0
Tax Provision,154200000.0,24000000.0,261800000.0,129600000.0
Pretax Income,1521300000.0,1720700000.0,2829400000.0,1821100000.0
Other Income Expense,-1000400000.0,-251000000.0,331500000.0,-552700000.0
Other Non Operating Income Expenses,82300000.0,-15700000.0,8200000.0,-24400000.0
Special Income Charges,-751900000.0,-684700000.0,-234600000.0,-311900000.0
Gain On Sale Of Ppe,-125400000.0,-28400000.0,-22700000.0,-17300000.0
Other Special Charges,300000.0,400000.0,38200000.0,71800000.0
Impairment Of Capital Assets,604400000.0,655900000.0,173700000.0,222800000.0
Restructuring And Mergern Acquisition,21800000.0,,,
Gain On Sale Of Security,-330800000.0,449400000.0,557900000.0,-216400000.0
Net Non Operating Interest Income Expense,-1254800000.0,-1064900000.0,-830500000.0,-753800000.0
Interest Expense Non Operating,1398200000.0,1136500000.0,870900000.0,793500000.0
Interest Income Non Operating,143400000.0,71600000.0,40400000.0,39700000.0
Operating Income,3776500000.0,3036600000.0,3328400000.0,3127600000.0
Operating Expense,4107100000.0,4410700000.0,3346500000.0,2686700000.0
Other Operating Expenses,28100000.0,83300000.0,202300000.0,25700000.0
Depreciation Amortization Depletion Income Statement,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Depreciation And Amortization In Income Statement,3086500000.0,3355100000.0,2332600000.0,1882300000.0
Selling General And Administration,992500000.0,972300000.0,811600000.0,778700000.0
General And Administrative Expense,,,811600000.0,781700000.0
Other Gand A,,,692100000.0,660900000.0
Salaries And Wages,,,119500000.0,120800000.0
Gross Profit,7883600000.0,7447300000.0,6674900000.0,5814300000.0
Cost Of Revenue,3260600000.0,3263800000.0,2682000000.0,2227200000.0
Total Revenue,11144200000.0,10711100000.0,9356900000.0,8041500000.0
Operating Revenue,11144200000.0,10711100000.0,9356900000.0,8041500000.0
