,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,117020000.0,108310838.0,72147841.0,40946745.0
Ordinary Shares Number,303575901.0,311559149.0,346930765.0,377482630.0
Share Issued,420595901.0,419869987.0,419078606.0,418429375.0
Net Debt,5101000000.0,5208000000.0,7208000000.0,8510000000.0
Total Debt,5304000000.0,5620000000.0,7609000000.0,8888000000.0
Tangible Book Value,2655000000.0,423000000.0,-1595000000.0,-1639000000.0
Invested Capital,7843000000.0,5876000000.0,5915000000.0,7133000000.0
Working Capital,58000000.0,-208000000.0,263000000.0,538000000.0
Net Tangible Assets,2655000000.0,423000000.0,-1595000000.0,-1639000000.0
Capital Lease Obligations,116000000.0,167000000.0,99000000.0,116000000.0
Common Stock Equity,2655000000.0,423000000.0,-1595000000.0,-1639000000.0
Total Capitalization,7841000000.0,5874000000.0,5700000000.0,7131000000.0
Total Equity Gross Minority Interest,3691000000.0,1345000000.0,-717000000.0,-645000000.0
Minority Interest,1036000000.0,922000000.0,878000000.0,994000000.0
Stockholders Equity,2655000000.0,423000000.0,-1595000000.0,-1639000000.0
Gains Losses Not Affecting Retained Earnings,15000000.0,14000000.0,22000000.0,14000000.0
Other Equity Adjustments,15000000.0,14000000.0,22000000.0,14000000.0
Treasury Stock,5790000000.0,5459000000.0,4036000000.0,3189000000.0
Retained Earnings,-2959000000.0,-5814000000.0,-9488000000.0,-10461000000.0
Additional Paid In Capital,11126000000.0,11420000000.0,11645000000.0,11735000000.0
Capital Stock,263000000.0,262000000.0,262000000.0,262000000.0
Common Stock,263000000.0,262000000.0,262000000.0,262000000.0
Total Liabilities Net Minority Interest,11553000000.0,11802000000.0,14020000000.0,13391000000.0
Total Non Current Liabilities Net Minority Interest,9149000000.0,8886000000.0,11903000000.0,12083000000.0
Other Non Current Liabilities,466000000.0,443000000.0,573000000.0,602000000.0
Preferred Securities Outside Stock Equity,,0.0,712000000.0,608000000.0
Non Current Deferred Liabilities,371000000.0,314000000.0,148000000.0,215000000.0
Non Current Deferred Taxes Liabilities,371000000.0,314000000.0,148000000.0,215000000.0
Long Term Debt And Capital Lease Obligation,5186000000.0,5451000000.0,7295000000.0,8770000000.0
Long Term Debt,5186000000.0,5451000000.0,7295000000.0,8770000000.0
Long Term Provisions,3126000000.0,2678000000.0,3175000000.0,1888000000.0
Current Liabilities,2404000000.0,2916000000.0,2117000000.0,1308000000.0
Other Current Liabilities,338000000.0,292000000.0,168000000.0,97000000.0
Current Debt And Capital Lease Obligation,118000000.0,169000000.0,314000000.0,118000000.0
Current Capital Lease Obligation,116000000.0,167000000.0,99000000.0,116000000.0
Current Debt,2000000.0,2000000.0,215000000.0,2000000.0
Other Current Borrowings,2000000.0,2000000.0,215000000.0,2000000.0
Pensionand Other Post Retirement Benefit Plans Current,390000000.0,514000000.0,292000000.0,170000000.0
Current Provisions,136000000.0,505000000.0,141000000.0,56000000.0
Payables And Accrued Expenses,1422000000.0,1436000000.0,1202000000.0,867000000.0
Current Accrued Expenses,626000000.0,575000000.0,443000000.0,398000000.0
Interest Payable,93000000.0,97000000.0,107000000.0,140000000.0
Payables,796000000.0,861000000.0,759000000.0,469000000.0
Total Tax Payable,138000000.0,90000000.0,28000000.0,25000000.0
Income Tax Payable,138000000.0,90000000.0,28000000.0,25000000.0
Accounts Payable,658000000.0,771000000.0,731000000.0,444000000.0
Total Assets,15244000000.0,13147000000.0,13303000000.0,12746000000.0
Total Non Current Assets,12782000000.0,10439000000.0,10923000000.0,10900000000.0
Other Non Current Assets,21000000.0,217000000.0,640000000.0,
Non Current Deferred Assets,2286000000.0,586000000.0,583000000.0,526000000.0
Non Current Deferred Taxes Assets,1758000000.0,39000000.0,,
Investments And Advances,437000000.0,624000000.0,1365000000.0,1555000000.0
Long Term Equity Investment,437000000.0,624000000.0,1365000000.0,1555000000.0
Net PPE,10038000000.0,9012000000.0,8335000000.0,8819000000.0
Accumulated Depreciation,-36121000000.0,-34612000000.0,-34438000000.0,-35674000000.0
Gross PPE,46159000000.0,43624000000.0,42773000000.0,44493000000.0
Other Properties,851000000.0,819000000.0,1351000000.0,2004000000.0
Current Assets,2462000000.0,2708000000.0,2380000000.0,1846000000.0
Other Current Assets,224000000.0,481000000.0,156000000.0,
Prepaid Assets,88000000.0,89000000.0,55000000.0,184000000.0
Inventory,453000000.0,427000000.0,473000000.0,492000000.0
Receivables,1610000000.0,1466000000.0,1394000000.0,908000000.0
Accounts Receivable,1610000000.0,1466000000.0,1394000000.0,908000000.0
Allowance For Doubtful Accounts Receivable,-114000000.0,-117000000.0,-109000000.0,-95000000.0
Gross Accounts Receivable,1724000000.0,1583000000.0,1503000000.0,1003000000.0
Cash Cash Equivalents And Short Term Investments,87000000.0,245000000.0,302000000.0,262000000.0
Cash And Cash Equivalents,87000000.0,245000000.0,302000000.0,262000000.0
