,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-36120000.0,235094523.892571,-189202538.339503,-1238220000.0
Tax Rate For Calcs,0.21,0.288106,0.305658,0.27
Normalized EBITDA,4922000000.0,6465000000.0,4280000000.0,1944000000.0
Total Unusual Items,-172000000.0,816000000.0,-619000000.0,-4586000000.0
Total Unusual Items Excluding Goodwill,-172000000.0,816000000.0,-619000000.0,-4586000000.0
Net Income From Continuing Operation Net Minority Interest,2855000000.0,3604000000.0,1135000000.0,-4784000000.0
Reconciled Depreciation,1540000000.0,1233000000.0,1360000000.0,1772000000.0
Reconciled Cost Of Revenue,4052000000.0,4820000000.0,4445000000.0,3530000000.0
EBITDA,4750000000.0,7281000000.0,3661000000.0,-2642000000.0
EBIT,3210000000.0,6048000000.0,2301000000.0,-4414000000.0
Net Interest Income,-321000000.0,-312000000.0,-410000000.0,-427000000.0
Interest Expense,327000000.0,314000000.0,410000000.0,426000000.0
Interest Income,10000000.0,10000000.0,8000000.0,7000000.0
Normalized Income,2990880000.0,3023094523.892571,1564797461.660497,-1436220000.0
Net Income From Continuing And Discontinued Operation,2855000000.0,3604000000.0,1135000000.0,-4784000000.0
Total Expenses,4921000000.0,5993000000.0,5293000000.0,4262000000.0
Diluted Average Shares,309000000.0,333000000.0,375000000.0,378000000.0
Basic Average Shares,308000000.0,332000000.0,374000000.0,378000000.0
Diluted EPS,9.25,11.02,2.59,-12.86
Basic EPS,9.26,11.05,2.6,-12.86
Diluted NI Availto Com Stockholders,2855000000.0,3674000000.0,973000000.0,-4860000000.0
Average Dilution Earnings,,,0.0,0.0
Net Income Common Stockholders,2855000000.0,3674000000.0,973000000.0,-4860000000.0
Otherunder Preferred Stock Dividend,0.0,-70000000.0,162000000.0,76000000.0
Preferred Stock Dividends,,,,76000000.0
Net Income,2855000000.0,3604000000.0,1135000000.0,-4784000000.0
Minority Interests,-352000000.0,-478000000.0,-178000000.0,120000000.0
Net Income Including Noncontrolling Interests,3207000000.0,4082000000.0,1313000000.0,-4904000000.0
Net Income Continuous Operations,3207000000.0,4082000000.0,1313000000.0,-4904000000.0
Tax Provision,-324000000.0,1652000000.0,578000000.0,64000000.0
Pretax Income,2883000000.0,5734000000.0,1891000000.0,-4840000000.0
Other Income Expense,-154000000.0,964000000.0,-391000000.0,-4586000000.0
Other Non Operating Income Expenses,18000000.0,148000000.0,228000000.0,
Special Income Charges,-59000000.0,1087000000.0,-267000000.0,-4363000000.0
Gain On Sale Of Ppe,-212000000.0,-157000000.0,-446000000.0,32000000.0
Gain On Sale Of Business,8000000.0,1180000000.0,67000000.0,32000000.0
Other Special Charges,-9000000.0,67000000.0,104000000.0,-160000000.0
Write Off,61000000.0,0.0,208000000.0,27000000.0
Impairment Of Capital Assets,,0.0,0.0,4474000000.0
Restructuring And Mergern Acquisition,15000000.0,26000000.0,22000000.0,54000000.0
Gain On Sale Of Security,-113000000.0,-271000000.0,-352000000.0,-223000000.0
Net Non Operating Interest Income Expense,-321000000.0,-312000000.0,-410000000.0,-427000000.0
Total Other Finance Cost,4000000.0,8000000.0,8000000.0,8000000.0
Interest Expense Non Operating,327000000.0,314000000.0,410000000.0,426000000.0
Interest Income Non Operating,10000000.0,10000000.0,8000000.0,7000000.0
Operating Income,3358000000.0,5082000000.0,2692000000.0,173000000.0
Operating Expense,869000000.0,1173000000.0,848000000.0,732000000.0
Other Operating Expenses,311000000.0,422000000.0,268000000.0,319000000.0
Other Taxes,207000000.0,268000000.0,204000000.0,123000000.0
Selling General And Administration,351000000.0,483000000.0,376000000.0,290000000.0
General And Administrative Expense,351000000.0,483000000.0,376000000.0,290000000.0
Other Gand A,351000000.0,483000000.0,376000000.0,290000000.0
Gross Profit,4227000000.0,6255000000.0,3540000000.0,905000000.0
Cost Of Revenue,4052000000.0,4820000000.0,4445000000.0,3530000000.0
Total Revenue,8279000000.0,11075000000.0,7985000000.0,4435000000.0
Operating Revenue,8279000000.0,11075000000.0,7985000000.0,4435000000.0
