,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,540900000.0,662500000.0,774700000.0,532700000.0
Repurchase Of Capital Stock,-137500000.0,-379500000.0,-180900000.0,-104300000.0
Repayment Of Debt,-255900000.0,-6300000.0,-13400000.0,-880600000.0
Issuance Of Debt,394900000.0,0.0,791700000.0,993700000.0
Capital Expenditure,-285100000.0,-298500000.0,-272100000.0,-218600000.0
End Cash Position,215000000.0,167200000.0,162700000.0,252300000.0
Beginning Cash Position,167200000.0,162700000.0,252300000.0,253700000.0
Effect Of Exchange Rate Changes,-2000000.0,-8600000.0,-2800000.0,9200000.0
Changes In Cash,49800000.0,13100000.0,-86800000.0,-10600000.0
Financing Cash Flow,-317200000.0,-615200000.0,604300000.0,-207700000.0
Cash Flow From Continuing Financing Activities,-317200000.0,-615200000.0,604300000.0,-207700000.0
Net Other Financing Charges,-25400000.0,-25100000.0,-31700000.0,-19700000.0
Cash Dividends Paid,-256700000.0,-238900000.0,-220600000.0,-196800000.0
Common Stock Dividend Paid,-256700000.0,-238900000.0,-220600000.0,-196800000.0
Net Common Stock Issuance,-137500000.0,-379500000.0,-180900000.0,-104300000.0
Common Stock Payments,-137500000.0,-379500000.0,-180900000.0,-104300000.0
Net Issuance Payments Of Debt,102400000.0,28300000.0,1037500000.0,113100000.0
Net Short Term Debt Issuance,-36600000.0,34600000.0,259200000.0,-110400000.0
Short Term Debt Payments,,0.0,0.0,-610400000.0
Short Term Debt Issuance,,34600000.0,259200000.0,500000000.0
Net Long Term Debt Issuance,139000000.0,-6300000.0,778300000.0,223500000.0
Long Term Debt Payments,-255900000.0,-6300000.0,-13400000.0,-270200000.0
Long Term Debt Issuance,394900000.0,0.0,791700000.0,493700000.0
Investing Cash Flow,-459000000.0,-332700000.0,-1737900000.0,-554200000.0
Cash Flow From Continuing Investing Activities,-459000000.0,-332700000.0,-1737900000.0,-554200000.0
Net Other Investing Changes,50000000.0,1900000.0,3100000.0,5600000.0
Net Business Purchase And Sale,-224900000.0,-38400000.0,-1470000000.0,-350400000.0
Sale Of Business,0.0,1100000.0,7600000.0,0.0
Purchase Of Business,-224900000.0,-39500000.0,-1477600000.0,-350400000.0
Net Intangibles Purchase And Sale,-19800000.0,-20400000.0,-17100000.0,-17200000.0
Purchase Of Intangibles,-19800000.0,-20400000.0,-17100000.0,-17200000.0
Net PPE Purchase And Sale,-264300000.0,-275800000.0,-253900000.0,-192200000.0
Sale Of PPE,1000000.0,2300000.0,1100000.0,9200000.0
Purchase Of PPE,-265300000.0,-278100000.0,-255000000.0,-201400000.0
Operating Cash Flow,826000000.0,961000000.0,1046800000.0,751300000.0
Cash Flow From Continuing Operating Activities,826000000.0,961000000.0,1046800000.0,751300000.0
Change In Working Capital,-60300000.0,-226200000.0,-24600000.0,-152600000.0
Change In Other Working Capital,-18700000.0,18900000.0,-7300000.0,-35200000.0
Change In Other Current Liabilities,-86700000.0,-165800000.0,19300000.0,-76100000.0
Change In Other Current Assets,37700000.0,15300000.0,4100000.0,18200000.0
Change In Payables And Accrued Expense,-87600000.0,68200000.0,255200000.0,-68200000.0
Change In Payable,-87600000.0,68200000.0,255200000.0,-68200000.0
Change In Account Payable,-87600000.0,68200000.0,255200000.0,-68200000.0
Change In Inventory,111700000.0,-140700000.0,-182700000.0,-6000000.0
Change In Receivables,-16700000.0,-22100000.0,-113200000.0,14700000.0
Changes In Account Receivables,-16700000.0,-22100000.0,-113200000.0,14700000.0
Other Non Cash Items,37100000.0,23500000.0,11700000.0,45400000.0
Stock Based Compensation,22300000.0,47400000.0,37200000.0,24000000.0
Provisionand Write Offof Assets,49900000.0,50100000.0,35700000.0,64000000.0
Deferred Tax,-24400000.0,18400000.0,2600000.0,9300000.0
Deferred Income Tax,-24400000.0,18400000.0,2600000.0,9300000.0
Depreciation Amortization Depletion,298400000.0,290700000.0,244100000.0,205300000.0
Depreciation And Amortization,298400000.0,290700000.0,244100000.0,205300000.0
Amortization Cash Flow,111000000.0,113300000.0,76800000.0,51100000.0
Amortization Of Intangibles,111000000.0,113300000.0,76800000.0,51100000.0
Depreciation,187400000.0,177400000.0,167300000.0,154200000.0
Net Income From Continuing Operations,503000000.0,757100000.0,740100000.0,555900000.0
