,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,409797858.0,406711800.0,,250320600.0
Ordinary Shares Number,7895457665.0,7996777943.0,8077831463.0,8650814105.0
Share Issued,7895457665.0,7996777943.0,8077831463.0,8650814105.0
Net Debt,,65452000000.0,,
Total Debt,334302000000.0,302914000000.0,303870000000.0,282255000000.0
Tangible Book Value,194228000000.0,175778000000.0,176336000000.0,179463000000.0
Invested Capital,597551000000.0,547714000000.0,549228000000.0,530669000000.0
Net Tangible Assets,222625000000.0,204175000000.0,201044000000.0,203973000000.0
Common Stock Equity,263249000000.0,244800000000.0,245358000000.0,248414000000.0
Preferred Stock Equity,28397000000.0,28397000000.0,24708000000.0,24510000000.0
Total Capitalization,593850000000.0,549179000000.0,550183000000.0,535858000000.0
Total Equity Gross Minority Interest,291646000000.0,273197000000.0,270066000000.0,272924000000.0
Stockholders Equity,291646000000.0,273197000000.0,270066000000.0,272924000000.0
Gains Losses Not Affecting Retained Earnings,-17788000000.0,-21156000000.0,-5104000000.0,-1656000000.0
Other Equity Adjustments,-17788000000.0,-21156000000.0,-5104000000.0,-1656000000.0
Retained Earnings,224672000000.0,207003000000.0,188064000000.0,164088000000.0
Capital Stock,84762000000.0,87350000000.0,87106000000.0,110492000000.0
Common Stock,56365000000.0,58953000000.0,62398000000.0,85982000000.0
Preferred Stock,28397000000.0,28397000000.0,24708000000.0,24510000000.0
Total Liabilities Net Minority Interest,2888505000000.0,2778178000000.0,2899429000000.0,2546703000000.0
Derivative Product Liabilities,43432000000.0,44816000000.0,37675000000.0,45526000000.0
Long Term Debt And Capital Lease Obligation,302204000000.0,275982000000.0,280117000000.0,262934000000.0
Long Term Debt,302204000000.0,275982000000.0,280117000000.0,262934000000.0
Long Term Provisions,1209000000.0,1540000000.0,1456000000.0,1878000000.0
Current Debt And Capital Lease Obligation,32098000000.0,26932000000.0,23753000000.0,19321000000.0
Current Debt,32098000000.0,26932000000.0,23753000000.0,19321000000.0
Other Current Borrowings,32098000000.0,26932000000.0,23753000000.0,19321000000.0
Payables And Accrued Expenses,,222533000000.0,198963000000.0,179921000000.0
Current Accrued Expenses,,222533000000.0,198963000000.0,179921000000.0
Total Assets,3180151000000.0,3051375000000.0,3169495000000.0,2819627000000.0
Investments And Advances,1017946000000.0,1043422000000.0,1126273000000.0,792194000000.0
Held To Maturity Securities,594555000000.0,632825000000.0,674554000000.0,438249000000.0
Available For Sale Securities,10203000000.0,9206000000.0,8895000000.0,12110000000.0
Trading Securities,146539000000.0,180603000000.0,143646000000.0,107344000000.0
Goodwill And Other Intangible Assets,69021000000.0,69022000000.0,69022000000.0,68951000000.0
Goodwill,69021000000.0,69022000000.0,69022000000.0,68951000000.0
Net PPE,11855000000.0,11510000000.0,10833000000.0,11000000000.0
Receivables,96697000000.0,81135000000.0,87020000000.0,81157000000.0
Other Receivables,14816000000.0,13592000000.0,14757000000.0,16936000000.0
Accounts Receivable,81881000000.0,67543000000.0,72263000000.0,64221000000.0
Other Short Term Investments,266649000000.0,220788000000.0,299178000000.0,234491000000.0
Cash And Cash Equivalents,341419000000.0,237462000000.0,355365000000.0,387009000000.0
Cash Financial,27892000000.0,30334000000.0,29222000000.0,36430000000.0
Cash Cash Equivalents And Federal Funds Sold,622043000000.0,505036000000.0,606085000000.0,691067000000.0
