,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,818000000.0,-1350000000.0,34000000.0,319000000.0
Repurchase Of Capital Stock,-3000000.0,-618000000.0,-766000000.0,-75000000.0
Repayment Of Debt,-2281000000.0,-3884000000.0,-750000000.0,-2794000000.0
Issuance Of Debt,2051000000.0,4851000000.0,850000000.0,2552000000.0
Issuance Of Capital Stock,,,47000000.0,
Capital Expenditure,-1045000000.0,-1651000000.0,-1726000000.0,-1113000000.0
End Cash Position,710000000.0,558000000.0,579000000.0,1381000000.0
Beginning Cash Position,558000000.0,579000000.0,1381000000.0,1806000000.0
Effect Of Exchange Rate Changes,4000000.0,-21000000.0,-29000000.0,-74000000.0
Changes In Cash,148000000.0,,-773000000.0,-351000000.0
Financing Cash Flow,-662000000.0,485000000.0,-894000000.0,-602000000.0
Cash Flow From Continuing Financing Activities,-662000000.0,485000000.0,-894000000.0,-602000000.0
Net Other Financing Charges,33000000.0,-4000000.0,3000000.0,-67000000.0
Cash Dividends Paid,-252000000.0,-254000000.0,-229000000.0,-198000000.0
Common Stock Dividend Paid,-252000000.0,-254000000.0,-229000000.0,-198000000.0
Net Common Stock Issuance,-3000000.0,-618000000.0,-766000000.0,-75000000.0
Common Stock Payments,-3000000.0,-618000000.0,-766000000.0,-75000000.0
Common Stock Issuance,,,47000000.0,
Net Issuance Payments Of Debt,-440000000.0,1361000000.0,98000000.0,-262000000.0
Net Short Term Debt Issuance,-210000000.0,394000000.0,-2000000.0,-20000000.0
Net Long Term Debt Issuance,-230000000.0,967000000.0,100000000.0,-242000000.0
Long Term Debt Payments,-2281000000.0,-3884000000.0,-750000000.0,-2794000000.0
Long Term Debt Issuance,2051000000.0,4851000000.0,850000000.0,2552000000.0
Investing Cash Flow,-1053000000.0,-786000000.0,-1639000000.0,-1181000000.0
Cash Flow From Continuing Investing Activities,-1053000000.0,-786000000.0,-1639000000.0,-1181000000.0
Net Other Investing Changes,-8000000.0,106000000.0,-25000000.0,18000000.0
Net Business Purchase And Sale,0.0,759000000.0,112000000.0,-86000000.0
Sale Of Business,0.0,759000000.0,112000000.0,
Purchase Of Business,,0.0,0.0,-86000000.0
Capital Expenditure Reported,-1045000000.0,-1651000000.0,-1726000000.0,-1113000000.0
Operating Cash Flow,1863000000.0,301000000.0,1760000000.0,1432000000.0
Cash Flow From Continuing Operating Activities,1863000000.0,301000000.0,1760000000.0,1432000000.0
Change In Working Capital,360000000.0,-924000000.0,120000000.0,-106000000.0
Change In Other Working Capital,9000000.0,-19000000.0,1000000.0,-27000000.0
Change In Other Current Liabilities,-71000000.0,84000000.0,159000000.0,-35000000.0
Change In Other Current Assets,-25000000.0,-42000000.0,-24000000.0,5000000.0
Change In Payables And Accrued Expense,-417000000.0,-184000000.0,1311000000.0,150000000.0
Change In Accrued Expense,93000000.0,-101000000.0,-1000000.0,84000000.0
Change In Payable,-510000000.0,-83000000.0,1312000000.0,66000000.0
Change In Account Payable,-510000000.0,-83000000.0,1312000000.0,66000000.0
Change In Inventory,626000000.0,-458000000.0,-464000000.0,-64000000.0
Change In Receivables,238000000.0,-305000000.0,-863000000.0,-135000000.0
Other Non Cash Items,215000000.0,-53000000.0,243000000.0,271000000.0
Deferred Tax,-67000000.0,-2000000.0,35000000.0,17000000.0
Deferred Income Tax,-67000000.0,-2000000.0,35000000.0,17000000.0
Depreciation Amortization Depletion,686000000.0,672000000.0,700000000.0,668000000.0
Depreciation And Amortization,686000000.0,672000000.0,700000000.0,668000000.0
Amortization Cash Flow,158000000.0,165000000.0,180000000.0,
Amortization Of Intangibles,158000000.0,165000000.0,180000000.0,
Depreciation,528000000.0,507000000.0,520000000.0,
Operating Gains Losses,-42000000.0,-124000000.0,-216000000.0,
Pension And Employee Benefit Expense,-42000000.0,-124000000.0,-216000000.0,
Net Income From Continuing Operations,711000000.0,732000000.0,878000000.0,582000000.0
