,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-222852000.0,-237699000.0,0.0,0.0
Tax Rate For Calcs,0.196,0.231,0.189,0.188
Total Unusual Items,-1137000000.0,-1029000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-1137000000.0,-1029000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,3286000000.0,2573000000.0,3759000000.0,3617000000.0
Reconciled Depreciation,1748000000.0,1636000000.0,1867000000.0,1630000000.0
Net Interest Income,4345000000.0,3504000000.0,2618000000.0,2977000000.0
Interest Expense,16303000000.0,3614000000.0,227000000.0,1132000000.0
Interest Income,20648000000.0,7118000000.0,2845000000.0,4109000000.0
Normalized Income,4200148000.0,3364301000.0,3759000000.0,3617000000.0
Net Income From Continuing And Discontinued Operation,3286000000.0,2573000000.0,3759000000.0,3617000000.0
Diluted Average Shares,787798000.0,814795000.0,856359000.0,892514000.0
Basic Average Shares,784069000.0,811047000.0,851798561.0,890839000.0
Diluted EPS,4.0,2.9,4.14,3.83
Basic EPS,4.01,2.91,4.17,3.84
Diluted NI Availto Com Stockholders,3051000000.0,2362000000.0,3550000000.0,3417000000.0
Net Income Common Stockholders,3051000000.0,2362000000.0,3550000000.0,3417000000.0
Otherunder Preferred Stock Dividend,,,2000000.0,6000000.0
Preferred Stock Dividends,235000000.0,211000000.0,207000000.0,194000000.0
Net Income,3286000000.0,2573000000.0,3759000000.0,3617000000.0
Minority Interests,-2000000.0,13000000.0,-12000000.0,-9000000.0
Net Income Including Noncontrolling Interests,3288000000.0,2560000000.0,3771000000.0,3626000000.0
Net Income Continuous Operations,3288000000.0,2560000000.0,3771000000.0,3626000000.0
Tax Provision,800000000.0,768000000.0,877000000.0,842000000.0
Pretax Income,4088000000.0,3328000000.0,4648000000.0,4468000000.0
Special Income Charges,-1137000000.0,-1029000000.0,0.0,0.0
Gain On Sale Of Business,-144000000.0,0.0,,
Other Special Charges,726000000.0,134000000.0,,
Impairment Of Capital Assets,0.0,680000000.0,0.0,0.0
Restructuring And Mergern Acquisition,267000000.0,215000000.0,,
Gain On Sale Of Security,-37000000.0,-467000000.0,94000000.0,-15000000.0
Depreciation Amortization Depletion Income Statement,57000000.0,67000000.0,82000000.0,104000000.0
Depreciation And Amortization In Income Statement,57000000.0,67000000.0,82000000.0,104000000.0
Amortization,57000000.0,67000000.0,82000000.0,104000000.0
Amortization Of Intangibles Income Statement,57000000.0,67000000.0,82000000.0,104000000.0
Selling General And Administration,6828000000.0,6585000000.0,6337000000.0,5966000000.0
General And Administrative Expense,6828000000.0,6585000000.0,6337000000.0,5966000000.0
Other Gand A,,,,105000000.0
Salaries And Wages,6828000000.0,6585000000.0,6337000000.0,5966000000.0
Total Revenue,17293000000.0,16034000000.0,15633000000.0,15472000000.0
Operating Revenue,17293000000.0,16034000000.0,15633000000.0,15472000000.0
Occupancy And Equipment,2359000000.0,2171000000.0,1976000000.0,1951000000.0
Professional Expense And Contract Services Expense,1527000000.0,1527000000.0,1459000000.0,1403000000.0
Other Non Interest Expense,1178000000.0,1288000000.0,1362000000.0,1244000000.0
