,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1246673000.0,1117679000.0,1034077000.0,810109000.0
Repurchase Of Capital Stock,-836530000.0,-1161955000.0,-730279000.0,-490092000.0
Repayment Of Debt,-150000000.0,-485000000.0,0.0,-350000000.0
Issuance Of Debt,50000000.0,885000000.0,0.0,350000000.0
Issuance Of Capital Stock,132957000.0,105331000.0,87772000.0,74803000.0
Capital Expenditure,-102503000.0,-124215000.0,-66881000.0,-94813000.0
Interest Paid Supplemental Data,34934000.0,21122000.0,15950000.0,19778000.0
Income Tax Paid Supplemental Data,253700000.0,233235000.0,146424000.0,105917000.0
End Cash Position,1008152000.0,882325000.0,1088940000.0,928432000.0
Beginning Cash Position,882325000.0,1088940000.0,928432000.0,705210000.0
Effect Of Exchange Rate Changes,-7527000.0,-52826000.0,-3704000.0,25747000.0
Changes In Cash,133354000.0,-153789000.0,164212000.0,197475000.0
Financing Cash Flow,-803573000.0,-657049000.0,-643792000.0,-415289000.0
Cash Flow From Continuing Financing Activities,-803573000.0,-657049000.0,-643792000.0,-415289000.0
Net Other Financing Charges,,-425000.0,-1285000.0,-110028000.0
Net Common Stock Issuance,-703573000.0,-1056624000.0,-642507000.0,-415289000.0
Common Stock Payments,-836530000.0,-1161955000.0,-730279000.0,-490092000.0
Common Stock Issuance,132957000.0,105331000.0,87772000.0,74803000.0
Net Issuance Payments Of Debt,-100000000.0,400000000.0,0.0,0.0
Net Short Term Debt Issuance,-100000000.0,100000000.0,0.0,0.0
Short Term Debt Payments,-150000000.0,-485000000.0,0.0,-350000000.0
Short Term Debt Issuance,50000000.0,585000000.0,0.0,350000000.0
Net Long Term Debt Issuance,0.0,300000000.0,0.0,0.0
Long Term Debt Payments,,,,0.0
Long Term Debt Issuance,0.0,300000000.0,0.0,
Investing Cash Flow,-412249000.0,-738634000.0,-292954000.0,-292158000.0
Cash Flow From Continuing Investing Activities,-412249000.0,-738634000.0,-292954000.0,-292158000.0
Net Investment Purchase And Sale,-111395000.0,-634000.0,128000.0,217000.0
Sale Of Investment,64775000.0,366000.0,128000.0,217000.0
Purchase Of Investment,-176170000.0,-1000000.0,0.0,0.0
Net Business Purchase And Sale,-198351000.0,-613785000.0,-226201000.0,-197562000.0
Purchase Of Business,-198351000.0,-613785000.0,-226201000.0,-197562000.0
Net Intangibles Purchase And Sale,-166000.0,-1000000.0,-1583000.0,0.0
Purchase Of Intangibles,-166000.0,-1000000.0,-1583000.0,0.0
Net PPE Purchase And Sale,-102337000.0,-123215000.0,-65298000.0,-94813000.0
Purchase Of PPE,-102337000.0,-123215000.0,-65298000.0,-94813000.0
Operating Cash Flow,1349176000.0,1241894000.0,1100958000.0,904922000.0
Cash Flow From Continuing Operating Activities,1349176000.0,1241894000.0,1100958000.0,904922000.0
Change In Working Capital,-98778000.0,87545000.0,105798000.0,-15417000.0
Change In Other Working Capital,-21583000.0,131462000.0,100731000.0,110173000.0
Change In Other Current Liabilities,1802000.0,43542000.0,16199000.0,10408000.0
Change In Other Current Assets,-45784000.0,-933000.0,-7133000.0,-71606000.0
Change In Payables And Accrued Expense,5415000.0,113945000.0,67356000.0,18394000.0
Change In Prepaid Assets,39015000.0,-38927000.0,-34342000.0,-31167000.0
Change In Inventory,-65895000.0,-23073000.0,-39027000.0,-25685000.0
Change In Receivables,-11748000.0,-138471000.0,2014000.0,-25934000.0
Other Non Cash Items,3245000.0,1505000.0,1646000.0,1826000.0
Stock Based Compensation,325611000.0,270439000.0,210090000.0,197268000.0
Provisionand Write Offof Assets,3325000.0,204000.0,525000.0,1628000.0
Deferred Tax,-36512000.0,-107606000.0,-43178000.0,-26117000.0
Deferred Income Tax,-36512000.0,-107606000.0,-43178000.0,-26117000.0
Depreciation Amortization Depletion,145743000.0,135430000.0,130702000.0,150136000.0
Depreciation And Amortization,145743000.0,135430000.0,130702000.0,150136000.0
Depreciation,145743000.0,135430000.0,130702000.0,150136000.0
Operating Gains Losses,-34602000.0,5425000.0,-580000.0,4954000.0
Gain Loss On Investment Securities,-34602000.0,5425000.0,-580000.0,4954000.0
Net Income From Continuing Operations,1041144000.0,848952000.0,695955000.0,590644000.0
