,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,5442600.0,-2760404.0,471796.521501,-325553.0
Tax Rate For Calcs,0.188,0.188,0.094322,0.067
Normalized EBITDA,1434904000.0,1218410000.0,911115000.0,808492000.0
Total Unusual Items,28950000.0,-14683000.0,5002000.0,-4859000.0
Total Unusual Items Excluding Goodwill,28950000.0,-14683000.0,5002000.0,-4859000.0
Net Income From Continuing Operation Net Minority Interest,1041144000.0,848952000.0,695955000.0,590644000.0
Reconciled Depreciation,145743000.0,135430000.0,130702000.0,150136000.0
Reconciled Cost Of Revenue,307460000.0,254663000.0,195944000.0,173371000.0
EBITDA,1463854000.0,1203727000.0,916117000.0,803633000.0
EBIT,1318111000.0,1068297000.0,785415000.0,653497000.0
Net Interest Income,-6548000.0,-12835000.0,-14346000.0,-16932000.0
Interest Expense,36185000.0,22934000.0,16980000.0,20749000.0
Interest Income,29637000.0,10099000.0,2634000.0,3817000.0
Normalized Income,1017636600.0,860874596.0,691424796.521501,595177447.0
Net Income From Continuing And Discontinued Operation,1041144000.0,848952000.0,695955000.0,590644000.0
Total Expenses,2827748000.0,2487977000.0,2210203000.0,2028124000.0
Total Operating Income As Reported,1251225000.0,1073686000.0,779089000.0,645552000.0
Diluted Average Shares,272748000.0,275011000.0,278858000.0,279641000.0
Basic Average Shares,269381000.0,271198000.0,273504000.0,273728000.0
Diluted EPS,3.82,3.09,2.5,2.11
Basic EPS,3.86,3.13,2.54,2.16
Diluted NI Availto Com Stockholders,1041144000.0,848952000.0,695955000.0,590644000.0
Net Income Common Stockholders,1041144000.0,848952000.0,695955000.0,590644000.0
Net Income,1041144000.0,848952000.0,695955000.0,590644000.0
Net Income Including Noncontrolling Interests,1041144000.0,848952000.0,695955000.0,590644000.0
Net Income Continuous Operations,1041144000.0,848952000.0,695955000.0,590644000.0
Tax Provision,240782000.0,196411000.0,72480000.0,42104000.0
Pretax Income,1281926000.0,1045363000.0,768435000.0,632748000.0
Other Income Expense,26236000.0,-15543000.0,4740000.0,-5087000.0
Other Non Operating Income Expenses,-2714000.0,-860000.0,-262000.0,-228000.0
Special Income Charges,-11013000.0,-55000.0,1048000.0,-9215000.0
Restructuring And Mergern Acquisition,11013000.0,55000.0,-1048000.0,9215000.0
Gain On Sale Of Security,39963000.0,-14628000.0,3954000.0,4356000.0
Net Non Operating Interest Income Expense,-6548000.0,-12835000.0,-14346000.0,-16932000.0
Interest Expense Non Operating,36185000.0,22934000.0,16980000.0,20749000.0
Interest Income Non Operating,29637000.0,10099000.0,2634000.0,3817000.0
Operating Income,1262238000.0,1073741000.0,778041000.0,654767000.0
Operating Expense,2392707000.0,2116354000.0,1903197000.0,1722626000.0
Depreciation Amortization Depletion Income Statement,18162000.0,18470000.0,19640000.0,18009000.0
Depreciation And Amortization In Income Statement,18162000.0,18470000.0,19640000.0,18009000.0
Amortization,18162000.0,18470000.0,19640000.0,18009000.0
Amortization Of Intangibles Income Statement,18162000.0,18470000.0,19640000.0,18009000.0
Research And Development,1441796000.0,1251544000.0,1134277000.0,1033732000.0
Selling General And Administration,932749000.0,846340000.0,749280000.0,670885000.0
Selling And Marketing Expense,690319000.0,604224000.0,560262000.0,516460000.0
General And Administrative Expense,242430000.0,242116000.0,189018000.0,154425000.0
Other Gand A,242430000.0,242116000.0,189018000.0,154425000.0
Gross Profit,3654945000.0,3190095000.0,2681238000.0,2377393000.0
Cost Of Revenue,435041000.0,371623000.0,307006000.0,305498000.0
Total Revenue,4089986000.0,3561718000.0,2988244000.0,2682891000.0
Operating Revenue,4089986000.0,3561718000.0,2988244000.0,2682891000.0
