,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,134100000.0,135500000.0,134800000.0,141900000.0
Share Issued,134100000.0,135500000.0,134800000.0,141900000.0
Net Debt,5056200000.0,5607500000.0,6910500000.0,2987100000.0
Total Debt,5808900000.0,6097900000.0,7352800000.0,4566300000.0
Tangible Book Value,-3740600000.0,-4230100000.0,-5305300000.0,-1743900000.0
Invested Capital,7687400000.0,7526000000.0,7874300000.0,5694400000.0
Working Capital,1263000000.0,1616900000.0,1382100000.0,2055200000.0
Net Tangible Assets,-3740600000.0,-4230100000.0,-5305300000.0,-1743900000.0
Capital Lease Obligations,164000000.0,175200000.0,184200000.0,169000000.0
Common Stock Equity,2042500000.0,1603300000.0,705700000.0,1297100000.0
Total Capitalization,7074300000.0,7469700000.0,7461500000.0,5153400000.0
Total Equity Gross Minority Interest,2042500000.0,1603300000.0,705700000.0,1297100000.0
Stockholders Equity,2042500000.0,1603300000.0,705700000.0,1297100000.0
Gains Losses Not Affecting Retained Earnings,-124600000.0,-152400000.0,-94400000.0,-95800000.0
Other Equity Adjustments,-124600000.0,-152400000.0,-94400000.0,
Retained Earnings,-1525500000.0,-1763800000.0,-2570700000.0,-1813400000.0
Additional Paid In Capital,3691300000.0,3518100000.0,3369500000.0,3204900000.0
Capital Stock,1300000.0,1400000.0,1300000.0,1400000.0
Common Stock,1300000.0,1400000.0,1300000.0,1400000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,11242100000.0,11528200000.0,12493700000.0,8047600000.0
Total Non Current Liabilities Net Minority Interest,5800100000.0,6581100000.0,7397700000.0,4149300000.0
Other Non Current Liabilities,432900000.0,336100000.0,235400000.0,68700000.0
Non Current Deferred Liabilities,171400000.0,203400000.0,222300000.0,55300000.0
Non Current Deferred Taxes Liabilities,171400000.0,203400000.0,222300000.0,55300000.0
Long Term Debt And Capital Lease Obligation,5195800000.0,6041600000.0,6940000000.0,4025300000.0
Long Term Capital Lease Obligation,164000000.0,175200000.0,184200000.0,169000000.0
Long Term Debt,5031800000.0,5866400000.0,6755800000.0,3856300000.0
Current Liabilities,5442000000.0,4947100000.0,5096000000.0,3898300000.0
Other Current Liabilities,554300000.0,483200000.0,454800000.0,424800000.0
Current Deferred Liabilities,487400000.0,485500000.0,402900000.0,243700000.0
Current Deferred Revenue,487400000.0,485500000.0,402900000.0,243700000.0
Current Debt And Capital Lease Obligation,613100000.0,56300000.0,412800000.0,541000000.0
Current Debt,613100000.0,56300000.0,412800000.0,541000000.0
Other Current Borrowings,,56300000.0,102700000.0,70900000.0
Line Of Credit,,444500000.0,310100000.0,470100000.0
Pensionand Other Post Retirement Benefit Plans Current,303000000.0,377800000.0,361700000.0,288300000.0
Payables And Accrued Expenses,3484200000.0,3544300000.0,3463800000.0,2400500000.0
Current Accrued Expenses,119900000.0,130500000.0,145500000.0,153400000.0
Payables,3364300000.0,3413800000.0,3318300000.0,2247100000.0
Other Payable,430900000.0,519000000.0,138200000.0,54500000.0
Total Tax Payable,52400000.0,73500000.0,65900000.0,104200000.0
Accounts Payable,2881000000.0,2821300000.0,3114200000.0,2088400000.0
Total Assets,13284600000.0,13131500000.0,13199400000.0,9344700000.0
Total Non Current Assets,6579600000.0,6567500000.0,6721300000.0,3391200000.0
Other Non Current Assets,472200000.0,396100000.0,358900000.0,43900000.0
Goodwill And Other Intangible Assets,5783100000.0,5833400000.0,6011000000.0,3041000000.0
Other Intangible Assets,1369700000.0,1490700000.0,1628100000.0,445100000.0
Goodwill,4413400000.0,4342700000.0,4382900000.0,2595900000.0
Net PPE,324300000.0,338000000.0,351400000.0,306300000.0
Accumulated Depreciation,-308700000.0,-309900000.0,-265600000.0,-243700000.0
Gross PPE,633000000.0,647900000.0,617000000.0,550000000.0
Construction In Progress,38700000.0,16900000.0,12000000.0,50800000.0
Other Properties,130200000.0,150400000.0,155800000.0,130800000.0
Machinery Furniture Equipment,310700000.0,303400000.0,270200000.0,213900000.0
Buildings And Improvements,125300000.0,149500000.0,151300000.0,126800000.0
Land And Improvements,28100000.0,27700000.0,27700000.0,27700000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,6705000000.0,6564000000.0,6478100000.0,5953500000.0
Other Current Assets,410200000.0,498200000.0,357500000.0,191200000.0
Prepaid Assets,,498200000.0,357500000.0,191200000.0
Inventory,668100000.0,800200000.0,927600000.0,760000000.0
Finished Goods,668100000.0,800200000.0,927600000.0,760000000.0
Receivables,5038000000.0,4950400000.0,4934900000.0,3592100000.0
Other Receivables,470500000.0,489100000.0,435500000.0,379500000.0
Accounts Receivable,4567500000.0,4461300000.0,4499400000.0,3212600000.0
Allowance For Doubtful Accounts Receivable,-28800000.0,-25700000.0,-20400000.0,-29600000.0
Gross Accounts Receivable,4596300000.0,4487000000.0,4519800000.0,3242200000.0
Cash Cash Equivalents And Short Term Investments,588700000.0,315200000.0,258100000.0,1410200000.0
Cash And Cash Equivalents,588700000.0,315200000.0,258100000.0,1410200000.0
