,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2034000000.0,2037000000.0,1966000000.0,1471000000.0
Repurchase Of Capital Stock,-67000000.0,-410000000.0,-144000000.0,-261000000.0
Capital Expenditure,-18000000.0,-15000000.0,-15000000.0,-20000000.0
Interest Paid Supplemental Data,54000000.0,53000000.0,52000000.0,53000000.0
Income Tax Paid Supplemental Data,136000000.0,165000000.0,257000000.0,84000000.0
End Cash Position,907000000.0,1264000000.0,1139000000.0,900000000.0
Beginning Cash Position,1264000000.0,1139000000.0,900000000.0,767000000.0
Changes In Cash,-357000000.0,125000000.0,239000000.0,133000000.0
Financing Cash Flow,-801000000.0,-994000000.0,-685000000.0,-798000000.0
Cash Flow From Continuing Financing Activities,-801000000.0,-994000000.0,-685000000.0,-798000000.0
Net Other Financing Charges,-264000000.0,-167000000.0,-159000000.0,-184000000.0
Proceeds From Stock Option Exercised,9000000.0,10000000.0,13000000.0,7000000.0
Cash Dividends Paid,-454000000.0,-423000000.0,-395000000.0,-375000000.0
Common Stock Dividend Paid,-454000000.0,-423000000.0,-395000000.0,-375000000.0
Net Common Stock Issuance,-67000000.0,-410000000.0,-144000000.0,-261000000.0
Common Stock Payments,-67000000.0,-410000000.0,-144000000.0,-261000000.0
Net Issuance Payments Of Debt,-25000000.0,-4000000.0,0.0,15000000.0
Net Long Term Debt Issuance,-25000000.0,-4000000.0,,15000000.0
Investing Cash Flow,-1608000000.0,-933000000.0,-1057000000.0,-560000000.0
Cash Flow From Continuing Investing Activities,-1608000000.0,-933000000.0,-1057000000.0,-560000000.0
Net Other Investing Changes,-15000000.0,7000000.0,-2000000.0,-15000000.0
Net Investment Purchase And Sale,-1575000000.0,-925000000.0,-1040000000.0,-525000000.0
Sale Of Investment,1342000000.0,1543000000.0,1661000000.0,1606000000.0
Purchase Of Investment,-2917000000.0,-2468000000.0,-2701000000.0,-2131000000.0
Net PPE Purchase And Sale,-18000000.0,-15000000.0,-15000000.0,-20000000.0
Purchase Of PPE,-18000000.0,-15000000.0,-15000000.0,-20000000.0
Operating Cash Flow,2052000000.0,2052000000.0,1981000000.0,1491000000.0
Cash Flow From Continuing Operating Activities,2052000000.0,2052000000.0,1981000000.0,1491000000.0
Change In Working Capital,937000000.0,1231000000.0,720000000.0,838000000.0
Change In Other Working Capital,42000000.0,-40000000.0,-25000000.0,44000000.0
Change In Other Current Liabilities,90000000.0,88000000.0,128000000.0,-5000000.0
Change In Other Current Assets,-30000000.0,28000000.0,-11000000.0,-26000000.0
Change In Receivables,-264000000.0,-340000000.0,-240000000.0,-23000000.0
Changes In Account Receivables,-264000000.0,-340000000.0,-240000000.0,-23000000.0
Stock Based Compensation,,,33000000.0,31000000.0
Deferred Tax,223000000.0,-355000000.0,483000000.0,136000000.0
Deferred Income Tax,223000000.0,-355000000.0,483000000.0,136000000.0
Depreciation And Amortization,112000000.0,127000000.0,118000000.0,109000000.0
Depreciation,112000000.0,127000000.0,118000000.0,
Operating Gains Losses,-1108000000.0,1493000000.0,-2353000000.0,-851000000.0
Gain Loss On Investment Securities,-1108000000.0,1493000000.0,-2353000000.0,-851000000.0
Net Income From Continuing Operations,1843000000.0,-487000000.0,2968000000.0,1216000000.0
