,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,359234138.0,358932100.0,358602100.0,358113100.0
Share Issued,359234138.0,358932100.0,358602100.0,358113100.0
Net Debt,513400000.0,718300000.0,610200000.0,1810600000.0
Total Debt,3425400000.0,3438400000.0,3445100000.0,3443800000.0
Tangible Book Value,-3982900000.0,-4048800000.0,-3836000000.0,-6519500000.0
Invested Capital,30163300000.0,30317100000.0,30844400000.0,29763700000.0
Working Capital,1473300000.0,1390800000.0,1363400000.0,1086000000.0
Net Tangible Assets,-3982900000.0,-4048800000.0,-3836000000.0,-6519500000.0
Common Stock Equity,26737900000.0,26878700000.0,27399300000.0,26319900000.0
Total Capitalization,30163300000.0,30301100000.0,30095000000.0,29763700000.0
Total Equity Gross Minority Interest,26737900000.0,26878700000.0,27399300000.0,26351500000.0
Minority Interest,,,0.0,31600000.0
Stockholders Equity,26737900000.0,26878700000.0,27399300000.0,26319900000.0
Gains Losses Not Affecting Retained Earnings,-55600000.0,-133300000.0,53500000.0,134900000.0
Other Equity Adjustments,-55600000.0,-133300000.0,53500000.0,134900000.0
Retained Earnings,4455200000.0,4746800000.0,5151900000.0,4995900000.0
Additional Paid In Capital,22334700000.0,22261600000.0,22190300000.0,21185500000.0
Capital Stock,3600000.0,3600000.0,3600000.0,3600000.0
Common Stock,3600000.0,3600000.0,3600000.0,3600000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,102968200000.0,147297000000.0,169381000000.0,98308100000.0
Total Non Current Liabilities Net Minority Interest,9551300000.0,9609500000.0,8982600000.0,10110200000.0
Other Non Current Liabilities,798200000.0,826000000.0,896500000.0,1059400000.0
Non Current Deferred Liabilities,5327700000.0,5361100000.0,5390400000.0,5607000000.0
Non Current Deferred Taxes Liabilities,5327700000.0,5361100000.0,5390400000.0,5607000000.0
Long Term Debt And Capital Lease Obligation,3425400000.0,3422400000.0,2695700000.0,3443800000.0
Long Term Debt,3425400000.0,3422400000.0,2695700000.0,3443800000.0
Current Liabilities,93416900000.0,137687500000.0,160398400000.0,88197900000.0
Other Current Liabilities,93326300000.0,137550100000.0,159600200000.0,88128600000.0
Current Debt And Capital Lease Obligation,,16000000.0,749400000.0,
Current Debt,,16000000.0,749400000.0,
Current Notes Payable,0.0,16000000.0,749400000.0,0.0
Payables And Accrued Expenses,90600000.0,121400000.0,48800000.0,69300000.0
Payables,90600000.0,121400000.0,48800000.0,69300000.0
Accounts Payable,90600000.0,121400000.0,48800000.0,69300000.0
Total Assets,129706100000.0,174175700000.0,196780300000.0,124659600000.0
Total Non Current Assets,34815900000.0,35097400000.0,35018500000.0,35375700000.0
Other Non Current Assets,3685600000.0,3714400000.0,3277900000.0,1957100000.0
Goodwill And Other Intangible Assets,30720800000.0,30927500000.0,31235300000.0,32839400000.0
Other Intangible Assets,20225500000.0,20445000000.0,20707300000.0,22040600000.0
Goodwill,10495300000.0,10482500000.0,10528000000.0,10798800000.0
Net PPE,409500000.0,455500000.0,505300000.0,579200000.0
Accumulated Depreciation,-933100000.0,-1145200000.0,-1039500000.0,-961200000.0
Gross PPE,1342600000.0,1600700000.0,1544800000.0,1540400000.0
Leases,143700000.0,224800000.0,232300000.0,225500000.0
Machinery Furniture Equipment,1068200000.0,1243700000.0,1180200000.0,1140100000.0
Buildings And Improvements,130700000.0,132200000.0,132300000.0,167100000.0
Land And Improvements,,,0.0,7700000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,94890200000.0,139078300000.0,161761800000.0,89283900000.0
Other Current Assets,1133200000.0,524900000.0,423000000.0,302000000.0
Restricted Cash,90197700000.0,135254100000.0,157954400000.0,86786500000.0
Receivables,535600000.0,483200000.0,434500000.0,461300000.0
Accounts Receivable,535600000.0,483200000.0,434500000.0,461300000.0
Allowance For Doubtful Accounts Receivable,-7100000.0,-8100000.0,-5600000.0,-5400000.0
Gross Accounts Receivable,542700000.0,491300000.0,440100000.0,466700000.0
Cash Cash Equivalents And Short Term Investments,3023700000.0,2816100000.0,2949900000.0,1734100000.0
Other Short Term Investments,111700000.0,96000000.0,115000000.0,100900000.0
Cash And Cash Equivalents,2912000000.0,2720100000.0,2834900000.0,1633200000.0
