,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3377400000.0,2966300000.0,2275200000.0,2518100000.0
Repayment Of Debt,-16400000.0,-756200000.0,0.0,0.0
Issuance Of Debt,0.0,741000000.0,0.0,0.0
Issuance Of Capital Stock,0.0,0.0,965000000.0,0.0
Capital Expenditure,-76400000.0,-89700000.0,-127200000.0,-197500000.0
Interest Paid Supplemental Data,129900000.0,133200000.0,133300000.0,133300000.0
Income Tax Paid Supplemental Data,1109400000.0,973400000.0,755000000.0,652700000.0
End Cash Position,93109700000.0,137974300000.0,160789800000.0,88420300000.0
Beginning Cash Position,137974300000.0,160789800000.0,88420300000.0,38633600000.0
Changes In Cash,-44864600000.0,-22815500000.0,72369500000.0,49786700000.0
Financing Cash Flow,-48339300000.0,-25381700000.0,69908700000.0,47246600000.0
Cash Flow From Continuing Financing Activities,-48339300000.0,-25381700000.0,69908700000.0,47246600000.0
Net Other Financing Charges,-45087400000.0,-22733000000.0,71133000000.0,49661200000.0
Cash Dividends Paid,-3235500000.0,-2633500000.0,-2189300000.0,-2110000000.0
Common Stock Dividend Paid,,,,-2110000000.0
Net Preferred Stock Issuance,0.0,0.0,965000000.0,0.0
Preferred Stock Issuance,0.0,0.0,965000000.0,0.0
Net Issuance Payments Of Debt,-16400000.0,-15200000.0,0.0,-304600000.0
Net Short Term Debt Issuance,,0.0,0.0,-304600000.0
Short Term Debt Payments,,0.0,0.0,-304600000.0
Net Long Term Debt Issuance,-16400000.0,-15200000.0,0.0,0.0
Long Term Debt Payments,-16400000.0,-756200000.0,0.0,0.0
Long Term Debt Issuance,0.0,741000000.0,0.0,0.0
Investing Cash Flow,20900000.0,-489800000.0,58400000.0,-175500000.0
Cash Flow From Continuing Investing Activities,20900000.0,-489800000.0,58400000.0,-175500000.0
Net Investment Purchase And Sale,1800000.0,1900000.0,1600000.0,1200000.0
Sale Of Investment,5900000.0,6300000.0,9400000.0,12300000.0
Purchase Of Investment,-4100000.0,-4400000.0,-7800000.0,-11100000.0
Net Business Purchase And Sale,95500000.0,-402000000.0,144700000.0,20800000.0
Sale Of Business,97900000.0,11100000.0,202100000.0,26300000.0
Purchase Of Business,-2400000.0,-413100000.0,-57400000.0,-5500000.0
Net PPE Purchase And Sale,-76400000.0,-89700000.0,-87900000.0,-197500000.0
Sale Of PPE,0.0,0.0,39300000.0,0.0
Purchase Of PPE,-76400000.0,-89700000.0,-127200000.0,-197500000.0
Operating Cash Flow,3453800000.0,3056000000.0,2402400000.0,2715600000.0
Cash Flow From Continuing Operating Activities,3453800000.0,3056000000.0,2402400000.0,2715600000.0
Change In Working Capital,-95200000.0,-95200000.0,-161800000.0,59200000.0
Change In Other Working Capital,,,,42800000.0
Change In Other Current Liabilities,610000000.0,20700000.0,17100000.0,-83100000.0
Change In Other Current Assets,-545800000.0,10500000.0,5900000.0,102000000.0
Change In Payables And Accrued Expense,-107900000.0,-75300000.0,-139100000.0,12100000.0
Change In Payable,-107900000.0,-75300000.0,-139100000.0,12100000.0
Change In Account Payable,-30800000.0,72500000.0,-18600000.0,7400000.0
Change In Tax Payable,-77100000.0,-147800000.0,-120500000.0,4700000.0
Change In Income Tax Payable,-77100000.0,-147800000.0,-120500000.0,4700000.0
Change In Receivables,-51500000.0,-51100000.0,-45700000.0,28200000.0
Changes In Account Receivables,-51500000.0,-51100000.0,-45700000.0,28200000.0
Other Non Cash Items,34400000.0,41300000.0,-20000000.0,900000.0
Stock Based Compensation,82900000.0,84300000.0,75200000.0,96000000.0
Deferred Tax,-75000000.0,-23200000.0,34800000.0,-41600000.0
Deferred Income Tax,-75000000.0,-23200000.0,34800000.0,-41600000.0
Depreciation Amortization Depletion,352600000.0,362600000.0,385400000.0,464400000.0
Depreciation And Amortization,352600000.0,362600000.0,385400000.0,464400000.0
Amortization Cash Flow,226600000.0,227700000.0,237600000.0,311200000.0
Amortization Of Intangibles,226600000.0,227700000.0,237600000.0,311200000.0
Depreciation,126000000.0,134900000.0,147800000.0,153200000.0
Operating Gains Losses,-72100000.0,-4800000.0,-548100000.0,30300000.0
Earnings Losses From Equity Investments,,,-24400000.0,-7700000.0
Gain Loss On Investment Securities,-72100000.0,-4800000.0,-117000000.0,4000000.0
Gain Loss On Sale Of PPE,0.0,0.0,-30400000.0,0.0
Gain Loss On Sale Of Business,0.0,0.0,-400700000.0,0.0
Net Income From Continuing Operations,3226200000.0,2691000000.0,2636900000.0,2106400000.0
