,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1176391900.0,503433600.0,66904200.0,41290200.0
Tax Rate For Calcs,0.223,0.229,0.218,0.226
Normalized EBITDA,-609700000.0,1817200000.0,3619000000.0,3170000000.0
Total Unusual Items,5275300000.0,2198400000.0,306900000.0,182700000.0
Total Unusual Items Excluding Goodwill,5275300000.0,2198400000.0,306900000.0,182700000.0
Net Income From Continuing Operation Net Minority Interest,3226200000.0,2691000000.0,2636400000.0,2105200000.0
Reconciled Depreciation,352600000.0,362600000.0,385400000.0,464400000.0
Reconciled Cost Of Revenue,828600000.0,753100000.0,837000000.0,856500000.0
EBITDA,4665600000.0,4015600000.0,3925900000.0,3352700000.0
EBIT,4313000000.0,3653000000.0,3540500000.0,2888300000.0
Net Interest Income,-159400000.0,-162700000.0,-166900000.0,-166200000.0
Interest Expense,159400000.0,162700000.0,166900000.0,166200000.0
Normalized Income,-872708100.0,996033600.0,2396404200.0,1963790200.0
Net Income From Continuing And Discontinued Operation,3226200000.0,2691000000.0,2636400000.0,2105200000.0
Total Expenses,2143200000.0,2003500000.0,2044500000.0,2246200000.0
Total Operating Income As Reported,3435700000.0,3015900000.0,2645200000.0,2637400000.0
Diluted Average Shares,359500000.0,359181000.0,358929000.0,358524000.0
Basic Average Shares,359023000.0,358713000.0,358340000.0,357764000.0
Diluted EPS,8.86,7.4,7.29,5.87
Basic EPS,8.87,7.41,7.3,5.88
Diluted NI Availto Com Stockholders,3185600000.0,2657200000.0,2617100000.0,2105200000.0
Net Income Common Stockholders,3185600000.0,2657200000.0,2617100000.0,2105200000.0
Otherunder Preferred Stock Dividend,-3600000.0,-5100000.0,300000.0,0.0
Preferred Stock Dividends,44200000.0,38900000.0,19000000.0,
Net Income,3226200000.0,2691000000.0,2636400000.0,2105200000.0
Minority Interests,0.0,0.0,500000.0,-1200000.0
Net Income Including Noncontrolling Interests,3226200000.0,2691000000.0,2636900000.0,2106400000.0
Net Income Continuous Operations,3226200000.0,2691000000.0,2636900000.0,2106400000.0
Tax Provision,927400000.0,799300000.0,736700000.0,615700000.0
Pretax Income,4153600000.0,3490300000.0,3373600000.0,2722100000.0
Other Income Expense,877300000.0,637100000.0,895300000.0,250900000.0
Other Non Operating Income Expenses,-4694900000.0,-1862400000.0,342600000.0,-122400000.0
Earnings From Equity Interest,296900000.0,301100000.0,245800000.0,190600000.0
Gain On Sale Of Security,5275300000.0,2198400000.0,306900000.0,182700000.0
Net Non Operating Interest Income Expense,-159400000.0,-162700000.0,-166900000.0,-166200000.0
Interest Expense Non Operating,159400000.0,162700000.0,166900000.0,166200000.0
Operating Income,3435700000.0,3015900000.0,2645200000.0,2637400000.0
Operating Expense,1314600000.0,1250400000.0,1207500000.0,1389700000.0
Other Operating Expenses,817600000.0,750400000.0,670400000.0,734000000.0
Depreciation Amortization Depletion Income Statement,352600000.0,362600000.0,385400000.0,464400000.0
Depreciation And Amortization In Income Statement,352600000.0,362600000.0,385400000.0,464400000.0
Amortization,226600000.0,227700000.0,237600000.0,311200000.0
Amortization Of Intangibles Income Statement,226600000.0,227700000.0,237600000.0,311200000.0
Depreciation Income Statement,126000000.0,134900000.0,147800000.0,153200000.0
Selling General And Administration,144400000.0,137400000.0,151700000.0,191300000.0
General And Administrative Expense,144400000.0,137400000.0,151700000.0,191300000.0
Other Gand A,144400000.0,137400000.0,151700000.0,191300000.0
Gross Profit,4750300000.0,4266300000.0,3852700000.0,4027100000.0
Cost Of Revenue,828600000.0,753100000.0,837000000.0,856500000.0
Total Revenue,5578900000.0,5019400000.0,4689700000.0,4883600000.0
Operating Revenue,5252200000.0,4753600000.0,4342000000.0,4442800000.0
