,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-524000000.0,-2609000000.0,-3142000000.0,-601000000.0
Repurchase Of Capital Stock,-800000000.0,0.0,0.0,
Repayment Of Debt,-3190000000.0,-2280000000.0,-3147000000.0,-3535000000.0
Issuance Of Debt,6044000000.0,2089000000.0,4493000000.0,1849000000.0
Issuance Of Capital Stock,,0.0,0.0,1395000000.0
Capital Expenditure,-4401000000.0,-4419000000.0,-3164000000.0,-2596000000.0
Interest Paid Supplemental Data,664000000.0,480000000.0,489000000.0,471000000.0
Income Tax Paid Supplemental Data,215000000.0,421000000.0,,143000000.0
End Cash Position,109000000.0,91000000.0,254000000.0,167000000.0
Beginning Cash Position,91000000.0,254000000.0,167000000.0,271000000.0
Changes In Cash,18000000.0,-163000000.0,87000000.0,-104000000.0
Financing Cash Flow,374000000.0,-345000000.0,1916000000.0,-834000000.0
Cash Flow From Continuing Financing Activities,374000000.0,-345000000.0,1916000000.0,-834000000.0
Net Other Financing Charges,-80000000.0,-43000000.0,-43000000.0,-14000000.0
Cash Dividends Paid,-535000000.0,-489000000.0,-492000000.0,-529000000.0
Preferred Stock Dividend Paid,-50000000.0,-49000000.0,-107000000.0,-137000000.0
Common Stock Dividend Paid,-485000000.0,-440000000.0,-385000000.0,-392000000.0
Net Preferred Stock Issuance,-800000000.0,0.0,0.0,723000000.0
Preferred Stock Payments,-800000000.0,0.0,0.0,
Preferred Stock Issuance,,0.0,0.0,723000000.0
Net Common Stock Issuance,,0.0,0.0,672000000.0
Common Stock Issuance,,0.0,0.0,672000000.0
Net Issuance Payments Of Debt,1789000000.0,187000000.0,2451000000.0,-1686000000.0
Net Short Term Debt Issuance,-1065000000.0,378000000.0,1105000000.0,-761000000.0
Short Term Debt Payments,,-74000000.0,-27000000.0,-761000000.0
Short Term Debt Issuance,,452000000.0,1132000000.0,0.0
Net Long Term Debt Issuance,2854000000.0,-191000000.0,1346000000.0,-925000000.0
Long Term Debt Payments,-3190000000.0,-2280000000.0,-3147000000.0,-2774000000.0
Long Term Debt Issuance,6044000000.0,2089000000.0,4493000000.0,1849000000.0
Investing Cash Flow,-4233000000.0,-1628000000.0,-1851000000.0,-1265000000.0
Cash Flow From Continuing Investing Activities,-4233000000.0,-1628000000.0,-1851000000.0,-1265000000.0
Net Other Investing Changes,24000000.0,14000000.0,-29000000.0,36000000.0
Dividends Received Cfi,,0.0,0.0,80000000.0
Net Investment Purchase And Sale,0.0,702000000.0,1320000000.0,0.0
Sale Of Investment,0.0,702000000.0,1320000000.0,0.0
Purchase Of Investment,,,,0.0
Net Business Purchase And Sale,144000000.0,2075000000.0,22000000.0,1215000000.0
Sale Of Business,144000000.0,2075000000.0,22000000.0,1215000000.0
Purchase Of Business,,,0.0,0.0
Capital Expenditure Reported,-4401000000.0,-4419000000.0,-3164000000.0,-2596000000.0
Operating Cash Flow,3877000000.0,1810000000.0,22000000.0,1995000000.0
Cash Flow From Continuing Operating Activities,3877000000.0,1810000000.0,22000000.0,1995000000.0
Dividend Received Cfo,0.0,0.0,155000000.0,113000000.0
Change In Working Capital,1491000000.0,-198000000.0,-2274000000.0,147000000.0
Change In Other Working Capital,1277000000.0,338000000.0,-2292000000.0,22000000.0
Change In Other Current Liabilities,,,,41000000.0
Change In Other Current Assets,,,,-8000000.0
Change In Payables And Accrued Expense,-302000000.0,203000000.0,175000000.0,2000000.0
Change In Accrued Expense,,,,24000000.0
Change In Interest Payable,,,,24000000.0
Change In Payable,-302000000.0,203000000.0,175000000.0,2000000.0
Change In Account Payable,-302000000.0,203000000.0,175000000.0,2000000.0
Change In Prepaid Assets,,,,72000000.0
Change In Inventory,167000000.0,-259000000.0,-140000000.0,9000000.0
Change In Receivables,349000000.0,-480000000.0,-17000000.0,114000000.0
Changes In Account Receivables,423000000.0,-461000000.0,-98000000.0,90000000.0
Other Non Cash Items,28000000.0,44000000.0,24000000.0,-51000000.0
Unrealized Gain Loss On Investment Securities,,,172000000.0,-49000000.0
Asset Impairment Charge,,0.0,0.0,360000000.0
Deferred Tax,31000000.0,20000000.0,213000000.0,-429000000.0
Deferred Income Tax,31000000.0,20000000.0,213000000.0,-429000000.0
Depreciation Amortization Depletion,1401000000.0,1288000000.0,1316000000.0,1189000000.0
Depreciation And Amortization,1401000000.0,1288000000.0,1316000000.0,1189000000.0
Amortization Cash Flow,309000000.0,275000000.0,292000000.0,228000000.0
Amortization Of Intangibles,309000000.0,275000000.0,292000000.0,228000000.0
Depreciation,1092000000.0,1013000000.0,1024000000.0,961000000.0
Operating Gains Losses,9000000.0,-401000000.0,-898000000.0,1439000000.0
Earnings Losses From Equity Investments,0.0,0.0,-339000000.0,1428000000.0
Gain Loss On Investment Securities,-4000000.0,-98000000.0,122000000.0,11000000.0
Gain Loss On Sale Of Business,13000000.0,-303000000.0,-681000000.0,0.0
Net Income From Continuing Operations,917000000.0,1057000000.0,1486000000.0,-773000000.0
