,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,109641440.0,106819205.0,79161330.0,67942926.0,
Ordinary Shares Number,116629634.0,117347045.0,142806269.0,151280011.0,
Share Issued,226271074.0,224166250.0,221967599.0,219222937.0,
Net Debt,1524000000.0,1578000000.0,991000000.0,1110000000.0,
Total Debt,3575000000.0,3604000000.0,3041000000.0,3446000000.0,
Tangible Book Value,-901000000.0,-1173000000.0,-706000000.0,-1332000000.0,
Invested Capital,3322000000.0,3675000000.0,3719000000.0,3500000000.0,
Working Capital,-87000000.0,420000000.0,325000000.0,-75000000.0,
Net Tangible Assets,-901000000.0,-1173000000.0,-706000000.0,-1332000000.0,
Capital Lease Obligations,1852000000.0,1777000000.0,1881000000.0,2104000000.0,
Common Stock Equity,1599000000.0,1848000000.0,2559000000.0,2158000000.0,
Total Capitalization,2860000000.0,3670000000.0,3690000000.0,3377000000.0,
Total Equity Gross Minority Interest,1600000000.0,1849000000.0,2558000000.0,2157000000.0,
Minority Interest,1000000.0,1000000.0,-1000000.0,-1000000.0,
Stockholders Equity,1599000000.0,1848000000.0,2559000000.0,2158000000.0,
Gains Losses Not Affecting Retained Earnings,161000000.0,147000000.0,194000000.0,56000000.0,
Other Equity Adjustments,161000000.0,147000000.0,194000000.0,56000000.0,
Treasury Stock,5458000000.0,5351000000.0,3987000000.0,3326000000.0,
Retained Earnings,5479000000.0,5708000000.0,5092000000.0,4270000000.0,
Additional Paid In Capital,1417000000.0,1344000000.0,1260000000.0,1158000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,5089000000.0,5446000000.0,4922000000.0,5324000000.0,
Total Non Current Liabilities Net Minority Interest,3394000000.0,3996000000.0,3356000000.0,3703000000.0,
Other Non Current Liabilities,319000000.0,318000000.0,326000000.0,430000000.0,
Preferred Securities Outside Stock Equity,,,,,0.0
Non Current Deferred Liabilities,362000000.0,508000000.0,432000000.0,397000000.0,
Non Current Deferred Taxes Liabilities,362000000.0,508000000.0,432000000.0,397000000.0,
Long Term Debt And Capital Lease Obligation,2713000000.0,3170000000.0,2598000000.0,2876000000.0,
Long Term Capital Lease Obligation,1452000000.0,1348000000.0,1467000000.0,1657000000.0,
Long Term Debt,1261000000.0,1822000000.0,1131000000.0,1219000000.0,
Current Liabilities,1695000000.0,1450000000.0,1566000000.0,1621000000.0,
Other Current Liabilities,144000000.0,137000000.0,152000000.0,161000000.0,
Current Deferred Liabilities,19000000.0,32000000.0,24000000.0,12000000.0,
Current Deferred Revenue,19000000.0,32000000.0,24000000.0,12000000.0,
Current Debt And Capital Lease Obligation,862000000.0,434000000.0,443000000.0,570000000.0,
Current Capital Lease Obligation,400000000.0,429000000.0,414000000.0,447000000.0,
Current Debt,462000000.0,5000000.0,29000000.0,123000000.0,
Other Current Borrowings,462000000.0,5000000.0,29000000.0,123000000.0,
Payables And Accrued Expenses,670000000.0,847000000.0,947000000.0,878000000.0,
