,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3268000000.0,3486000000.0,3308000000.0,2637000000.0
Repurchase Of Capital Stock,-3482000000.0,-4731000000.0,-2886000000.0,-867000000.0
Repayment Of Debt,-153000000.0,-186000000.0,-426000000.0,-745000000.0
Issuance Of Debt,600000000.0,2000000000.0,0.0,1000000000.0
Capital Expenditure,-2281000000.0,-2133000000.0,-1791000000.0,-1626000000.0
Interest Paid Supplemental Data,806000000.0,729000000.0,718000000.0,750000000.0
Income Tax Paid Supplemental Data,630000000.0,1167000000.0,931000000.0,664000000.0
End Cash Position,1353000000.0,1958000000.0,2239000000.0,3129000000.0
Beginning Cash Position,1958000000.0,2239000000.0,3129000000.0,958000000.0
Changes In Cash,-605000000.0,-281000000.0,-890000000.0,2171000000.0
Financing Cash Flow,-3867000000.0,-3769000000.0,-4112000000.0,-1443000000.0
Cash Flow From Continuing Financing Activities,-3867000000.0,-3769000000.0,-4112000000.0,-1443000000.0
Net Other Financing Charges,50000000.0,,39000000.0,-34000000.0
Cash Dividends Paid,-882000000.0,-852000000.0,-839000000.0,-797000000.0
Common Stock Dividend Paid,,,,-797000000.0
Net Common Stock Issuance,-3482000000.0,-4731000000.0,-2886000000.0,-867000000.0
Common Stock Payments,-3482000000.0,-4731000000.0,-2886000000.0,-867000000.0
Net Issuance Payments Of Debt,447000000.0,1814000000.0,-426000000.0,255000000.0
Net Long Term Debt Issuance,447000000.0,1814000000.0,-426000000.0,255000000.0
Long Term Debt Payments,-153000000.0,-186000000.0,-426000000.0,-745000000.0
Long Term Debt Issuance,600000000.0,2000000000.0,0.0,1000000000.0
Investing Cash Flow,-2287000000.0,-2131000000.0,-1877000000.0,-649000000.0
Cash Flow From Continuing Investing Activities,-2287000000.0,-2131000000.0,-1877000000.0,-649000000.0
Net Other Investing Changes,-76000000.0,33000000.0,-4000000.0,-77000000.0
Net Investment Purchase And Sale,49000000.0,-50000000.0,-70000000.0,998000000.0
Sale Of Investment,153000000.0,9000000.0,5000000.0,1424000000.0
Purchase Of Investment,-104000000.0,-59000000.0,-75000000.0,-426000000.0
Net Business Purchase And Sale,-31000000.0,-227000000.0,-541000000.0,0.0
Purchase Of Business,-31000000.0,-227000000.0,-541000000.0,0.0
Net PPE Purchase And Sale,-2229000000.0,-1887000000.0,-1262000000.0,-1570000000.0
Sale Of PPE,52000000.0,246000000.0,529000000.0,56000000.0
Purchase Of PPE,-2281000000.0,-2133000000.0,-1791000000.0,-1626000000.0
Operating Cash Flow,5549000000.0,5619000000.0,5099000000.0,4263000000.0
Cash Flow From Continuing Operating Activities,5549000000.0,5619000000.0,5099000000.0,4263000000.0
Change In Working Capital,122000000.0,91000000.0,173000000.0,2000000.0
Change In Other Current Liabilities,-221000000.0,113000000.0,139000000.0,-25000000.0
Change In Other Current Assets,-120000000.0,-22000000.0,-25000000.0,-75000000.0
Change In Payables And Accrued Expense,514000000.0,101000000.0,200000000.0,19000000.0
Change In Payable,514000000.0,101000000.0,200000000.0,19000000.0
Change In Account Payable,83000000.0,140000000.0,128000000.0,-20000000.0
Change In Tax Payable,431000000.0,-39000000.0,72000000.0,39000000.0
Change In Income Tax Payable,431000000.0,-39000000.0,72000000.0,39000000.0
Change In Receivables,-51000000.0,-101000000.0,-141000000.0,83000000.0
Changes In Account Receivables,-51000000.0,-101000000.0,-141000000.0,83000000.0
Other Non Cash Items,-5000000.0,-17000000.0,12000000.0,-32000000.0
Deferred Tax,140000000.0,117000000.0,167000000.0,180000000.0
Deferred Income Tax,140000000.0,117000000.0,167000000.0,180000000.0
Depreciation Amortization Depletion,1611000000.0,1500000000.0,1420000000.0,1383000000.0
Depreciation And Amortization,1611000000.0,1500000000.0,1420000000.0,1383000000.0
Depreciation,,,1420000000.0,1383000000.0
Operating Gains Losses,-34000000.0,-238000000.0,-454000000.0,-35000000.0
Gain Loss On Sale Of PPE,-34000000.0,-238000000.0,-454000000.0,-35000000.0
Net Income From Continuing Operations,3715000000.0,4166000000.0,3781000000.0,2765000000.0
