,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-8967000.0,-458000.0,0.0
Tax Rate For Calcs,0.2364,0.2135,0.229,0.1684
Normalized EBITDA,3860000000.0,6959000000.0,2259000000.0,691000000.0
Total Unusual Items,0.0,-42000000.0,-2000000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-42000000.0,-2000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1625000000.0,4065000000.0,1158000000.0,201000000.0
Reconciled Depreciation,1641000000.0,1635000000.0,693000000.0,395000000.0
Reconciled Cost Of Revenue,3178000000.0,3050000000.0,1512000000.0,1035000000.0
EBITDA,3860000000.0,6917000000.0,2257000000.0,691000000.0
EBIT,2219000000.0,5282000000.0,1564000000.0,296000000.0
Net Interest Income,-26000000.0,-70000000.0,-62000000.0,-54000000.0
Interest Expense,91000000.0,113000000.0,62000000.0,54000000.0
Interest Income,68000000.0,47000000.0,0.0,
Normalized Income,1625000000.0,4098033000.0,1159542000.0,201000000.0
Net Income From Continuing And Discontinued Operation,1625000000.0,4065000000.0,1158000000.0,201000000.0
Total Expenses,3760000000.0,3772000000.0,1883000000.0,1170000000.0
Total Operating Income As Reported,2154000000.0,5209000000.0,1564000000.0,296000000.0
Diluted Average Shares,756000000.0,796000000.0,503000000.0,398521000.0
Basic Average Shares,756000000.0,796000000.0,503000000.0,398521000.0
Diluted EPS,2.14,5.09,2.3,0.5
Basic EPS,2.14,5.09,2.3,0.5
Diluted NI Availto Com Stockholders,1620000000.0,4057000000.0,1155000000.0,201000000.0
Net Income Common Stockholders,1620000000.0,4057000000.0,1155000000.0,201000000.0
Otherunder Preferred Stock Dividend,5000000.0,7000000.0,2000000.0,0.0
Preferred Stock Dividends,,1000000.0,1000000.0,
Net Income,1625000000.0,4065000000.0,1158000000.0,201000000.0
Net Income Including Noncontrolling Interests,1625000000.0,4065000000.0,1158000000.0,201000000.0
Net Income Continuous Operations,1625000000.0,4065000000.0,1158000000.0,201000000.0
Tax Provision,503000000.0,1104000000.0,344000000.0,41000000.0
Pretax Income,2128000000.0,5169000000.0,1502000000.0,242000000.0
Other Income Expense,,-40000000.0,-2000000.0,-779000.0
Other Non Operating Income Expenses,,2000000.0,,-229000.0
Special Income Charges,0.0,-42000000.0,-2000000.0,0.0
Gain On Sale Of Ppe,12000000.0,-1000000.0,-2000000.0,0.0
Other Special Charges,,-28000000.0,,
Restructuring And Mergern Acquisition,12000000.0,69000000.0,106000000.0,0.0
Earnings From Equity Interest,,,0.0,-59000.0
Net Non Operating Interest Income Expense,-26000000.0,-70000000.0,-62000000.0,-54000000.0
Total Other Finance Cost,3000000.0,4000000.0,3000000.0,
Interest Expense Non Operating,91000000.0,113000000.0,62000000.0,54000000.0
Interest Income Non Operating,68000000.0,47000000.0,0.0,
Operating Income,2154000000.0,5279000000.0,1566000000.0,296000000.0
Operating Expense,582000000.0,722000000.0,371000000.0,135000000.0
Other Operating Expenses,20000000.0,29000000.0,18000000.0,15000000.0
Other Taxes,283000000.0,366000000.0,83000000.0,14000000.0
Depreciation Amortization Depletion Income Statement,,1626000000.0,687000000.0,
Depletion Income Statement,,1474000000.0,663000000.0,
Depreciation And Amortization In Income Statement,,152000000.0,24000000.0,
Amortization,,61000000.0,1000000.0,
Amortization Of Intangibles Income Statement,,61000000.0,1000000.0,
Depreciation Income Statement,,91000000.0,23000000.0,
Selling General And Administration,279000000.0,327000000.0,270000000.0,106000000.0
General And Administrative Expense,279000000.0,327000000.0,270000000.0,106000000.0
Other Gand A,220000000.0,241000000.0,270000000.0,106000000.0
Salaries And Wages,59000000.0,86000000.0,57000000.0,43000000.0
Gross Profit,2736000000.0,6001000000.0,1937000000.0,431000000.0
Cost Of Revenue,3178000000.0,3050000000.0,1512000000.0,1035000000.0
Total Revenue,5914000000.0,9051000000.0,3449000000.0,1466000000.0
Operating Revenue,5603000000.0,9449000000.0,3657000000.0,1405000000.0
