,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,19780000000.0,37628000000.0,21131000000.0,1655000000.0
Repurchase Of Capital Stock,-14939000000.0,-11255000000.0,-1383000000.0,-1757000000.0
Repayment Of Debt,-4340000000.0,-8742000000.0,-17384000000.0,-15684000000.0
Issuance Of Debt,285000000.0,263000000.0,4448000000.0,23154000000.0
Capital Expenditure,-15829000000.0,-11974000000.0,-8056000000.0,-8922000000.0
Interest Paid Supplemental Data,465000000.0,525000000.0,699000000.0,720000000.0
Income Tax Paid Supplemental Data,10416000000.0,9148000000.0,4355000000.0,2987000000.0
End Cash Position,9275000000.0,19121000000.0,6795000000.0,6737000000.0
Beginning Cash Position,19121000000.0,6795000000.0,6737000000.0,6911000000.0
Effect Of Exchange Rate Changes,-114000000.0,-190000000.0,-151000000.0,-50000000.0
Changes In Cash,-9732000000.0,12516000000.0,209000000.0,-124000000.0
Financing Cash Flow,-30109000000.0,-24978000000.0,-23113000000.0,-3736000000.0
Cash Flow From Continuing Financing Activities,-30109000000.0,-24978000000.0,-23113000000.0,-3736000000.0
Net Other Financing Charges,-40000000.0,-114000000.0,-36000000.0,-24000000.0
Proceeds From Stock Option Exercised,261000000.0,5838000000.0,1421000000.0,226000000.0
Cash Dividends Paid,-11336000000.0,-10968000000.0,-10179000000.0,-9651000000.0
Common Stock Dividend Paid,-11336000000.0,-10968000000.0,-10179000000.0,-9651000000.0
Net Common Stock Issuance,-14939000000.0,-11255000000.0,-1383000000.0,-1757000000.0
Common Stock Payments,-14939000000.0,-11255000000.0,-1383000000.0,-1757000000.0
Net Issuance Payments Of Debt,-4055000000.0,-8479000000.0,-12936000000.0,7470000000.0
Net Short Term Debt Issuance,135000000.0,263000000.0,-5572000000.0,651000000.0
Short Term Debt Payments,0.0,0.0,-10020000000.0,-10195000000.0
Short Term Debt Issuance,135000000.0,263000000.0,4448000000.0,10846000000.0
Net Long Term Debt Issuance,-4190000000.0,-8742000000.0,-7364000000.0,6819000000.0
Long Term Debt Payments,-4340000000.0,-8742000000.0,-7364000000.0,-5489000000.0
Long Term Debt Issuance,150000000.0,0.0,0.0,12308000000.0
Investing Cash Flow,-15232000000.0,-12108000000.0,-5865000000.0,-6965000000.0
Cash Flow From Continuing Investing Activities,-15232000000.0,-12108000000.0,-5865000000.0,-6965000000.0
Net Other Investing Changes,144000000.0,1411000000.0,1753000000.0,1472000000.0
Net Investment Purchase And Sale,175000000.0,117000000.0,-1000000.0,35000000.0
Sale Of Investment,464000000.0,124000000.0,3000000.0,35000000.0
Purchase Of Investment,-289000000.0,-7000000.0,-4000000.0,0.0
Net Business Purchase And Sale,278000000.0,-1662000000.0,439000000.0,450000000.0
Sale Of Business,278000000.0,1200000000.0,439000000.0,450000000.0
Purchase Of Business,,-2862000000.0,0.0,
Capital Expenditure Reported,-15829000000.0,-11974000000.0,-8056000000.0,-8922000000.0
Operating Cash Flow,35609000000.0,49602000000.0,29187000000.0,10577000000.0
Cash Flow From Continuing Operating Activities,35609000000.0,49602000000.0,29187000000.0,10577000000.0
Dividend Received Cfo,4246000000.0,3855000000.0,3659000000.0,1543000000.0
Change In Working Capital,-3335000000.0,2066000000.0,-1660000000.0,-1604000000.0
Change In Other Working Capital,-300000000.0,-212000000.0,-320000000.0,-248000000.0
Change In Payables And Accrued Expense,-2850000000.0,5598000000.0,6698000000.0,-4272000000.0
Change In Payable,-2850000000.0,5598000000.0,6698000000.0,-4272000000.0
Change In Account Payable,-49000000.0,2750000000.0,5475000000.0,-3576000000.0
Change In Tax Payable,-2801000000.0,2848000000.0,1223000000.0,-696000000.0
Change In Income Tax Payable,-2801000000.0,2848000000.0,1223000000.0,-696000000.0
Change In Prepaid Assets,-1202000000.0,-226000000.0,19000000.0,-87000000.0
Change In Inventory,-320000000.0,-930000000.0,-530000000.0,284000000.0
Change In Receivables,1337000000.0,-2164000000.0,-7527000000.0,2719000000.0
Changes In Account Receivables,1187000000.0,-2317000000.0,-7548000000.0,2423000000.0
Other Non Cash Items,373000000.0,-1299000000.0,-964000000.0,-1272000000.0
Asset Impairment Charge,2180000000.0,950000000.0,414000000.0,2792000000.0
Deferred Tax,298000000.0,2124000000.0,700000000.0,-3604000000.0
Deferred Income Tax,298000000.0,2124000000.0,700000000.0,-3604000000.0
Depreciation Amortization Depletion,14989000000.0,15295000000.0,17013000000.0,17192000000.0
Depletion,436000000.0,486000000.0,118000000.0,1036000000.0
Depreciation And Amortization,14553000000.0,14809000000.0,16895000000.0,16156000000.0
Depreciation,14553000000.0,14809000000.0,16895000000.0,16156000000.0
Operating Gains Losses,-4553000000.0,-8997000000.0,-5664000000.0,1091000000.0
Earnings Losses From Equity Investments,-5131000000.0,-8585000000.0,-5657000000.0,472000000.0
Gain Loss On Investment Securities,,3855000000.0,3659000000.0,1543000000.0
Net Foreign Currency Exchange Gain Loss,578000000.0,-412000000.0,-7000000.0,619000000.0
Net Income From Continuing Operations,21411000000.0,35608000000.0,15689000000.0,-5561000000.0
