,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1196577865.0,1162682999.0,1115296641.0,1017674452.0
Preferred Shares Number,22000000.0,97800000.0,97800000.0,
Ordinary Shares Number,1903113839.0,1936986425.0,1984355194.0,2082089209.0
Share Issued,3099691704.0,3099669424.0,3099651835.0,3099763661.0
Net Debt,63144000000.0,,20314000000.0,
Total Debt,324076000000.0,318702000000.0,282347000000.0,301200000000.0
Tangible Book Value,163334000000.0,158075000000.0,157183000000.0,153053000000.0
Invested Capital,511929000000.0,500896000000.0,465324000000.0,481162000000.0
Net Tangible Assets,180934000000.0,177070000000.0,176178000000.0,172533000000.0
Common Stock Equity,187853000000.0,182194000000.0,182977000000.0,179962000000.0
Preferred Stock Equity,17600000000.0,18995000000.0,18995000000.0,19480000000.0
Total Capitalization,492072000000.0,472795000000.0,456346000000.0,471128000000.0
Total Equity Gross Minority Interest,206251000000.0,201838000000.0,202672000000.0,200200000000.0
Minority Interest,798000000.0,649000000.0,700000000.0,758000000.0
Stockholders Equity,205453000000.0,201189000000.0,201972000000.0,199442000000.0
Gains Losses Not Affecting Retained Earnings,-44800000000.0,-47062000000.0,-38765000000.0,-32058000000.0
Other Equity Adjustments,-44800000000.0,-47062000000.0,-38765000000.0,-32058000000.0
Treasury Stock,75238000000.0,73967000000.0,71240000000.0,64129000000.0
Retained Earnings,198905000000.0,194734000000.0,184948000000.0,168272000000.0
Additional Paid In Capital,108955000000.0,108458000000.0,108003000000.0,107846000000.0
Capital Stock,17631000000.0,19026000000.0,19026000000.0,19511000000.0
Common Stock,31000000.0,31000000.0,31000000.0,31000000.0
Preferred Stock,17600000000.0,18995000000.0,18995000000.0,19480000000.0
Total Liabilities Net Minority Interest,2205583000000.0,2214838000000.0,2088741000000.0,2059890000000.0
Long Term Debt And Capital Lease Obligation,286619000000.0,271606000000.0,254374000000.0,271686000000.0
Long Term Debt,286619000000.0,271606000000.0,254374000000.0,271686000000.0
Long Term Provisions,,,1900000000.0,
Current Debt And Capital Lease Obligation,37457000000.0,47096000000.0,27973000000.0,29514000000.0
Current Debt,37457000000.0,47096000000.0,27973000000.0,29514000000.0
Other Current Borrowings,17235000000.0,21566000000.0,11955000000.0,11504000000.0
Commercial Paper,20222000000.0,25530000000.0,16018000000.0,18010000000.0
Payables And Accrued Expenses,63539000000.0,69218000000.0,61430000000.0,50484000000.0
Payables,63539000000.0,69218000000.0,61430000000.0,50484000000.0
Other Payable,,,,39319000000.0
Accounts Payable,63539000000.0,69218000000.0,61430000000.0,50484000000.0
Total Assets,2411834000000.0,2416676000000.0,2291413000000.0,2260090000000.0
Investments And Advances,721817000000.0,716228000000.0,700253000000.0,647003000000.0
Held To Maturity Securities,254247000000.0,268863000000.0,215503000000.0,104396000000.0
Available For Sale Securities,7902000000.0,8040000000.0,7337000000.0,7332000000.0
Trading Securities,214600000000.0,200579000000.0,198117000000.0,206112000000.0
Goodwill And Other Intangible Assets,24519000000.0,24119000000.0,25794000000.0,26909000000.0
Other Intangible Assets,4421000000.0,4428000000.0,4495000000.0,4747000000.0
Goodwill,20098000000.0,19691000000.0,21299000000.0,22162000000.0
Net PPE,28747000000.0,26253000000.0,24328000000.0,
Receivables,54190000000.0,54546000000.0,54795000000.0,45544000000.0
Other Receivables,275000000.0,354000000.0,455000000.0,738000000.0
Accounts Receivable,53915000000.0,54192000000.0,54340000000.0,44806000000.0
Other Short Term Investments,245068000000.0,238746000000.0,279296000000.0,329163000000.0
Cash And Cash Equivalents,260932000000.0,342025000000.0,262033000000.0,309615000000.0
Cash Financial,27342000000.0,30577000000.0,27515000000.0,26349000000.0
Cash Cash Equivalents And Federal Funds Sold,606632000000.0,707426000000.0,589321000000.0,604327000000.0
