,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,8260000000.0,6904000000.0,5825000000.0,5935000000.0
Repurchase Of Capital Stock,-1938000000.0,-2359000000.0,-2260000000.0,-348000000.0
Repayment Of Debt,-3834000000.0,-5229000000.0,-4373000000.0,-5286000000.0
Issuance Of Debt,4271000000.0,6885000000.0,1727000000.0,494000000.0
Issuance Of Capital Stock,12000000.0,10000000.0,9000000.0,503000000.0
Capital Expenditure,-303000000.0,-236000000.0,-194000000.0,-261000000.0
Interest Paid Supplemental Data,4508000000.0,1666000000.0,1077000000.0,1799000000.0
Income Tax Paid Supplemental Data,1605000000.0,1865000000.0,1305000000.0,901000000.0
End Cash Position,11728000000.0,8897000000.0,11332000000.0,13589000000.0
Beginning Cash Position,8897000000.0,11332000000.0,13589000000.0,6964000000.0
Changes In Cash,2831000000.0,-2435000000.0,-2257000000.0,6625000000.0
Financing Cash Flow,15759000000.0,16062000000.0,-8316000000.0,-1085000000.0
Cash Flow From Continuing Financing Activities,15759000000.0,16062000000.0,-8316000000.0,-1085000000.0
Cash Dividends Paid,-752000000.0,-703000000.0,-636000000.0,-576000000.0
Net Preferred Stock Issuance,,0.0,0.0,493000000.0
Preferred Stock Issuance,,0.0,0.0,493000000.0
Net Common Stock Issuance,-1926000000.0,-2349000000.0,-2251000000.0,-338000000.0
Common Stock Payments,-1938000000.0,-2359000000.0,-2260000000.0,-348000000.0
Common Stock Issuance,12000000.0,10000000.0,9000000.0,10000000.0
Net Issuance Payments Of Debt,1187000000.0,-94000000.0,-896000000.0,-4792000000.0
Net Short Term Debt Issuance,750000000.0,-1750000000.0,1750000000.0,0.0
Net Long Term Debt Issuance,437000000.0,1656000000.0,-2646000000.0,-4792000000.0
Long Term Debt Payments,-3834000000.0,-5229000000.0,-4373000000.0,-5286000000.0
Long Term Debt Issuance,4271000000.0,6885000000.0,1727000000.0,494000000.0
Investing Cash Flow,-21491000000.0,-25637000000.0,40000000.0,1514000000.0
Cash Flow From Continuing Investing Activities,-21491000000.0,-25637000000.0,40000000.0,1514000000.0
Net Investment Purchase And Sale,-1254000000.0,-5449000000.0,4808000000.0,-1270000000.0
Sale Of Investment,1891000000.0,2452000000.0,5015000000.0,7005000000.0
Purchase Of Investment,-3145000000.0,-7901000000.0,-207000000.0,-8275000000.0
Net PPE Purchase And Sale,-303000000.0,-227000000.0,-194000000.0,-261000000.0
Sale Of PPE,0.0,9000000.0,0.0,0.0
Purchase Of PPE,-303000000.0,-236000000.0,-194000000.0,-261000000.0
Operating Cash Flow,8563000000.0,7140000000.0,6019000000.0,6196000000.0
Cash Flow From Continuing Operating Activities,8563000000.0,7140000000.0,6019000000.0,6196000000.0
Change In Working Capital,270000000.0,335000000.0,-6000000.0,254000000.0
Change In Other Current Assets,-658000000.0,-846000000.0,-496000000.0,118000000.0
Change In Payables And Accrued Expense,928000000.0,1181000000.0,490000000.0,136000000.0
Change In Accrued Expense,928000000.0,1181000000.0,490000000.0,136000000.0
Other Non Cash Items,-358000000.0,-240000000.0,-38000000.0,-120000000.0
Deferred Tax,-671000000.0,-452000000.0,308000000.0,-672000000.0
Deferred Income Tax,-671000000.0,-452000000.0,308000000.0,-672000000.0
Depreciation Amortization Depletion,458000000.0,561000000.0,531000000.0,485000000.0
Depreciation And Amortization,458000000.0,561000000.0,531000000.0,485000000.0
Operating Gains Losses,50000000.0,261000000.0,-382000000.0,-26000000.0
Net Income From Continuing Operations,2796000000.0,4316000000.0,5388000000.0,1141000000.0
