,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,51000000.0,51000000.0,43000000.0,84000000.0
Ordinary Shares Number,111434997.0,111000000.0,119000000.0,133000000.0
Share Issued,162434997.0,162000000.0,162000000.0,217000000.0
Net Debt,4156000000.0,3757000000.0,3256000000.0,3010000000.0
Total Debt,5498000000.0,4714000000.0,4773000000.0,4808000000.0
Tangible Book Value,-2592000000.0,-2419000000.0,-1818000000.0,-1281000000.0
Invested Capital,11149000000.0,9965000000.0,10572000000.0,10927000000.0
Working Capital,557000000.0,347000000.0,988000000.0,1282000000.0
Net Tangible Assets,-2592000000.0,-2419000000.0,-1818000000.0,-1281000000.0
Capital Lease Obligations,656000000.0,642000000.0,645000000.0,640000000.0
Common Stock Equity,6307000000.0,5893000000.0,6444000000.0,6759000000.0
Total Capitalization,10717000000.0,9871000000.0,10454000000.0,10772000000.0
Total Equity Gross Minority Interest,6418000000.0,6007000000.0,6562000000.0,6891000000.0
Minority Interest,111000000.0,114000000.0,118000000.0,132000000.0
Stockholders Equity,6307000000.0,5893000000.0,6444000000.0,6759000000.0
Gains Losses Not Affecting Retained Earnings,-14000000.0,-21000000.0,-14000000.0,-21000000.0
Other Equity Adjustments,-14000000.0,-21000000.0,-14000000.0,-21000000.0
Treasury Stock,4826000000.0,4673000000.0,3453000000.0,5366000000.0
Retained Earnings,8825000000.0,8290000000.0,7649000000.0,9303000000.0
Additional Paid In Capital,2320000000.0,2295000000.0,2260000000.0,2841000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Total Liabilities Net Minority Interest,7604000000.0,6830000000.0,7049000000.0,7135000000.0
Total Non Current Liabilities Net Minority Interest,5789000000.0,5279000000.0,5296000000.0,5359000000.0
Other Non Current Liabilities,876000000.0,812000000.0,792000000.0,847000000.0
Preferred Securities Outside Stock Equity,,,79000000.0,82000000.0
Long Term Debt And Capital Lease Obligation,4913000000.0,4467000000.0,4504000000.0,4512000000.0
Long Term Capital Lease Obligation,503000000.0,489000000.0,494000000.0,499000000.0
Long Term Debt,4410000000.0,3978000000.0,4010000000.0,4013000000.0
Current Liabilities,1815000000.0,1551000000.0,1753000000.0,1776000000.0
Current Debt And Capital Lease Obligation,585000000.0,247000000.0,269000000.0,296000000.0
Current Capital Lease Obligation,153000000.0,153000000.0,151000000.0,141000000.0
Current Debt,432000000.0,94000000.0,118000000.0,155000000.0
Other Current Borrowings,303000000.0,2000000.0,2000000.0,2000000.0
Line Of Credit,129000000.0,92000000.0,116000000.0,153000000.0
Payables And Accrued Expenses,1230000000.0,1304000000.0,1484000000.0,1480000000.0
Current Accrued Expenses,768000000.0,881000000.0,1038000000.0,915000000.0
Interest Payable,64000000.0,26000000.0,26000000.0,26000000.0
Payables,462000000.0,423000000.0,446000000.0,565000000.0
Other Payable,5000000.0,23000000.0,5000000.0,
Dividends Payable,79000000.0,74000000.0,74000000.0,76000000.0
Total Tax Payable,0.0,2000000.0,10000000.0,43000000.0
Income Tax Payable,0.0,2000000.0,10000000.0,43000000.0
Accounts Payable,378000000.0,324000000.0,357000000.0,446000000.0
Total Assets,14022000000.0,12837000000.0,13611000000.0,14026000000.0
Total Non Current Assets,11650000000.0,10939000000.0,10870000000.0,10968000000.0
Other Non Current Assets,198000000.0,144000000.0,163000000.0,176000000.0
Investments And Advances,135000000.0,132000000.0,141000000.0,521000000.0
Long Term Equity Investment,135000000.0,132000000.0,141000000.0,521000000.0
Goodwill And Other Intangible Assets,8899000000.0,8312000000.0,8262000000.0,8040000000.0
Other Intangible Assets,1166000000.0,1092000000.0,1167000000.0,1167000000.0
Goodwill,7733000000.0,7220000000.0,7095000000.0,6873000000.0
Net PPE,2418000000.0,2351000000.0,2304000000.0,2231000000.0
Accumulated Depreciation,-3416000000.0,-3337000000.0,-3088000000.0,-2992000000.0
Gross PPE,5834000000.0,5688000000.0,5392000000.0,5223000000.0
Leases,827000000.0,760000000.0,705000000.0,666000000.0
Construction In Progress,248000000.0,277000000.0,214000000.0,202000000.0
Other Properties,602000000.0,585000000.0,597000000.0,604000000.0
Machinery Furniture Equipment,3604000000.0,3503000000.0,3301000000.0,3183000000.0
Buildings And Improvements,513000000.0,520000000.0,532000000.0,526000000.0
Land And Improvements,40000000.0,43000000.0,43000000.0,42000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2372000000.0,1898000000.0,2741000000.0,3058000000.0
Other Current Assets,286000000.0,196000000.0,223000000.0,
Prepaid Assets,,,223000000.0,157000000.0
Inventory,190000000.0,192000000.0,208000000.0,223000000.0
Receivables,1210000000.0,1195000000.0,1438000000.0,1520000000.0
Accounts Receivable,1210000000.0,1195000000.0,1438000000.0,1520000000.0
Allowance For Doubtful Accounts Receivable,-27000000.0,-30000000.0,-31000000.0,-28000000.0
Gross Accounts Receivable,1237000000.0,1225000000.0,1469000000.0,1548000000.0
Cash Cash Equivalents And Short Term Investments,686000000.0,315000000.0,872000000.0,1158000000.0
Cash And Cash Equivalents,686000000.0,315000000.0,872000000.0,1158000000.0
