,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,864000000.0,1314000000.0,1830000000.0,1587000000.0
Repurchase Of Capital Stock,-275000000.0,-1408000000.0,-2199000000.0,-325000000.0
Repayment Of Debt,-1844000000.0,-2000000.0,-2000000.0,-1554000000.0
Issuance Of Debt,2592000000.0,0.0,0.0,749000000.0
Capital Expenditure,-408000000.0,-404000000.0,-403000000.0,-418000000.0
Interest Paid Supplemental Data,134000000.0,156000000.0,159000000.0,
Income Tax Paid Supplemental Data,317000000.0,283000000.0,283000000.0,
End Cash Position,686000000.0,315000000.0,872000000.0,1158000000.0
Beginning Cash Position,315000000.0,872000000.0,1158000000.0,1192000000.0
Changes In Cash,371000000.0,-557000000.0,-286000000.0,-34000000.0
Financing Cash Flow,160000000.0,-1732000000.0,-2540000000.0,-1267000000.0
Cash Flow From Continuing Financing Activities,160000000.0,-1732000000.0,-2540000000.0,-1267000000.0
Net Other Financing Charges,-71000000.0,-140000000.0,-159000000.0,-29000000.0
Proceeds From Stock Option Exercised,72000000.0,123000000.0,129000000.0,189000000.0
Cash Dividends Paid,-314000000.0,-305000000.0,-309000000.0,-297000000.0
Common Stock Dividend Paid,-314000000.0,-305000000.0,-309000000.0,-297000000.0
Net Common Stock Issuance,-275000000.0,-1408000000.0,-2199000000.0,-325000000.0
Common Stock Payments,-275000000.0,-1408000000.0,-2199000000.0,-325000000.0
Net Issuance Payments Of Debt,748000000.0,-2000000.0,-2000000.0,-805000000.0
Net Long Term Debt Issuance,748000000.0,-2000000.0,-2000000.0,-805000000.0
Long Term Debt Payments,-1844000000.0,-2000000.0,-2000000.0,-1554000000.0
Long Term Debt Issuance,2592000000.0,0.0,0.0,749000000.0
Investing Cash Flow,-1061000000.0,-543000000.0,21000000.0,-772000000.0
Cash Flow From Continuing Investing Activities,-1061000000.0,-543000000.0,21000000.0,-772000000.0
Net Investment Purchase And Sale,-42000000.0,5000000.0,0.0,-27000000.0
Sale Of Investment,,5000000.0,0.0,
Purchase Of Investment,,,-3000000.0,-27000000.0
Net Business Purchase And Sale,-611000000.0,-144000000.0,424000000.0,-330000000.0
Sale Of Business,0.0,0.0,755000000.0,0.0
Purchase Of Business,-611000000.0,-144000000.0,-331000000.0,-330000000.0
Net PPE Purchase And Sale,,,3000000.0,3000000.0
Sale Of PPE,,,3000000.0,3000000.0
Capital Expenditure Reported,-408000000.0,-404000000.0,-403000000.0,-418000000.0
Operating Cash Flow,1272000000.0,1718000000.0,2233000000.0,2005000000.0
Cash Flow From Continuing Operating Activities,1272000000.0,1718000000.0,2233000000.0,2005000000.0
Change In Working Capital,-145000000.0,119000000.0,87000000.0,22000000.0
Change In Other Working Capital,-73000000.0,53000000.0,-9000000.0,3000000.0
Change In Payables And Accrued Expense,-57000000.0,-180000000.0,15000000.0,474000000.0
Change In Payable,-57000000.0,-180000000.0,15000000.0,474000000.0
Change In Account Payable,-55000000.0,-149000000.0,35000000.0,452000000.0
Change In Tax Payable,-2000000.0,-31000000.0,-20000000.0,22000000.0
Change In Income Tax Payable,-2000000.0,-31000000.0,-20000000.0,22000000.0
Change In Receivables,-15000000.0,246000000.0,81000000.0,-455000000.0
Changes In Account Receivables,-15000000.0,246000000.0,81000000.0,-455000000.0
Other Non Cash Items,41000000.0,66000000.0,-54000000.0,-81000000.0
Stock Based Compensation,77000000.0,77000000.0,79000000.0,97000000.0
Provisionand Write Offof Assets,1000000.0,3000000.0,4000000.0,19000000.0
Deferred Tax,-49000000.0,1000000.0,-57000000.0,85000000.0
Deferred Income Tax,-49000000.0,1000000.0,-57000000.0,85000000.0
Depreciation Amortization Depletion,439000000.0,437000000.0,408000000.0,361000000.0
Depreciation And Amortization,439000000.0,437000000.0,408000000.0,361000000.0
Amortization Cash Flow,108000000.0,120000000.0,103000000.0,
Amortization Of Intangibles,108000000.0,120000000.0,103000000.0,
Depreciation,331000000.0,317000000.0,305000000.0,
Operating Gains Losses,,,-314000000.0,3000000.0
Gain Loss On Sale Of PPE,,,9000000.0,3000000.0
Gain Loss On Sale Of Business,0.0,0.0,-314000000.0,0.0
Net Income From Continuing Operations,908000000.0,1015000000.0,2080000000.0,1499000000.0
