,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.22,0.214,0.229704,0.245
Normalized EBITDA,1732000000.0,1820000000.0,3159000000.0,2411000000.0
Net Income From Continuing Operation Net Minority Interest,854000000.0,946000000.0,1995000000.0,1431000000.0
Reconciled Depreciation,439000000.0,437000000.0,408000000.0,361000000.0
Reconciled Cost Of Revenue,5868000000.0,6133000000.0,6274000000.0,5546000000.0
EBITDA,1732000000.0,1820000000.0,3159000000.0,2411000000.0
EBIT,1293000000.0,1383000000.0,2751000000.0,2050000000.0
Net Interest Income,-152000000.0,-138000000.0,-151000000.0,-163000000.0
Interest Expense,163000000.0,148000000.0,152000000.0,166000000.0
Interest Income,11000000.0,10000000.0,1000000.0,3000000.0
Normalized Income,854000000.0,946000000.0,1995000000.0,1431000000.0
Net Income From Continuing And Discontinued Operation,854000000.0,946000000.0,1995000000.0,1431000000.0
Total Expenses,7990000000.0,8455000000.0,8407000000.0,7466000000.0
Total Operating Income As Reported,1262000000.0,1428000000.0,2381000000.0,1971000000.0
Diluted Average Shares,113000000.0,118000000.0,128000000.0,136000000.0
Basic Average Shares,112000000.0,116000000.0,125000000.0,134000000.0
Diluted EPS,7.49,7.97,15.55,10.47
Basic EPS,7.59,8.1,15.85,10.62
Diluted NI Availto Com Stockholders,850000000.0,942000000.0,1988000000.0,1425000000.0
Net Income Common Stockholders,850000000.0,942000000.0,1988000000.0,1425000000.0
Otherunder Preferred Stock Dividend,4000000.0,4000000.0,7000000.0,6000000.0
Net Income,854000000.0,946000000.0,1995000000.0,1431000000.0
Minority Interests,-54000000.0,-69000000.0,-85000000.0,-68000000.0
Net Income Including Noncontrolling Interests,908000000.0,1015000000.0,2080000000.0,1499000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,908000000.0,1015000000.0,2080000000.0,1499000000.0
Earnings From Equity Interest Net Of Tax,26000000.0,44000000.0,78000000.0,75000000.0
Tax Provision,248000000.0,264000000.0,597000000.0,460000000.0
Pretax Income,1130000000.0,1235000000.0,2599000000.0,1884000000.0
Other Income Expense,20000000.0,-55000000.0,369000000.0,76000000.0
Other Non Operating Income Expenses,20000000.0,-55000000.0,369000000.0,76000000.0
Net Non Operating Interest Income Expense,-152000000.0,-138000000.0,-151000000.0,-163000000.0
Interest Expense Non Operating,163000000.0,148000000.0,152000000.0,166000000.0
Interest Income Non Operating,11000000.0,10000000.0,1000000.0,3000000.0
Operating Income,1262000000.0,1428000000.0,2381000000.0,1971000000.0
Operating Expense,1791000000.0,2005000000.0,1828000000.0,1662000000.0
Other Operating Expenses,41000000.0,11000000.0,-2000000.0,9000000.0
Depreciation Amortization Depletion Income Statement,108000000.0,120000000.0,103000000.0,103000000.0
Depreciation And Amortization In Income Statement,108000000.0,120000000.0,103000000.0,103000000.0
Amortization,108000000.0,120000000.0,103000000.0,103000000.0
Amortization Of Intangibles Income Statement,108000000.0,120000000.0,103000000.0,103000000.0
Selling General And Administration,1642000000.0,1874000000.0,1727000000.0,1550000000.0
Gross Profit,3053000000.0,3433000000.0,4209000000.0,3633000000.0
Cost Of Revenue,6199000000.0,6450000000.0,6579000000.0,5804000000.0
Total Revenue,9252000000.0,9883000000.0,10788000000.0,9437000000.0
Operating Revenue,9252000000.0,9883000000.0,10788000000.0,9437000000.0
