,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5781000000.0,7401000000.0,7118000000.0,5417000000.0
Repurchase Of Capital Stock,0.0,0.0,0.0,
Repayment Of Debt,-620000000.0,-965000000.0,-1282000000.0,-5959000000.0
Issuance Of Debt,0.0,0.0,984000000.0,8670000000.0
Issuance Of Capital Stock,68000000.0,31000000.0,86000000.0,3550000000.0
Capital Expenditure,-1383000000.0,-1118000000.0,-1240000000.0,-791000000.0
End Cash Position,5864000000.0,5995000000.0,2586000000.0,6035000000.0
Beginning Cash Position,5995000000.0,2586000000.0,6035000000.0,19912000000.0
Effect Of Exchange Rate Changes,59000000.0,-306000000.0,-115000000.0,148000000.0
Changes In Cash,-190000000.0,3715000000.0,-3334000000.0,-14025000000.0
Financing Cash Flow,-273000000.0,-2570000000.0,1295000000.0,1006000000.0
Cash Flow From Continuing Financing Activities,-273000000.0,-2570000000.0,1295000000.0,1006000000.0
Net Other Financing Charges,2533000000.0,-95000000.0,-16000000.0,-3000000.0
Cash Dividends Paid,-1248000000.0,-818000000.0,-742000000.0,-615000000.0
Common Stock Dividend Paid,,,,-615000000.0
Net Preferred Stock Issuance,,0.0,0.0,1668000000.0
Preferred Stock Issuance,,0.0,0.0,1668000000.0
Net Common Stock Issuance,68000000.0,31000000.0,86000000.0,1882000000.0
Common Stock Payments,0.0,0.0,0.0,
Common Stock Issuance,68000000.0,31000000.0,86000000.0,1882000000.0
Net Issuance Payments Of Debt,-1626000000.0,-1688000000.0,1967000000.0,-1926000000.0
Net Short Term Debt Issuance,-1006000000.0,-723000000.0,2265000000.0,-4637000000.0
Net Long Term Debt Issuance,-620000000.0,-965000000.0,-298000000.0,2711000000.0
Long Term Debt Payments,-620000000.0,-965000000.0,-1282000000.0,-5959000000.0
Long Term Debt Issuance,0.0,0.0,984000000.0,8670000000.0
Investing Cash Flow,-7081000000.0,-2234000000.0,-12987000000.0,-21239000000.0
Cash From Discontinued Investing Activities,-33000000.0,-89000000.0,-97000000.0,0.0
Cash Flow From Continuing Investing Activities,-7048000000.0,-2145000000.0,-12890000000.0,-21239000000.0
Net Other Investing Changes,44000000.0,51000000.0,37000000.0,24000000.0
Net Investment Purchase And Sale,-111000000.0,-505000000.0,-799000000.0,-329000000.0
Sale Of Investment,61000000.0,18000000.0,126000000.0,13000000.0
Purchase Of Investment,-172000000.0,-523000000.0,-925000000.0,-342000000.0
Net Business Purchase And Sale,-5610000000.0,-582000000.0,-10901000000.0,-20145000000.0
Sale Of Business,,0.0,26000000.0,826000000.0
Purchase Of Business,-5610000000.0,-582000000.0,-10901000000.0,-20971000000.0
Net PPE Purchase And Sale,-1371000000.0,-1109000000.0,-1227000000.0,-789000000.0
Sale Of PPE,12000000.0,9000000.0,13000000.0,2000000.0
Purchase Of PPE,-1383000000.0,-1118000000.0,-1240000000.0,-791000000.0
Operating Cash Flow,7164000000.0,8519000000.0,8358000000.0,6208000000.0
Cash From Discontinued Operating Activities,674000000.0,906000000.0,935000000.0,-7000000.0
Cash Flow From Continuing Operating Activities,6490000000.0,7613000000.0,7423000000.0,6215000000.0
Change In Working Capital,-393000000.0,-1413000000.0,-561000000.0,579000000.0
Change In Other Working Capital,-1204000000.0,-582000000.0,-102000000.0,518000000.0
Change In Payables And Accrued Expense,-115000000.0,79000000.0,548000000.0,346000000.0
Change In Accrued Expense,34000000.0,97000000.0,64000000.0,119000000.0
Change In Payable,-149000000.0,-18000000.0,484000000.0,227000000.0
Change In Account Payable,-149000000.0,-18000000.0,484000000.0,227000000.0
Change In Prepaid Assets,419000000.0,-73000000.0,17000000.0,102000000.0
Change In Inventory,185000000.0,-448000000.0,-427000000.0,-123000000.0
Change In Receivables,322000000.0,-389000000.0,-597000000.0,-264000000.0
Changes In Account Receivables,322000000.0,-389000000.0,-597000000.0,-264000000.0
Other Non Cash Items,8000000.0,,601000000.0,457000000.0
Stock Based Compensation,306000000.0,295000000.0,184000000.0,187000000.0
Depreciation Amortization Depletion,2166000000.0,2132000000.0,2062000000.0,1775000000.0
Depreciation And Amortization,2166000000.0,2132000000.0,2062000000.0,1775000000.0
Amortization Cash Flow,1491000000.0,1434000000.0,1388000000.0,1138000000.0
Amortization Of Intangibles,1491000000.0,1434000000.0,1388000000.0,1138000000.0
Depreciation,675000000.0,698000000.0,674000000.0,637000000.0
Operating Gains Losses,182000000.0,271000000.0,-310000000.0,-429000000.0
Gain Loss On Sale Of Business,182000000.0,271000000.0,-406000000.0,-455000000.0
Net Income From Continuing Operations,4221000000.0,6328000000.0,5447000000.0,3646000000.0
