,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,15160478.288232,-15816576.75331,-11415685.291907,-219510000.0
Tax Rate For Calcs,0.091882,0.073565,0.067151,0.27
Normalized EBITDA,13700000000.0,12575000000.0,12031000000.0,9316000000.0
Total Unusual Items,165000000.0,-215000000.0,-170000000.0,-813000000.0
Total Unusual Items Excluding Goodwill,165000000.0,-215000000.0,-170000000.0,-813000000.0
Net Income From Continuing Operation Net Minority Interest,4296000000.0,3873000000.0,4052000000.0,1384000000.0
Reconciled Depreciation,6084000000.0,5843000000.0,5663000000.0,5486000000.0
Reconciled Cost Of Revenue,14473000000.0,15035000000.0,11762000000.0,11031000000.0
EBITDA,13865000000.0,12360000000.0,11861000000.0,8503000000.0
EBIT,7781000000.0,6517000000.0,6198000000.0,3017000000.0
Net Interest Income,-2985000000.0,-2412000000.0,-2194000000.0,-2067000000.0
Interest Expense,3014000000.0,2439000000.0,2207000000.0,2097000000.0
Interest Income,29000000.0,27000000.0,13000000.0,30000000.0
Normalized Income,4146160478.288232,4072183423.24669,4210584314.708093,1977490000.0
Net Income From Continuing And Discontinued Operation,2841000000.0,2550000000.0,3908000000.0,1377000000.0
Total Expenses,21957000000.0,22344000000.0,18780000000.0,17828000000.0
Total Operating Income As Reported,7070000000.0,6012000000.0,5500000000.0,4571000000.0
Diluted Average Shares,771000000.0,770000000.0,769000000.0,738000000.0
Basic Average Shares,771000000.0,770000000.0,769000000.0,737000000.0
Diluted EPS,3.54,3.33,4.94,1.72
Basic EPS,3.54,3.33,4.94,1.72
Diluted NI Availto Com Stockholders,2735000000.0,2444000000.0,3802000000.0,1270000000.0
Net Income Common Stockholders,2735000000.0,2444000000.0,3802000000.0,1270000000.0
Preferred Stock Dividends,106000000.0,106000000.0,106000000.0,107000000.0
Net Income,2841000000.0,2550000000.0,3908000000.0,1377000000.0
Minority Interests,-33000000.0,95000000.0,329000000.0,295000000.0
Net Income Including Noncontrolling Interests,2874000000.0,2455000000.0,3579000000.0,1082000000.0
Net Income Discontinuous Operations,-1455000000.0,-1323000000.0,-144000000.0,-7000000.0
Net Income Continuous Operations,4329000000.0,3778000000.0,3723000000.0,1089000000.0
Tax Provision,438000000.0,300000000.0,268000000.0,-169000000.0
Pretax Income,4767000000.0,4078000000.0,3991000000.0,920000000.0
Other Income Expense,649000000.0,66000000.0,344000000.0,-2551000000.0
Other Non Operating Income Expenses,371000000.0,168000000.0,452000000.0,267000000.0
Special Income Charges,165000000.0,-215000000.0,-170000000.0,-813000000.0
Gain On Sale Of Ppe,52000000.0,22000000.0,12000000.0,11000000.0
Other Special Charges,-198000000.0,-197000000.0,-171000000.0,-154000000.0
Write Off,85000000.0,434000000.0,353000000.0,978000000.0
Earnings From Equity Interest,113000000.0,113000000.0,62000000.0,-2005000000.0
Net Non Operating Interest Income Expense,-2985000000.0,-2412000000.0,-2194000000.0,-2067000000.0
Interest Expense Non Operating,3014000000.0,2439000000.0,2207000000.0,2097000000.0
Interest Income Non Operating,29000000.0,27000000.0,13000000.0,30000000.0
Operating Income,7103000000.0,6424000000.0,5841000000.0,5538000000.0
Operating Expense,6653000000.0,6552000000.0,6117000000.0,5815000000.0
Other Taxes,1400000000.0,1466000000.0,1355000000.0,1311000000.0
Depreciation Amortization Depletion Income Statement,5253000000.0,5086000000.0,4762000000.0,4504000000.0
Depreciation And Amortization In Income Statement,5253000000.0,5086000000.0,4762000000.0,4504000000.0
Gross Profit,13756000000.0,12976000000.0,11958000000.0,11353000000.0
Cost Of Revenue,15304000000.0,15792000000.0,12663000000.0,12013000000.0
Total Revenue,29060000000.0,28768000000.0,24621000000.0,23366000000.0
Operating Revenue,29060000000.0,28768000000.0,24621000000.0,23366000000.0
