,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,16382719.581179,-6366415.0,0.0,0.0,
Tax Rate For Calcs,0.182735,0.187,0.205,0.202,
Normalized EBITDA,2635069000.0,2355133000.0,2055899000.0,2484363000.0,
Total Unusual Items,89653000.0,-34045000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,89653000.0,-34045000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,936342000.0,691535000.0,546948000.0,978450000.0,
Reconciled Depreciation,723860000.0,745443000.0,732602000.0,680615000.0,
Reconciled Cost Of Revenue,8598521000.0,8319717000.0,8209553000.0,7972414000.0,
EBITDA,2724722000.0,2321088000.0,2055899000.0,2484363000.0,
EBIT,2000862000.0,1575645000.0,1323297000.0,1803748000.0,
Net Interest Income,-470469000.0,-398551000.0,-357019000.0,-285254000.0,
Interest Expense,470469000.0,398551000.0,357019000.0,285254000.0,
Normalized Income,863071719.581179,719213585.0,546948000.0,978450000.0,
Net Income From Continuing And Discontinued Operation,936342000.0,691535000.0,560400000.0,978450000.0,
Total Expenses,10860722000.0,10539144000.0,10297352000.0,9848364000.0,
Total Operating Income As Reported,2090483000.0,1602784000.0,1339062000.0,1797370000.0,
Diluted Average Shares,87274000.0,93182000.0,95834000.0,109948000.0,
Basic Average Shares,84991000.0,90790000.0,92992000.0,105230000.0,
Diluted EPS,10.73,7.42,5.85,8.9,
Basic EPS,11.02,7.62,6.03,9.3,
Diluted NI Availto Com Stockholders,936342000.0,691535000.0,560400000.0,978450000.0,
Net Income Common Stockholders,936342000.0,691535000.0,560400000.0,978450000.0,
Net Income,936342000.0,691535000.0,560400000.0,978450000.0,
Minority Interests,-314395000.0,-265443000.0,-221243000.0,-233312000.0,
Net Income Including Noncontrolling Interests,1250737000.0,956978000.0,781643000.0,1211762000.0,
Net Income Discontinuous Operations,0.0,0.0,13452000.0,0.0,
Net Income Continuous Operations,1250737000.0,956978000.0,768191000.0,1211762000.0,
Tax Provision,279656000.0,220116000.0,198087000.0,306732000.0,
Pretax Income,1530393000.0,1177094000.0,966278000.0,1518494000.0,
Other Income Expense,46034000.0,-25358000.0,10755000.0,33315000.0,
Other Non Operating Income Expenses,-69808000.0,-19177000.0,-15765000.0,6378000.0,
Special Income Charges,89653000.0,-34045000.0,0.0,0.0,
Gain On Sale Of Business,,,0.0,0.0,-16252000.0
Other Special Charges,19813000.0,7962000.0,,,89022000.0
Write Off,,,,,0.0
Impairment Of Capital Assets,0.0,26083000.0,0.0,0.0,
Restructuring And Mergern Acquisition,-109466000.0,,,,
Earnings From Equity Interest,26189000.0,27864000.0,26520000.0,26937000.0,
Net Non Operating Interest Income Expense,-470469000.0,-398551000.0,-357019000.0,-285254000.0,
Interest Expense Non Operating,470469000.0,398551000.0,357019000.0,285254000.0,
Operating Income,1954828000.0,1601003000.0,1312542000.0,1770433000.0,
Operating Expense,2262201000.0,2219427000.0,2087799000.0,1875950000.0,
Provision For Doubtful Accounts,,,,,0.0
Depreciation Amortization Depletion Income Statement,723860000.0,745443000.0,732602000.0,680615000.0,
Depreciation And Amortization In Income Statement,723860000.0,745443000.0,732602000.0,680615000.0,
Selling General And Administration,1538341000.0,1473984000.0,1355197000.0,1195335000.0,
General And Administrative Expense,1538341000.0,1473984000.0,1355197000.0,1195335000.0,
Other Gand A,1538341000.0,1473984000.0,1355197000.0,1195335000.0,
Gross Profit,4217029000.0,3820430000.0,3400341000.0,3646383000.0,
Cost Of Revenue,8598521000.0,8319717000.0,8209553000.0,7972414000.0,
Total Revenue,12815550000.0,12140147000.0,11609894000.0,11618797000.0,
Operating Revenue,12260375000.0,11574941000.0,11176464000.0,11213515000.0,
