,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-58800000.0,-381843000.0,-164430000.0,-120235294.117647
Tax Rate For Calcs,0.21,0.209,0.27,0.058824
Normalized EBITDA,7102000000.0,8200000000.0,5995000000.0,8979000000.0
Total Unusual Items,-280000000.0,-1827000000.0,-609000000.0,-2044000000.0
Total Unusual Items Excluding Goodwill,-280000000.0,-1827000000.0,-609000000.0,-2044000000.0
Net Income From Continuing Operation Net Minority Interest,2157000000.0,427000000.0,2041000000.0,1477000000.0
Reconciled Depreciation,3128000000.0,3113000000.0,2781000000.0,2836000000.0
Reconciled Cost Of Revenue,6887000000.0,6890000000.0,5343000000.0,6366000000.0
EBITDA,6822000000.0,6373000000.0,5386000000.0,6935000000.0
EBIT,3694000000.0,3260000000.0,2605000000.0,4099000000.0
Net Interest Income,-1674000000.0,-1002000000.0,-1255000000.0,-1377000000.0
Interest Expense,,,1354000000.0,1377000000.0
Normalized Income,2378200000.0,1872157000.0,2485570000.0,3400764705.882353
Net Income From Continuing And Discontinued Operation,1994000000.0,1321000000.0,3399000000.0,-401000000.0
Total Expenses,10699000000.0,10678000000.0,8814000000.0,10073000000.0
Total Operating Income As Reported,3414000000.0,1433000000.0,1996000000.0,2055000000.0
Diluted Average Shares,838000000.0,835000000.0,810000000.0,831000000.0
Basic Average Shares,838000000.0,835000000.0,810000000.0,806000000.0
Diluted EPS,2.29,1.09,3.98,-0.57
Basic EPS,2.379475,1.190419,4.059259,-0.497519
Diluted NI Availto Com Stockholders,1913000000.0,1228000000.0,3331000000.0,-477000000.0
Average Dilution Earnings,0.0,0.0,0.0,-11000000.0
Net Income Common Stockholders,1913000000.0,1228000000.0,3331000000.0,-466000000.0
Preferred Stock Dividends,81000000.0,93000000.0,68000000.0,65000000.0
Net Income,1994000000.0,1321000000.0,3399000000.0,-401000000.0
Minority Interests,0.0,0.0,-20000000.0,149000000.0
Net Income Including Noncontrolling Interests,1994000000.0,1321000000.0,3419000000.0,-550000000.0
Net Income Discontinuous Operations,-163000000.0,894000000.0,1358000000.0,-1878000000.0
Net Income Continuous Operations,2157000000.0,427000000.0,2061000000.0,1328000000.0
Tax Provision,575000000.0,113000000.0,-181000000.0,83000000.0
Pretax Income,2732000000.0,540000000.0,1880000000.0,1411000000.0
Other Income Expense,712000000.0,-1718000000.0,530000000.0,-1311000000.0
Other Non Operating Income Expenses,992000000.0,109000000.0,1139000000.0,693000000.0
Special Income Charges,-280000000.0,-1827000000.0,-609000000.0,-2044000000.0
Gain On Sale Of Ppe,27000000.0,-426000000.0,-415000000.0,61000000.0
Write Off,,2063000000.0,195000000.0,2105000000.0
Impairment Of Capital Assets,307000000.0,1401000000.0,194000000.0,2105000000.0
Earnings From Equity Interest,,299000000.0,276000000.0,40000000.0
Net Non Operating Interest Income Expense,-1674000000.0,-1002000000.0,-1255000000.0,-1377000000.0
Total Other Finance Cost,1674000000.0,1002000000.0,1255000000.0,1377000000.0
Interest Expense Non Operating,,,1354000000.0,1377000000.0
Operating Income,3694000000.0,3260000000.0,2605000000.0,4099000000.0
Operating Expense,3264000000.0,3117000000.0,2807000000.0,3203000000.0
Other Taxes,684000000.0,675000000.0,690000000.0,871000000.0
Depreciation Amortization Depletion Income Statement,2580000000.0,2442000000.0,2117000000.0,2332000000.0
Depreciation And Amortization In Income Statement,2580000000.0,2442000000.0,2117000000.0,
Gross Profit,6958000000.0,6377000000.0,5412000000.0,7302000000.0
Cost Of Revenue,7435000000.0,7561000000.0,6007000000.0,6870000000.0
Total Revenue,14393000000.0,13938000000.0,11419000000.0,14172000000.0
Operating Revenue,13487000000.0,14552000000.0,11661000000.0,13752000000.0
