,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-22948400.0,-24587500.0,-19596600.0,-27299200.0
Tax Rate For Calcs,0.206,0.175,0.191,0.152
Normalized EBITDA,3139400000.0,2674700000.0,2590500000.0,2458500000.0
Total Unusual Items,-111400000.0,-140500000.0,-102600000.0,-179600000.0
Total Unusual Items Excluding Goodwill,-111400000.0,-140500000.0,-102600000.0,-179600000.0
Net Income From Continuing Operation Net Minority Interest,1372300000.0,1091700000.0,1129900000.0,967400000.0
Reconciled Depreciation,923600000.0,938700000.0,843100000.0,812700000.0
Reconciled Cost Of Revenue,9154900000.0,8831000000.0,7615800000.0,6905800000.0
EBITDA,3028000000.0,2534200000.0,2487900000.0,2278900000.0
EBIT,2104400000.0,1595500000.0,1644800000.0,1466200000.0
Net Interest Income,-296700000.0,-243600000.0,-218300000.0,-290200000.0
Interest Expense,348900000.0,252100000.0,230600000.0,304800000.0
Interest Income,52200000.0,8500000.0,12300000.0,14600000.0
Normalized Income,1460751600.0,1207612500.0,1212903400.0,1119700800.0
Net Income From Continuing And Discontinued Operation,1372300000.0,1091700000.0,1129900000.0,-1205100000.0
Total Expenses,13216500000.0,12484800000.0,11031900000.0,10214900000.0
Total Operating Income As Reported,1992300000.0,1562500000.0,1598600000.0,1395700000.0
Diluted Average Shares,286500000.0,286600000.0,289100000.0,290300000.0
Basic Average Shares,285000000.0,285200000.0,286300000.0,287000000.0
Diluted EPS,4.79,3.81,3.91,-4.24
Basic EPS,4.82,3.83,3.95,-4.2
Diluted NI Availto Com Stockholders,1372300000.0,1091700000.0,1129900000.0,-1205100000.0
Net Income Common Stockholders,1372300000.0,1091700000.0,1129900000.0,-1205100000.0
Net Income,1372300000.0,1091700000.0,1129900000.0,-1205100000.0
Minority Interests,-20700000.0,-17200000.0,-14100000.0,-17400000.0
Net Income Including Noncontrolling Interests,1393000000.0,1108900000.0,1144000000.0,-1187700000.0
Net Income Discontinuous Operations,,0.0,0.0,-2172500000.0
Net Income Continuous Operations,1393000000.0,1108900000.0,1144000000.0,984800000.0
Tax Provision,362500000.0,234500000.0,270200000.0,176600000.0
Pretax Income,1755500000.0,1343400000.0,1414200000.0,1161400000.0
Other Income Expense,-51500000.0,-116000000.0,-68700000.0,-123700000.0
Other Non Operating Income Expenses,59900000.0,24500000.0,33900000.0,55900000.0
Special Income Charges,-111400000.0,-140500000.0,-102600000.0,-179600000.0
Gain On Sale Of Business,,0.0,0.0,-41400000.0
Other Special Charges,32100000.0,40200000.0,60800000.0,58300000.0
Restructuring And Mergern Acquisition,79300000.0,100300000.0,41800000.0,79900000.0
Net Non Operating Interest Income Expense,-296700000.0,-243600000.0,-218300000.0,-290200000.0
Interest Expense Non Operating,348900000.0,252100000.0,230600000.0,304800000.0
Interest Income Non Operating,52200000.0,8500000.0,12300000.0,14600000.0
Operating Income,2103700000.0,1703000000.0,1701200000.0,1575300000.0
Operating Expense,4061600000.0,3653800000.0,3416100000.0,3309100000.0
Selling General And Administration,4061600000.0,3653800000.0,3416100000.0,3309100000.0
Gross Profit,6165300000.0,5356800000.0,5117300000.0,4884400000.0
Cost Of Revenue,9154900000.0,8831000000.0,7615800000.0,6905800000.0
Total Revenue,15320200000.0,14187800000.0,12733100000.0,11790200000.0
Operating Revenue,15320200000.0,14187800000.0,12733100000.0,11790200000.0
