,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,66000000.0,66200000.0,66600000.0,66900000.0
Ordinary Shares Number,123300000.0,122500000.0,122100000.0,121800000.0
Share Issued,189300000.0,188700000.0,188700000.0,188700000.0
Net Debt,5494400000.0,5502100000.0,5070200000.0,2693800000.0
Total Debt,5711200000.0,5787300000.0,5294900000.0,4378400000.0
Tangible Book Value,-4249400000.0,-4340700000.0,-4666600000.0,-2420100000.0
Invested Capital,10245300000.0,9743800000.0,8879300000.0,7546800000.0
Working Capital,-662700000.0,-644700000.0,-1170400000.0,-4800000.0
Net Tangible Assets,-4249400000.0,-4340700000.0,-4666600000.0,-2420100000.0
Common Stock Equity,4534100000.0,3956500000.0,3584400000.0,3168400000.0
Total Capitalization,9281900000.0,8776600000.0,8054500000.0,6445700000.0
Total Equity Gross Minority Interest,4687500000.0,3973300000.0,3601200000.0,3210300000.0
Minority Interest,153400000.0,16800000.0,16800000.0,41900000.0
Stockholders Equity,4534100000.0,3956500000.0,3584400000.0,3168400000.0
Other Equity Interest,-5900000.0,-5900000.0,-5900000.0,-5900000.0
Gains Losses Not Affecting Retained Earnings,-431200000.0,-473700000.0,-295400000.0,-171400000.0
Other Equity Adjustments,-431200000.0,-473700000.0,-295400000.0,-171400000.0
Treasury Stock,2635300000.0,2650700000.0,2639200000.0,2547000000.0
Retained Earnings,5608600000.0,5256000000.0,4751600000.0,4185400000.0
Additional Paid In Capital,1761300000.0,1594200000.0,1536700000.0,1470700000.0
Capital Stock,236600000.0,236600000.0,236600000.0,236600000.0
Common Stock,236600000.0,236600000.0,236600000.0,236600000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,7592500000.0,7574600000.0,7439700000.0,6401500000.0
Total Non Current Liabilities Net Minority Interest,5573500000.0,5559400000.0,5148400000.0,3918400000.0
Other Non Current Liabilities,250700000.0,178600000.0,190000000.0,178100000.0
Employee Benefits,100100000.0,100400000.0,130100000.0,130700000.0
Non Current Pension And Other Postretirement Benefit Plans,100100000.0,100400000.0,130100000.0,130700000.0
Non Current Deferred Liabilities,474900000.0,460300000.0,358200000.0,332300000.0
Non Current Deferred Taxes Liabilities,474900000.0,460300000.0,358200000.0,332300000.0
Long Term Debt And Capital Lease Obligation,4747800000.0,4820100000.0,4470100000.0,3277300000.0
Long Term Debt,4747800000.0,4820100000.0,4470100000.0,3277300000.0
Current Liabilities,2019000000.0,2015200000.0,2291300000.0,2483100000.0
Other Current Liabilities,334700000.0,296600000.0,638200000.0,612500000.0
Current Deferred Liabilities,109500000.0,132900000.0,121300000.0,108300000.0
Current Deferred Revenue,109500000.0,132900000.0,121300000.0,108300000.0
Current Debt And Capital Lease Obligation,963400000.0,967200000.0,824800000.0,1101100000.0
Current Debt,963400000.0,967200000.0,824800000.0,1101100000.0
Other Current Borrowings,,,,1101100000.0
Payables And Accrued Expenses,611400000.0,618500000.0,707000000.0,661200000.0
Current Accrued Expenses,413800000.0,367700000.0,495400000.0,502100000.0
Payables,197600000.0,250800000.0,211600000.0,159100000.0
Accounts Payable,197600000.0,250800000.0,211600000.0,159100000.0
Total Assets,12280000000.0,11547900000.0,11040900000.0,9611800000.0
Total Non Current Assets,10923700000.0,10177400000.0,9920000000.0,7133500000.0
Other Non Current Assets,306200000.0,293200000.0,353100000.0,405600000.0
Goodwill And Other Intangible Assets,8783500000.0,8297200000.0,8251000000.0,5588500000.0
Other Intangible Assets,1953600000.0,1913300000.0,1992900000.0,1092700000.0
Goodwill,6829900000.0,6383900000.0,6258100000.0,4495800000.0
Net PPE,1834000000.0,1587000000.0,1315900000.0,1139400000.0
Accumulated Depreciation,-1227800000.0,-1095100000.0,-961300000.0,-774100000.0
Gross PPE,3061800000.0,2682100000.0,2277200000.0,1913500000.0
Other Properties,,281400000.0,299600000.0,299900000.0
Machinery Furniture Equipment,2788900000.0,2420500000.0,2026900000.0,1674400000.0
Properties,272900000.0,261600000.0,250300000.0,239100000.0
Current Assets,1356300000.0,1370500000.0,1120900000.0,2478300000.0
Other Current Assets,88800000.0,93300000.0,60200000.0,59000000.0
Prepaid Assets,142500000.0,134300000.0,108400000.0,104100000.0
Receivables,908200000.0,857700000.0,727600000.0,630600000.0
Accounts Receivable,908200000.0,857700000.0,727600000.0,630600000.0
Allowance For Doubtful Accounts Receivable,-16700000.0,-19100000.0,-13900000.0,-12900000.0
Gross Accounts Receivable,924900000.0,876800000.0,741500000.0,643500000.0
Cash Cash Equivalents And Short Term Investments,216800000.0,285200000.0,224700000.0,1684600000.0
Cash And Cash Equivalents,216800000.0,285200000.0,224700000.0,1684600000.0
