,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.232,0.247,0.212,0.232
Normalized EBITDA,1579100000.0,1681300000.0,1584400000.0,1226100000.0
Net Income From Continuing Operation Net Minority Interest,545300000.0,696200000.0,744200000.0,520100000.0
Reconciled Depreciation,619800000.0,568600000.0,489600000.0,399300000.0
Reconciled Cost Of Revenue,2326100000.0,2168700000.0,1971700000.0,1729100000.0
EBITDA,1579100000.0,1681300000.0,1584400000.0,1226100000.0
EBIT,959300000.0,1112700000.0,1094800000.0,826800000.0
Net Interest Income,-241400000.0,-183000000.0,-145600000.0,-141600000.0
Interest Expense,241400000.0,183000000.0,145600000.0,141600000.0
Normalized Income,545300000.0,696200000.0,744200000.0,520100000.0
Net Income From Continuing And Discontinued Operation,545300000.0,696200000.0,744200000.0,520100000.0
Total Expenses,4331600000.0,4066200000.0,3785900000.0,3450900000.0
Total Operating Income As Reported,933600000.0,1056000000.0,1138000000.0,676600000.0
Diluted Average Shares,123900000.0,123300000.0,123600000.0,122800000.0
Basic Average Shares,122900000.0,122400000.0,121900000.0,121500000.0
Diluted EPS,4.4,5.65,6.02,4.24
Basic EPS,4.44,5.69,6.11,4.28
Diluted NI Availto Com Stockholders,545300000.0,696200000.0,744200000.0,520100000.0
Net Income Common Stockholders,545300000.0,696200000.0,744200000.0,520100000.0
Net Income,545300000.0,696200000.0,744200000.0,520100000.0
Minority Interests,-6400000.0,-4000000.0,-4300000.0,-6100000.0
Net Income Including Noncontrolling Interests,551700000.0,700200000.0,748500000.0,526200000.0
Net Income Continuous Operations,551700000.0,700200000.0,748500000.0,526200000.0
Tax Provision,166200000.0,229500000.0,200700000.0,159000000.0
Pretax Income,717900000.0,929700000.0,949200000.0,685200000.0
Other Income Expense,25700000.0,56700000.0,-43200000.0,150200000.0
Other Non Operating Income Expenses,25700000.0,56700000.0,-43200000.0,150200000.0
Net Non Operating Interest Income Expense,-241400000.0,-183000000.0,-145600000.0,-141600000.0
Interest Expense Non Operating,241400000.0,183000000.0,145600000.0,141600000.0
Operating Income,933600000.0,1056000000.0,1138000000.0,676600000.0
Operating Expense,1996500000.0,1889000000.0,1805000000.0,1713500000.0
Depreciation Amortization Depletion Income Statement,610800000.0,560100000.0,480400000.0,391000000.0
Depreciation And Amortization In Income Statement,610800000.0,560100000.0,480400000.0,391000000.0
Selling General And Administration,1385700000.0,1328900000.0,1324600000.0,1322500000.0
Gross Profit,2930100000.0,2945000000.0,2943000000.0,2390100000.0
Cost Of Revenue,2335100000.0,2177200000.0,1980900000.0,1737400000.0
Total Revenue,5265200000.0,5122200000.0,4923900000.0,4127500000.0
Operating Revenue,5265200000.0,5122200000.0,4923900000.0,4127500000.0
