,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-9299100.0,-13101809.0,-698109.0,-634712.0
Tax Rate For Calcs,0.223,0.173,0.097,0.136
Normalized EBITDA,701563000.0,788748000.0,687467000.0,513234000.0
Total Unusual Items,-41700000.0,-75733000.0,-7197000.0,-4667000.0
Total Unusual Items Excluding Goodwill,-41700000.0,-75733000.0,-7197000.0,-4667000.0
Net Income From Continuing Operation Net Minority Interest,417083000.0,419416000.0,481652000.0,327160000.0
Reconciled Depreciation,132702000.0,140049000.0,145151000.0,129243000.0
Reconciled Cost Of Revenue,3215612000.0,3238906000.0,2421941000.0,1666153000.0
EBITDA,659863000.0,713015000.0,680270000.0,508567000.0
EBIT,527161000.0,572966000.0,535119000.0,379324000.0
Net Interest Income,51124000.0,10025000.0,-1727000.0,3822000.0
Interest Expense,,,1727000.0,
Interest Income,51124000.0,10025000.0,,
Normalized Income,449483900.0,482047191.0,488150891.0,331192288.0
Net Income From Continuing And Discontinued Operation,417083000.0,419416000.0,481652000.0,327160000.0
Total Expenses,4163379000.0,4251732000.0,3215828000.0,2280154000.0
Total Operating Income As Reported,501239000.0,572966000.0,542316000.0,379324000.0
Diluted Average Shares,59085000.0,59169000.0,59064000.0,58446000.0
Basic Average Shares,57829000.0,57291000.0,56511000.0,55727000.0
Diluted EPS,7.06,7.09,8.15,5.6
Basic EPS,7.21,7.32,8.52,5.87
Diluted NI Availto Com Stockholders,417083000.0,419416000.0,481652000.0,327160000.0
Net Income Common Stockholders,417083000.0,419416000.0,481652000.0,327160000.0
Net Income,417083000.0,419416000.0,481652000.0,327160000.0
Net Income Including Noncontrolling Interests,417083000.0,419416000.0,481652000.0,327160000.0
Net Income Continuous Operations,417083000.0,419416000.0,481652000.0,327160000.0
Tax Provision,119502000.0,87842000.0,51740000.0,51319000.0
Pretax Income,536585000.0,507258000.0,533392000.0,378479000.0
Other Income Expense,-41700000.0,-75733000.0,-7197000.0,-4667000.0
Special Income Charges,-25922000.0,0.0,0.0,
Gain On Sale Of Business,-25922000.0,0.0,0.0,
Gain On Sale Of Security,-15778000.0,-75733000.0,-7197000.0,-4667000.0
Net Non Operating Interest Income Expense,51124000.0,10025000.0,-1727000.0,3822000.0
Total Other Finance Cost,,-10025000.0,1727000.0,-3822000.0
Interest Expense Non Operating,,,1727000.0,
Interest Income Non Operating,51124000.0,10025000.0,,
Operating Income,527161000.0,572966000.0,542316000.0,379324000.0
Operating Expense,906865000.0,965049000.0,732131000.0,547632000.0
Depreciation Amortization Depletion Income Statement,91800000.0,92272000.0,83395000.0,62874000.0
Depreciation And Amortization In Income Statement,91800000.0,92272000.0,83395000.0,62874000.0
Selling General And Administration,815065000.0,872777000.0,648736000.0,484758000.0
Gross Profit,1434026000.0,1538015000.0,1274447000.0,926956000.0
Cost Of Revenue,3256514000.0,3286683000.0,2483697000.0,1732522000.0
Total Revenue,4690540000.0,4824698000.0,3758144000.0,2659478000.0
Operating Revenue,4690540000.0,4824698000.0,3758144000.0,2659478000.0
