,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,15102990.0,30164820.0,67104450.0,621091.206037
Tax Rate For Calcs,0.21,0.21,0.27,0.001771
Normalized EBITDA,1419804000.0,1335851000.0,1255216000.0,1259775000.0
Total Unusual Items,71919000.0,143642000.0,248535000.0,350607000.0
Total Unusual Items Excluding Goodwill,71919000.0,143642000.0,248535000.0,350607000.0
Net Income From Continuing Operation Net Minority Interest,405825000.0,408315000.0,488554000.0,568870000.0
Reconciled Depreciation,548438000.0,539319000.0,520066000.0,525497000.0
Reconciled Cost Of Revenue,231679000.0,224622000.0,216578000.0,211584000.0
EBITDA,1491723000.0,1479493000.0,1503751000.0,1610382000.0
EBIT,943285000.0,940174000.0,983685000.0,1084885000.0
Net Interest Income,-166646000.0,-223838000.0,-104381000.0,-179634000.0
Interest Expense,212905000.0,223838000.0,203125000.0,220633000.0
Interest Income,46259000.0,,98744000.0,40999000.0
Normalized Income,349008990.0,294837820.0,307123450.0,218884091.206037
Net Income From Continuing And Discontinued Operation,405825000.0,408315000.0,488554000.0,568870000.0
Total Expenses,844288000.0,810282000.0,804150000.0,802469000.0
Total Operating Income As Reported,584342000.0,595229000.0,529995000.0,491441000.0
Diluted Average Shares,64253385.0,65098186.0,65088874.0,65564982.0
Basic Average Shares,64252232.0,65079764.0,65051465.0,65454057.0
Diluted EPS,6.32,6.27,7.51,8.69
Basic EPS,6.32,6.27,7.51,8.69
Diluted NI Availto Com Stockholders,405825000.0,408315000.0,488554000.0,569653000.0
Average Dilution Earnings,0.0,0.0,0.0,783000.0
Net Income Common Stockholders,405825000.0,408315000.0,488554000.0,568870000.0
Net Income,405825000.0,408315000.0,488554000.0,568870000.0
Minority Interests,-24883000.0,-24670000.0,-27137000.0,-30462000.0
Net Income Including Noncontrolling Interests,430708000.0,432985000.0,515691000.0,599332000.0
Net Income Continuous Operations,730380000.0,716336000.0,780560000.0,862721000.0
Tax Provision,,-10236000.0,15668000.0,1531000.0
Pretax Income,730380000.0,716336000.0,780560000.0,864252000.0
Other Income Expense,71919000.0,143642000.0,248535000.0,350607000.0
Special Income Charges,-1028000.0,-2134000.0,-19213000.0,-26299000.0
Gain On Sale Of Ppe,59238000.0,94416000.0,142993000.0,64967000.0
Other Special Charges,433000.0,2000.0,19010000.0,22883000.0
Write Off,,0.0,0.0,1825000.0
Restructuring And Mergern Acquisition,595000.0,2132000.0,203000.0,1591000.0
Earnings From Equity Interest,10561000.0,43453000.0,113981000.0,301206000.0
Gain On Sale Of Security,72947000.0,145776000.0,267748000.0,376906000.0
Net Non Operating Interest Income Expense,-166646000.0,-223838000.0,-104381000.0,-179634000.0
Interest Expense Non Operating,212905000.0,223838000.0,203125000.0,220633000.0
Interest Income Non Operating,46259000.0,,98744000.0,40999000.0
Operating Income,825107000.0,796532000.0,636406000.0,693279000.0
Operating Expense,612609000.0,585660000.0,587572000.0,590885000.0
Other Taxes,697000.0,-10236000.0,15668000.0,
Depreciation Amortization Depletion Income Statement,548438000.0,539319000.0,520066000.0,525497000.0
Depreciation And Amortization In Income Statement,548438000.0,539319000.0,520066000.0,525497000.0
Selling General And Administration,63474000.0,56577000.0,51838000.0,65388000.0
General And Administrative Expense,63474000.0,56577000.0,51838000.0,65388000.0
Other Gand A,63474000.0,56577000.0,51838000.0,65388000.0
Gross Profit,1437716000.0,1382192000.0,1223978000.0,1284164000.0
Cost Of Revenue,231679000.0,224622000.0,216578000.0,211584000.0
Total Revenue,1669395000.0,1606814000.0,1440556000.0,1495748000.0
Operating Revenue,1669395000.0,1606814000.0,1440556000.0,1495748000.0
