,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,399400000.0,397800000.0,398800000.0,398100000.0
Share Issued,399400000.0,397800000.0,398800000.0,398100000.0
Net Debt,8781000000.0,8361000000.0,8282000000.0,7620000000.0
Total Debt,9802000000.0,9114000000.0,8916000000.0,8384000000.0
Tangible Book Value,-1033000000.0,-3244000000.0,-4193000000.0,-2148000000.0
Invested Capital,28305000000.0,25693000000.0,24992000000.0,22988000000.0
Working Capital,3928000000.0,2386000000.0,299000000.0,3297000000.0
Net Tangible Assets,-1033000000.0,-3244000000.0,-4193000000.0,-2148000000.0
Capital Lease Obligations,533000000.0,459000000.0,337000000.0,326000000.0
Common Stock Equity,19036000000.0,17038000000.0,16413000000.0,14930000000.0
Total Capitalization,27280000000.0,25359000000.0,23244000000.0,21940000000.0
Total Equity Gross Minority Interest,19069000000.0,17075000000.0,16451000000.0,14973000000.0
Minority Interest,33000000.0,38000000.0,38000000.0,43000000.0
Stockholders Equity,19036000000.0,17038000000.0,16413000000.0,14930000000.0
Other Equity Interest,-1000000.0,,-1000000.0,-2000000.0
Gains Losses Not Affecting Retained Earnings,-3906000000.0,-3946000000.0,-3633000000.0,-4195000000.0
Other Equity Adjustments,-3906000000.0,-3946000000.0,-3633000000.0,
Retained Earnings,10305000000.0,8468000000.0,7594000000.0,6794000000.0
Additional Paid In Capital,12634000000.0,12512000000.0,12449000000.0,12329000000.0
Capital Stock,4000000.0,4000000.0,4000000.0,4000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Total Liabilities Net Minority Interest,19363000000.0,17939000000.0,17576000000.0,16851000000.0
Total Non Current Liabilities Net Minority Interest,11616000000.0,11579000000.0,10364000000.0,10970000000.0
Other Non Current Liabilities,1489000000.0,1443000000.0,1502000000.0,1439000000.0
Employee Benefits,948000000.0,826000000.0,1135000000.0,1918000000.0
Non Current Pension And Other Postretirement Benefit Plans,948000000.0,826000000.0,1135000000.0,1918000000.0
Non Current Deferred Liabilities,402000000.0,530000000.0,559000000.0,277000000.0
Non Current Deferred Taxes Liabilities,402000000.0,530000000.0,559000000.0,277000000.0
Long Term Debt And Capital Lease Obligation,8777000000.0,8780000000.0,7168000000.0,7336000000.0
Long Term Capital Lease Obligation,533000000.0,459000000.0,337000000.0,326000000.0
Long Term Debt,8244000000.0,8321000000.0,6831000000.0,7010000000.0
Current Liabilities,7747000000.0,6360000000.0,7212000000.0,5881000000.0
Other Current Liabilities,2681000000.0,2487000000.0,2166000000.0,2495000000.0
Current Debt And Capital Lease Obligation,1025000000.0,334000000.0,1748000000.0,1048000000.0
Current Debt,1025000000.0,334000000.0,1748000000.0,1048000000.0
Other Current Borrowings,,34000000.0,,
Commercial Paper,,300000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,676000000.0,467000000.0,501000000.0,351000000.0
Payables And Accrued Expenses,3365000000.0,3072000000.0,2797000000.0,1987000000.0
Payables,3365000000.0,3072000000.0,2797000000.0,1987000000.0
Accounts Payable,3365000000.0,3072000000.0,2797000000.0,1987000000.0
Total Assets,38432000000.0,35014000000.0,34027000000.0,31824000000.0
Total Non Current Assets,26757000000.0,26269000000.0,26516000000.0,22646000000.0
Other Non Current Assets,2052000000.0,1940000000.0,2012000000.0,1750000000.0
Non Current Deferred Assets,458000000.0,330000000.0,392000000.0,426000000.0
Non Current Deferred Taxes Assets,458000000.0,330000000.0,392000000.0,426000000.0
Goodwill And Other Intangible Assets,20069000000.0,20282000000.0,20606000000.0,17078000000.0
Other Intangible Assets,5092000000.0,5486000000.0,5855000000.0,4175000000.0
Goodwill,14977000000.0,14796000000.0,14751000000.0,12903000000.0
Net PPE,4178000000.0,3717000000.0,3506000000.0,3392000000.0
Accumulated Depreciation,-5208000000.0,-4867000000.0,-4754000000.0,-4624000000.0
Gross PPE,9386000000.0,8584000000.0,8260000000.0,8016000000.0
Other Properties,648000000.0,570000000.0,442000000.0,428000000.0
Machinery Furniture Equipment,6497000000.0,5885000000.0,5591000000.0,5404000000.0
Properties,2241000000.0,2129000000.0,2227000000.0,2184000000.0
Current Assets,11675000000.0,8746000000.0,7511000000.0,9178000000.0
Other Current Assets,852000000.0,685000000.0,677000000.0,576000000.0
Assets Held For Sale Current,,,0.0,2487000000.0
Prepaid Assets,,,677000000.0,576000000.0
Inventory,3739000000.0,3430000000.0,2969000000.0,2109000000.0
Other Inventories,,-1000000.0,,
Finished Goods,1354000000.0,1375000000.0,1253000000.0,808000000.0
Work In Process,870000000.0,781000000.0,620000000.0,498000000.0
Raw Materials,1515000000.0,1275000000.0,1096000000.0,803000000.0
Receivables,4475000000.0,4076000000.0,3297000000.0,2904000000.0
Accounts Receivable,4475000000.0,4076000000.0,3297000000.0,2904000000.0
Allowance For Doubtful Accounts Receivable,-38000000.0,-31000000.0,-42000000.0,-48000000.0
Gross Accounts Receivable,4513000000.0,4107000000.0,3339000000.0,2952000000.0
Cash Cash Equivalents And Short Term Investments,2609000000.0,555000000.0,568000000.0,1102000000.0
Other Short Term Investments,2121000000.0,261000000.0,271000000.0,664000000.0
Cash And Cash Equivalents,488000000.0,294000000.0,297000000.0,438000000.0
Cash Financial,488000000.0,294000000.0,297000000.0,438000000.0
