,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,49400000.0,38000000.0,17900000.0,12100000.0
Ordinary Shares Number,601100000.0,608300000.0,624100000.0,624300000.0
Share Issued,650500000.0,646300000.0,642000000.0,636400000.0
Total Debt,694900000.0,691300000.0,690300000.0,694900000.0
Tangible Book Value,4968100000.0,4357200000.0,4344400000.0,3069700000.0
Invested Capital,7247000000.0,6403000000.0,6431600000.0,5169300000.0
Working Capital,2840300000.0,2073400000.0,2148400000.0,2197100000.0
Net Tangible Assets,4968100000.0,4357200000.0,4344400000.0,3069700000.0
Capital Lease Obligations,97900000.0,95000000.0,94600000.0,99900000.0
Common Stock Equity,6650000000.0,5806700000.0,5835900000.0,4574300000.0
Total Capitalization,7247000000.0,6403000000.0,6431600000.0,5169300000.0
Total Equity Gross Minority Interest,6719400000.0,5806700000.0,5835900000.0,4574300000.0
Minority Interest,69400000.0,0.0,,
Stockholders Equity,6650000000.0,5806700000.0,5835900000.0,4574300000.0
Gains Losses Not Affecting Retained Earnings,-242800000.0,-254900000.0,-157700000.0,-161100000.0
Other Equity Adjustments,-242800000.0,-254900000.0,-157700000.0,-161100000.0
Treasury Stock,5024500000.0,4144000000.0,2416900000.0,1904100000.0
Retained Earnings,8992400000.0,7590000000.0,6068100000.0,4565000000.0
Additional Paid In Capital,2274400000.0,1969300000.0,1700400000.0,1438100000.0
Capital Stock,650500000.0,646300000.0,642000000.0,636400000.0
Common Stock,650500000.0,646300000.0,642000000.0,636400000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2643800000.0,2485800000.0,2666700000.0,2662800000.0
Total Non Current Liabilities Net Minority Interest,1448400000.0,1463400000.0,1634400000.0,1768900000.0
Other Non Current Liabilities,603600000.0,511200000.0,588300000.0,652900000.0
Non Current Accrued Expenses,94200000.0,143000000.0,191300000.0,233000000.0
Tradeand Other Payables Non Current,80600000.0,143400000.0,190000000.0,215300000.0
Long Term Debt And Capital Lease Obligation,670000000.0,665800000.0,664800000.0,667700000.0
Long Term Capital Lease Obligation,73000000.0,69500000.0,69100000.0,72700000.0
Long Term Debt,597000000.0,596300000.0,595700000.0,595000000.0
Current Liabilities,1195400000.0,1022400000.0,1032300000.0,893900000.0
Other Current Liabilities,15200000.0,20700000.0,3900000.0,39300000.0
Current Debt And Capital Lease Obligation,24900000.0,25500000.0,25500000.0,27200000.0
Current Capital Lease Obligation,24900000.0,25500000.0,25500000.0,27200000.0
Pensionand Other Post Retirement Benefit Plans Current,371200000.0,268700000.0,319700000.0,236700000.0
Current Provisions,12300000.0,15600000.0,19100000.0,14500000.0
Payables And Accrued Expenses,771800000.0,691900000.0,664100000.0,576200000.0
Current Accrued Expenses,448100000.0,393800000.0,360100000.0,311400000.0
Payables,323700000.0,298100000.0,304000000.0,264800000.0
Total Tax Payable,122300000.0,96200000.0,99500000.0,68300000.0
Accounts Payable,201400000.0,201900000.0,204500000.0,196500000.0
Total Assets,9363200000.0,8292500000.0,8502600000.0,7237100000.0
Total Non Current Assets,5327500000.0,5196700000.0,5321900000.0,4146100000.0
Other Non Current Assets,463700000.0,299100000.0,110800000.0,119600000.0
Non Current Deferred Assets,754600000.0,484000000.0,246700000.0,230900000.0
Non Current Deferred Taxes Assets,754600000.0,484000000.0,246700000.0,230900000.0
Investments And Advances,583900000.0,1239000000.0,1834200000.0,801600000.0
Goodwill And Other Intangible Assets,1681900000.0,1449500000.0,1491500000.0,1504600000.0
Other Intangible Assets,428400000.0,285200000.0,323600000.0,331400000.0
Goodwill,1253500000.0,1164300000.0,1167900000.0,1173200000.0
Net PPE,1843400000.0,1725100000.0,1638700000.0,1489400000.0
Accumulated Depreciation,-857400000.0,-750400000.0,-654600000.0,-598500000.0
Gross PPE,2700800000.0,2475500000.0,2293300000.0,2087900000.0
Construction In Progress,355300000.0,255200000.0,333800000.0,313300000.0
Other Properties,131900000.0,129700000.0,131300000.0,136400000.0
Machinery Furniture Equipment,863000000.0,785100000.0,701600000.0,659100000.0
Buildings And Improvements,1234200000.0,1189200000.0,1010100000.0,881500000.0
Land And Improvements,116400000.0,116300000.0,116500000.0,97600000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4035700000.0,3095800000.0,3180700000.0,3091000000.0
Other Current Assets,239300000.0,195900000.0,237100000.0,208200000.0
Prepaid Assets,146800000.0,110000000.0,85200000.0,75100000.0
Inventory,1168200000.0,875500000.0,726700000.0,802300000.0
Finished Goods,695500000.0,541700000.0,429600000.0,525600000.0
Work In Process,220100000.0,177400000.0,164300000.0,140000000.0
Raw Materials,252600000.0,156400000.0,132800000.0,136700000.0
Receivables,836900000.0,699100000.0,664900000.0,602800000.0
Other Receivables,61800000.0,56100000.0,82700000.0,88200000.0
Accounts Receivable,775100000.0,643000000.0,582200000.0,514600000.0
Allowance For Doubtful Accounts Receivable,-8300000.0,-7900000.0,-9300000.0,-9600000.0
Gross Accounts Receivable,783400000.0,650900000.0,591500000.0,524200000.0
Cash Cash Equivalents And Short Term Investments,1644500000.0,1215300000.0,1466800000.0,1402600000.0
Other Short Term Investments,500500000.0,446300000.0,604000000.0,219400000.0
Cash And Cash Equivalents,1144000000.0,769000000.0,862800000.0,1183200000.0
