,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,60848871.0,58132478.0,50252566.0,45406158.0
Ordinary Shares Number,126287327.0,128040559.0,135064296.0,138660154.0
Share Issued,187136198.0,186173037.0,185316862.0,184066312.0
Net Debt,2303700000.0,2031000000.0,2284200000.0,2153100000.0
Total Debt,2813400000.0,2768900000.0,2818600000.0,2712700000.0
Tangible Book Value,-968100000.0,-554600000.0,557800000.0,-1039600000.0
Invested Capital,4963500000.0,4760400000.0,5774600000.0,5347700000.0
Working Capital,845300000.0,915700000.0,773400000.0,863400000.0
Net Tangible Assets,-968100000.0,-554600000.0,557800000.0,-1039600000.0
Capital Lease Obligations,143300000.0,95400000.0,108800000.0,140500000.0
Common Stock Equity,2293400000.0,2086900000.0,3064800000.0,2775500000.0
Total Capitalization,4963500000.0,4161200000.0,5374600000.0,5347700000.0
Total Equity Gross Minority Interest,2293400000.0,2086900000.0,3064800000.0,2775500000.0
Minority Interest,,,,0.0
Stockholders Equity,2293400000.0,2086900000.0,3064800000.0,2775500000.0
Gains Losses Not Affecting Retained Earnings,63300000.0,37400000.0,-24600000.0,-55100000.0
Other Equity Adjustments,63300000.0,37400000.0,-24600000.0,-55100000.0
Treasury Stock,3511600000.0,3345800000.0,2738700000.0,2277700000.0
Retained Earnings,2605300000.0,2323800000.0,2807900000.0,2180200000.0
Additional Paid In Capital,3134500000.0,3069600000.0,3018300000.0,2926300000.0
Capital Stock,1900000.0,1900000.0,1900000.0,1800000.0
Common Stock,1900000.0,1900000.0,1900000.0,1800000.0
Total Liabilities Net Minority Interest,4271600000.0,4034000000.0,4871400000.0,4583200000.0
Total Non Current Liabilities Net Minority Interest,3071200000.0,2489300000.0,2900300000.0,3238100000.0
Other Non Current Liabilities,99200000.0,102800000.0,170200000.0,205400000.0
Liabilities Heldfor Sale Non Current,,0.0,148900000.0,
Employee Benefits,47300000.0,79900000.0,80900000.0,159500000.0
Non Current Pension And Other Postretirement Benefit Plans,47300000.0,79900000.0,80900000.0,159500000.0
Non Current Deferred Liabilities,111300000.0,136900000.0,81700000.0,160500000.0
Non Current Deferred Taxes Liabilities,111300000.0,136900000.0,81700000.0,160500000.0
Long Term Debt And Capital Lease Obligation,2813400000.0,2169700000.0,2418600000.0,2712700000.0
Long Term Capital Lease Obligation,143300000.0,95400000.0,108800000.0,140500000.0
Long Term Debt,2670100000.0,2074300000.0,2309800000.0,2572200000.0
Current Liabilities,1200400000.0,1544700000.0,1971100000.0,1345100000.0
Other Current Liabilities,,,363700000.0,
Current Debt And Capital Lease Obligation,,599200000.0,400000000.0,
Current Debt,,599200000.0,400000000.0,
Other Current Borrowings,,599200000.0,400000000.0,
Line Of Credit,,599200000.0,400000000.0,0.0
Payables And Accrued Expenses,1200400000.0,945500000.0,1207400000.0,1345100000.0
Current Accrued Expenses,570500000.0,469700000.0,543100000.0,617700000.0
Payables,629900000.0,475800000.0,664300000.0,727400000.0
Dividends Payable,30300000.0,29400000.0,37800000.0,36100000.0
Total Tax Payable,31500000.0,24800000.0,65500000.0,70800000.0
Accounts Payable,568100000.0,421600000.0,561000000.0,620500000.0
Total Assets,6565000000.0,6120900000.0,7936200000.0,7358700000.0
Total Non Current Assets,4519300000.0,3660500000.0,5191700000.0,5150200000.0
Other Non Current Assets,109000000.0,116400000.0,1883200000.0,247500000.0
Goodwill And Other Intangible Assets,3261500000.0,2641500000.0,2507000000.0,3815100000.0
Other Intangible Assets,1354700000.0,1000800000.0,968100000.0,1420300000.0
Goodwill,1906800000.0,1640700000.0,1538900000.0,2394800000.0
Net PPE,1148800000.0,902600000.0,801500000.0,1087600000.0
Accumulated Depreciation,-929800000.0,-830600000.0,-761300000.0,-1232700000.0
Gross PPE,2078600000.0,1733200000.0,1562800000.0,2320300000.0
Construction In Progress,383200000.0,225100000.0,141800000.0,110300000.0
Other Properties,173800000.0,118900000.0,130700000.0,170200000.0
Machinery Furniture Equipment,1147700000.0,1052200000.0,974600000.0,1411500000.0
Buildings And Improvements,320300000.0,285100000.0,270900000.0,552400000.0
Land And Improvements,53600000.0,51900000.0,44800000.0,75900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2045700000.0,2460400000.0,2744500000.0,2208500000.0
Other Current Assets,162800000.0,274800000.0,135000000.0,187300000.0
Assets Held For Sale Current,,0.0,714000000.0,
Inventory,982300000.0,1021300000.0,889500000.0,867200000.0
Finished Goods,546700000.0,628400000.0,577500000.0,443900000.0
Work In Process,83200000.0,83500000.0,64700000.0,76700000.0
Raw Materials,352400000.0,309400000.0,247300000.0,346600000.0
Receivables,534200000.0,521800000.0,580400000.0,734900000.0
Accounts Receivable,534200000.0,521800000.0,580400000.0,734900000.0
Allowance For Doubtful Accounts Receivable,-7700000.0,-5500000.0,-5700000.0,-6700000.0
Gross Accounts Receivable,541900000.0,527300000.0,586100000.0,741600000.0
Cash Cash Equivalents And Short Term Investments,366400000.0,642500000.0,425600000.0,419100000.0
Cash And Cash Equivalents,366400000.0,642500000.0,425600000.0,419100000.0
