,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-13584200.0,-6818700.0,-3183100.0,-5527800.0
Tax Rate For Calcs,0.217,0.191,0.229,0.222
Normalized EBITDA,865800000.0,1013600000.0,1013700000.0,771400000.0
Total Unusual Items,-62600000.0,-35700000.0,-13900000.0,-24900000.0
Total Unusual Items Excluding Goodwill,-62600000.0,-35700000.0,-13900000.0,-24900000.0
Net Income From Continuing Operation Net Minority Interest,405500000.0,539900000.0,559700000.0,379500000.0
Reconciled Depreciation,168800000.0,191600000.0,189100000.0,163500000.0
Reconciled Cost Of Revenue,2608100000.0,2646800000.0,2697900000.0,2018100000.0
EBITDA,803200000.0,977900000.0,999800000.0,746500000.0
EBIT,634400000.0,786300000.0,810700000.0,583000000.0
Net Interest Income,-102300000.0,-113400000.0,-82200000.0,-83800000.0
Interest Expense,116500000.0,119200000.0,84300000.0,83800000.0
Interest Income,14200000.0,5800000.0,2100000.0,
Normalized Income,454515800.0,568781300.0,570416900.0,398872200.0
Net Income From Continuing And Discontinued Operation,404500000.0,686700000.0,772400000.0,553100000.0
Total Expenses,3943700000.0,3907600000.0,3973600000.0,3029100000.0
Total Operating Income As Reported,614900000.0,774300000.0,811100000.0,567700000.0
Diluted Average Shares,127700000.0,131300000.0,139500000.0,140200000.0
Basic Average Shares,126287327.0,128040559.0,135064296.0,138660154.0
Diluted EPS,3.17,5.23,5.54,3.94
Basic EPS,3.203013,5.363144,5.718758,3.988889
Diluted NI Availto Com Stockholders,404500000.0,686700000.0,772400000.0,553100000.0
Net Income Common Stockholders,404500000.0,686700000.0,772400000.0,553100000.0
Net Income,404500000.0,686700000.0,772400000.0,553100000.0
Minority Interests,,0.0,0.0,-1300000.0
Net Income Including Noncontrolling Interests,404500000.0,686700000.0,772400000.0,554400000.0
Net Income Discontinuous Operations,-1000000.0,146800000.0,212700000.0,173600000.0
Net Income Continuous Operations,405500000.0,539900000.0,559700000.0,380800000.0
Earnings From Equity Interest Net Of Tax,,0.0,0.0,-7600000.0
Tax Provision,112400000.0,127200000.0,166700000.0,110800000.0
Pretax Income,517900000.0,667100000.0,726400000.0,499200000.0
Other Income Expense,-62300000.0,-34900000.0,-18900000.0,-9200000.0
Other Non Operating Income Expenses,300000.0,800000.0,1000000.0,4700000.0
Special Income Charges,-66000000.0,-32400000.0,-9300000.0,-23400000.0
Impairment Of Capital Assets,33500000.0,0.0,0.0,13000000.0
Restructuring And Mergern Acquisition,32500000.0,32400000.0,9300000.0,10400000.0
Earnings From Equity Interest,0.0,0.0,-5000000.0,11000000.0
Gain On Sale Of Security,3400000.0,-3300000.0,-4600000.0,-1500000.0
Net Non Operating Interest Income Expense,-102300000.0,-113400000.0,-82200000.0,-83800000.0
Interest Expense Non Operating,116500000.0,119200000.0,84300000.0,83800000.0
Interest Income Non Operating,14200000.0,5800000.0,2100000.0,
Operating Income,682500000.0,815400000.0,827500000.0,592200000.0
Operating Expense,1228900000.0,1117500000.0,1133000000.0,871700000.0
Depreciation Amortization Depletion Income Statement,62100000.0,48300000.0,46400000.0,24200000.0
Depreciation And Amortization In Income Statement,62100000.0,48300000.0,46400000.0,24200000.0
Amortization,62100000.0,48300000.0,46400000.0,24200000.0
Amortization Of Intangibles Income Statement,62100000.0,48300000.0,46400000.0,24200000.0
Selling General And Administration,1166800000.0,1069200000.0,1086600000.0,847500000.0
General And Administrative Expense,1166800000.0,1069200000.0,1086600000.0,847500000.0
Other Gand A,1168400000.0,1077900000.0,1093700000.0,848600000.0
Salaries And Wages,-1600000.0,-8700000.0,-7100000.0,-1100000.0
Gross Profit,1911400000.0,1932900000.0,1960500000.0,1463900000.0
Cost Of Revenue,2714800000.0,2790100000.0,2840600000.0,2157400000.0
Total Revenue,4626200000.0,4723000000.0,4801100000.0,3621300000.0
Operating Revenue,4626200000.0,4723000000.0,4801100000.0,3621300000.0
