,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-14513492.675405,-27120000.0,-36050000.0,-52380000.0,
Tax Rate For Calcs,0.279106,0.24,0.35,0.27,
Normalized EBITDA,3437000000.0,4164000000.0,5188000000.0,5142000000.0,
Total Unusual Items,-52000000.0,-113000000.0,-103000000.0,-194000000.0,
Total Unusual Items Excluding Goodwill,-52000000.0,-113000000.0,-103000000.0,-194000000.0,
Net Income From Continuing Operation Net Minority Interest,787000000.0,499000000.0,604000000.0,315000000.0,
Reconciled Depreciation,1737000000.0,2675000000.0,3846000000.0,4015000000.0,
Reconciled Cost Of Revenue,6323000000.0,6145000000.0,6216000000.0,5990000000.0,
EBITDA,3385000000.0,4051000000.0,5085000000.0,4948000000.0,
EBIT,1648000000.0,1376000000.0,1239000000.0,933000000.0,
Net Interest Income,-250000000.0,-621000000.0,-281000000.0,-212000000.0,
Interest Expense,351000000.0,713000000.0,298000000.0,214000000.0,
Interest Income,101000000.0,92000000.0,17000000.0,2000000.0,
Normalized Income,824486507.324595,584880000.0,670950000.0,456620000.0,
Net Income From Continuing And Discontinued Operation,1450000000.0,-6654000000.0,-16720000000.0,417000000.0,
Total Expenses,8366000000.0,8241000000.0,8398000000.0,8105000000.0,
Total Operating Income As Reported,1709000000.0,1467000000.0,1218000000.0,1040000000.0,
Diluted Average Shares,555000000.0,591000000.0,604000000.0,621000000.0,
Basic Average Shares,553000000.0,591000000.0,604000000.0,616000000.0,
Diluted EPS,2.61,-11.26,-27.74,0.67,
Basic EPS,2.62,-11.26,-27.74,0.68,
Diluted NI Availto Com Stockholders,1450000000.0,-6654000000.0,-16720000000.0,417000000.0,
Net Income Common Stockholders,1450000000.0,-6654000000.0,-16720000000.0,417000000.0,
Net Income,1450000000.0,-6654000000.0,-16720000000.0,417000000.0,
Minority Interests,-3000000.0,-7000000.0,-12000000.0,-7000000.0,
Net Income Including Noncontrolling Interests,1453000000.0,-6647000000.0,-16708000000.0,424000000.0,
Net Income Discontinuous Operations,663000000.0,-7153000000.0,-17324000000.0,102000000.0,
Net Income Continuous Operations,790000000.0,506000000.0,616000000.0,322000000.0,
Earnings From Equity Interest Net Of Tax,-145000000.0,0.0,0.0,6000000.0,
Tax Provision,362000000.0,157000000.0,325000000.0,403000000.0,
Pretax Income,1297000000.0,663000000.0,941000000.0,719000000.0,
Other Income Expense,-214000000.0,-296000000.0,-99000000.0,-303000000.0,
Other Non Operating Income Expenses,-162000000.0,-183000000.0,4000000.0,-109000000.0,
Special Income Charges,-52000000.0,-113000000.0,-103000000.0,-194000000.0,
Write Off,,,17709000000.0,202000000.0,136000000.0
Impairment Of Capital Assets,52000000.0,113000000.0,103000000.0,194000000.0,
Net Non Operating Interest Income Expense,-250000000.0,-621000000.0,-281000000.0,-212000000.0,
Interest Expense Non Operating,351000000.0,713000000.0,298000000.0,214000000.0,
Interest Income Non Operating,101000000.0,92000000.0,17000000.0,2000000.0,
Operating Income,1761000000.0,1580000000.0,1321000000.0,1234000000.0,
Operating Expense,2043000000.0,2096000000.0,2182000000.0,2115000000.0,
Other Operating Expenses,-142000000.0,,,,
Selling General And Administration,2185000000.0,2096000000.0,2182000000.0,2115000000.0,
Gross Profit,3804000000.0,3676000000.0,3503000000.0,3349000000.0,
Cost Of Revenue,6323000000.0,6145000000.0,6216000000.0,5990000000.0,
Total Revenue,10127000000.0,9821000000.0,9719000000.0,9339000000.0,
Operating Revenue,10127000000.0,9821000000.0,9719000000.0,9339000000.0,
