,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4018000000.0,5956000000.0,2395000000.0,13000000.0
Repurchase Of Capital Stock,-200000000.0,-100000000.0,-1393000000.0,0.0
Repayment Of Debt,-1657000000.0,-1762000000.0,-3603000000.0,-2799000000.0
Issuance Of Debt,4286000000.0,4026000000.0,562000000.0,2557000000.0
Issuance Of Capital Stock,,0.0,0.0,346000000.0
Capital Expenditure,-491000000.0,-472000000.0,-309000000.0,-358000000.0
Interest Paid Supplemental Data,3776000000.0,869000000.0,465000000.0,825000000.0
Income Tax Paid Supplemental Data,655000000.0,272000000.0,607000000.0,491000000.0
End Cash Position,3142000000.0,3466000000.0,2994000000.0,3147000000.0
Beginning Cash Position,3466000000.0,2994000000.0,3147000000.0,3278000000.0
Changes In Cash,-324000000.0,472000000.0,-153000000.0,-131000000.0
Financing Cash Flow,4655000000.0,-1085000000.0,5111000000.0,31400000000.0
Cash Flow From Continuing Financing Activities,4655000000.0,-1085000000.0,5111000000.0,31400000000.0
Net Other Financing Charges,-55000000.0,-85000000.0,-99000000.0,-47000000.0
Cash Dividends Paid,-1060000000.0,-927000000.0,-897000000.0,-858000000.0
Net Preferred Stock Issuance,,0.0,0.0,346000000.0
Preferred Stock Issuance,,0.0,0.0,346000000.0
Net Common Stock Issuance,-200000000.0,-100000000.0,-1393000000.0,0.0
Common Stock Payments,-200000000.0,-100000000.0,-1393000000.0,0.0
Net Issuance Payments Of Debt,748000000.0,6021000000.0,-3234000000.0,-60000000.0
Net Short Term Debt Issuance,-1881000000.0,3757000000.0,-193000000.0,182000000.0
Net Long Term Debt Issuance,2629000000.0,2264000000.0,-3041000000.0,-242000000.0
Long Term Debt Payments,-1657000000.0,-1762000000.0,-3603000000.0,-2799000000.0
Long Term Debt Issuance,4286000000.0,4026000000.0,562000000.0,2557000000.0
Investing Cash Flow,-9488000000.0,-4871000000.0,-7968000000.0,-31902000000.0
Cash Flow From Continuing Investing Activities,-9488000000.0,-4871000000.0,-7968000000.0,-31902000000.0
Net Other Investing Changes,14000000.0,49000000.0,24000000.0,19000000.0
Net Investment Purchase And Sale,-12858000000.0,5451000000.0,-3618000000.0,-31254000000.0
Sale Of Investment,7117000000.0,35165000000.0,9267000000.0,5458000000.0
Purchase Of Investment,-19975000000.0,-29714000000.0,-12885000000.0,-36712000000.0
Net Business Purchase And Sale,0.0,-851000000.0,-297000000.0,-4000000.0
Sale Of Business,0.0,66000000.0,0.0,19000000.0
Purchase Of Business,0.0,-917000000.0,-297000000.0,-23000000.0
Net PPE Purchase And Sale,-421000000.0,-470000000.0,-262000000.0,-325000000.0
Sale Of PPE,70000000.0,2000000.0,47000000.0,33000000.0
Purchase Of PPE,-491000000.0,-472000000.0,-309000000.0,-358000000.0
Operating Cash Flow,4509000000.0,6428000000.0,2704000000.0,371000000.0
Cash Flow From Continuing Operating Activities,4509000000.0,6428000000.0,2704000000.0,371000000.0
Dividend Received Cfo,46000000.0,50000000.0,55000000.0,17000000.0
Change In Working Capital,360000000.0,210000000.0,-239000000.0,-494000000.0
Change In Other Working Capital,-128000000.0,70000000.0,15000000.0,12000000.0
Change In Other Current Assets,326000000.0,646000000.0,-37000000.0,-855000000.0
Change In Payables And Accrued Expense,162000000.0,-506000000.0,-217000000.0,349000000.0
Change In Accrued Expense,162000000.0,-506000000.0,-217000000.0,349000000.0
Other Non Cash Items,801000000.0,2707000000.0,395000000.0,-1721000000.0
Stock Based Compensation,169000000.0,165000000.0,120000000.0,123000000.0
Deferred Tax,-106000000.0,-60000000.0,-14000000.0,-162000000.0
Deferred Income Tax,-106000000.0,-60000000.0,-14000000.0,-162000000.0
Depreciation Amortization Depletion,462000000.0,436000000.0,349000000.0,492000000.0
Depreciation And Amortization,462000000.0,436000000.0,349000000.0,492000000.0
Operating Gains Losses,-87000000.0,-89000000.0,-355000000.0,-408000000.0
Earnings Losses From Equity Investments,-22000000.0,-46000000.0,-46000000.0,-74000000.0
Gain Loss On Investment Securities,-31000000.0,84000000.0,16000000.0,-69000000.0
Gain Loss On Sale Of PPE,-7000000.0,-1000000.0,10000000.0,26000000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Net Income From Continuing Operations,2349000000.0,2446000000.0,2770000000.0,1427000000.0
