,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,467800000.0,194200000.0,589600000.0,400800000.0
Repurchase Of Capital Stock,-205100000.0,-100200000.0,0.0,0.0
Repayment Of Debt,-371700000.0,-732600000.0,-2498500000.0,-796700000.0
Issuance Of Debt,0.0,60900000.0,1164400000.0,223200000.0
Capital Expenditure,-225200000.0,-157900000.0,-191700000.0,-256100000.0
Interest Paid Supplemental Data,93400000.0,109200000.0,104100000.0,96000000.0
Income Tax Paid Supplemental Data,150700000.0,189200000.0,25100000.0,107800000.0
End Cash Position,951700000.0,1057100000.0,1327400000.0,4807800000.0
Beginning Cash Position,1057100000.0,1327400000.0,4807800000.0,5190200000.0
Effect Of Exchange Rate Changes,-16300000.0,12100000.0,-14000000.0,223500000.0
Changes In Cash,-89100000.0,-282400000.0,-3466400000.0,-605900000.0
Financing Cash Flow,-656500000.0,-796700000.0,-5065000000.0,-1082200000.0
Cash From Discontinued Financing Activities,0.0,0.0,-3617700000.0,-430300000.0
Cash Flow From Continuing Financing Activities,-656500000.0,-796700000.0,-1447300000.0,-651900000.0
Net Other Financing Charges,-36200000.0,-24800000.0,-113200000.0,-19200000.0
Cash Dividends Paid,-43500000.0,0.0,0.0,-59200000.0
Common Stock Dividend Paid,,,,-59200000.0
Net Common Stock Issuance,-205100000.0,-100200000.0,0.0,0.0
Common Stock Payments,-205100000.0,-100200000.0,0.0,0.0
Net Issuance Payments Of Debt,-371700000.0,-671700000.0,-1334100000.0,-573500000.0
Net Short Term Debt Issuance,-341600000.0,-200400000.0,-62000000.0,-31900000.0
Short Term Debt Payments,-341600000.0,-200400000.0,-62000000.0,-31900000.0
Net Long Term Debt Issuance,-30100000.0,-471300000.0,-1272100000.0,-541600000.0
Long Term Debt Payments,-30100000.0,-532200000.0,-2436500000.0,-764800000.0
Long Term Debt Issuance,0.0,60900000.0,1164400000.0,223200000.0
Investing Cash Flow,-125600000.0,162200000.0,817300000.0,-180600000.0
Cash From Discontinued Investing Activities,0.0,0.0,-4500000.0,-59800000.0
Cash Flow From Continuing Investing Activities,-125600000.0,162200000.0,821800000.0,-120800000.0
Net Other Investing Changes,99600000.0,31600000.0,112600000.0,87700000.0
Net Investment Purchase And Sale,,9700000.0,-1700000.0,47600000.0
Sale Of Investment,,9700000.0,27400000.0,51500000.0
Purchase Of Investment,,0.0,-29100000.0,-3900000.0
Net Business Purchase And Sale,0.0,288500000.0,900900000.0,0.0
Sale Of Business,0.0,288500000.0,900900000.0,0.0
Purchase Of Business,,0.0,-15300000.0,0.0
Capital Expenditure Reported,-225200000.0,-157900000.0,-191700000.0,-256100000.0
Operating Cash Flow,693000000.0,352100000.0,781300000.0,656900000.0
Cash From Discontinued Operating Activities,0.0,0.0,66300000.0,-115500000.0
Cash Flow From Continuing Operating Activities,693000000.0,352100000.0,715000000.0,772400000.0
Change In Working Capital,248900000.0,-100100000.0,489900000.0,704200000.0
Change In Other Working Capital,505300000.0,43000000.0,271500000.0,419800000.0
Change In Payables And Accrued Expense,62500000.0,52100000.0,93800000.0,-236400000.0
Change In Payable,62500000.0,52100000.0,93800000.0,-236400000.0
Change In Account Payable,62500000.0,52100000.0,93800000.0,-236400000.0
Change In Inventory,-91200000.0,-35000000.0,197700000.0,87400000.0
Change In Receivables,-227700000.0,-160200000.0,-73100000.0,433400000.0
Changes In Account Receivables,-227700000.0,-160200000.0,-73100000.0,433400000.0
Other Non Cash Items,40700000.0,6700000.0,-5500000.0,-32700000.0
Asset Impairment Charge,1700000.0,4700000.0,49100000.0,3273800000.0
Deferred Tax,-54200000.0,-13000000.0,-95100000.0,-31800000.0
Deferred Income Tax,-54200000.0,-13000000.0,-95100000.0,-31800000.0
Depreciation Amortization Depletion,377800000.0,377200000.0,385400000.0,412100000.0
Depreciation And Amortization,377800000.0,377200000.0,385400000.0,412100000.0
Amortization Cash Flow,,,94100000.0,123700000.0
Amortization Of Intangibles,,,94100000.0,123700000.0
Depreciation,,,291300000.0,323500000.0
Operating Gains Losses,26200000.0,113100000.0,-195800000.0,-35100000.0
Pension And Employee Benefit Expense,30800000.0,33500000.0,34300000.0,36400000.0
Earnings Losses From Equity Investments,-34200000.0,-4200000.0,-322800000.0,-58200000.0
Gain Loss On Investment Securities,29600000.0,54000000.0,30800000.0,-13300000.0
Net Income From Continuing Operations,51900000.0,-36500000.0,87000000.0,-3518100000.0
