,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1731400000.0,1449400000.0,1203800000.0,957800000.0
Repurchase Of Capital Stock,-1500500000.0,-1991200000.0,-741800000.0,-1080100000.0
Repayment Of Debt,0.0,0.0,-19500000.0,-4100000.0
Issuance Of Debt,0.0,0.0,989400000.0,0.0
Issuance Of Capital Stock,43800000.0,26100000.0,26000000.0,22100000.0
Capital Expenditure,-204100000.0,-281200000.0,-295900000.0,-125900000.0
Income Tax Paid Supplemental Data,426300000.0,260200000.0,127400000.0,39700000.0
End Cash Position,1397900000.0,1682900000.0,1319100000.0,1061800000.0
Beginning Cash Position,1682900000.0,1319100000.0,1061800000.0,1222500000.0
Effect Of Exchange Rate Changes,-800000.0,-400000.0,-100000.0,0.0
Changes In Cash,-284200000.0,364200000.0,257400000.0,-160700000.0
Financing Cash Flow,-1570400000.0,-2130300000.0,82800000.0,-1171600000.0
Cash Flow From Continuing Financing Activities,-1570400000.0,-2130300000.0,82800000.0,-1171600000.0
Net Other Financing Charges,-113700000.0,-165200000.0,-171300000.0,-109500000.0
Net Common Stock Issuance,-1456700000.0,-1965100000.0,-715800000.0,-1058000000.0
Common Stock Payments,-1500500000.0,-1991200000.0,-741800000.0,-1080100000.0
Common Stock Issuance,43800000.0,26100000.0,26000000.0,22100000.0
Net Issuance Payments Of Debt,0.0,0.0,969900000.0,-4100000.0
Net Long Term Debt Issuance,0.0,0.0,969900000.0,-4100000.0
Long Term Debt Payments,0.0,0.0,-19500000.0,-4100000.0
Long Term Debt Issuance,0.0,0.0,989400000.0,0.0
Investing Cash Flow,-649300000.0,763900000.0,-1325100000.0,-72800000.0
Cash Flow From Continuing Investing Activities,-649300000.0,763900000.0,-1325100000.0,-72800000.0
Net Other Investing Changes,300000.0,,400000.0,1300000.0
Net Investment Purchase And Sale,-437000000.0,1075900000.0,-794700000.0,92000000.0
Sale Of Investment,1418800000.0,1465000000.0,1555800000.0,1171000000.0
Purchase Of Investment,-1855800000.0,-389100000.0,-2350500000.0,-1079000000.0
Net Business Purchase And Sale,-8500000.0,-30800000.0,-234900000.0,-40200000.0
Purchase Of Business,-8500000.0,-30800000.0,-234900000.0,-40200000.0
Net PPE Purchase And Sale,-204100000.0,-281200000.0,-295900000.0,-125900000.0
Purchase Of PPE,-204100000.0,-281200000.0,-295900000.0,-125900000.0
Operating Cash Flow,1935500000.0,1730600000.0,1499700000.0,1083700000.0
Cash Flow From Continuing Operating Activities,1935500000.0,1730600000.0,1499700000.0,1083700000.0
Change In Working Capital,126100000.0,233000000.0,402400000.0,190000000.0
Change In Other Working Capital,439900000.0,632900000.0,450900000.0,280000000.0
Change In Other Current Liabilities,-21700000.0,23500000.0,-700000.0,9700000.0
Change In Other Current Assets,17700000.0,-35300000.0,-19000000.0,-4600000.0
Change In Payables And Accrued Expense,117700000.0,185400000.0,80800000.0,126300000.0
Change In Accrued Expense,160800000.0,80200000.0,93900000.0,88900000.0
Change In Payable,-43100000.0,105200000.0,-13100000.0,37400000.0
Change In Account Payable,-43100000.0,105200000.0,-13100000.0,37400000.0
Change In Prepaid Assets,-27600000.0,-7700000.0,-17700000.0,-2800000.0
Change In Inventory,-253500000.0,-109100000.0,-19400000.0,-42200000.0
Change In Receivables,-146400000.0,-456700000.0,-72500000.0,-176400000.0
Changes In Account Receivables,-146400000.0,-456700000.0,-72500000.0,-176400000.0
Other Non Cash Items,284800000.0,246900000.0,183800000.0,143400000.0
Stock Based Compensation,249000000.0,217300000.0,207900000.0,191700000.0
Amortization Of Securities,-27700000.0,4400000.0,6900000.0,1300000.0
Depreciation Amortization Depletion,113400000.0,104300000.0,84400000.0,68800000.0
Depreciation And Amortization,113400000.0,104300000.0,84400000.0,68800000.0
Amortization Cash Flow,18900000.0,23300000.0,18500000.0,13300000.0
Amortization Of Intangibles,18900000.0,23300000.0,18500000.0,13300000.0
Depreciation,94500000.0,81000000.0,65900000.0,55500000.0
Operating Gains Losses,42100000.0,68100000.0,7600000.0,
Earnings Losses From Equity Investments,42100000.0,68100000.0,7600000.0,0.0
Net Income From Continuing Operations,1147800000.0,856600000.0,606700000.0,488500000.0
