,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7421000000.0,8344000000.0,10805000000.0,7518000000.0
Repurchase Of Capital Stock,-1000000000.0,-1396000000.0,-546000000.0,-1583000000.0
Repayment Of Debt,-2250000000.0,-1500000000.0,-4750000000.0,-2500000000.0
Issuance Of Debt,1980000000.0,0.0,0.0,8184000000.0
Issuance Of Capital Stock,232000000.0,309000000.0,169000000.0,256000000.0
Capital Expenditure,-585000000.0,-728000000.0,-579000000.0,-650000000.0
Interest Paid Supplemental Data,891000000.0,907000000.0,979000000.0,951000000.0
Income Tax Paid Supplemental Data,3990000000.0,3136000000.0,2509000000.0,2639000000.0
End Cash Position,6085000000.0,5412000000.0,5338000000.0,5997000000.0
Beginning Cash Position,5412000000.0,5338000000.0,5997000000.0,11631000000.0
Effect Of Exchange Rate Changes,57000000.0,-63000000.0,-35000000.0,43000000.0
Changes In Cash,616000000.0,137000000.0,-624000000.0,-5677000000.0
Financing Cash Flow,-5125000000.0,-6469000000.0,-8877000000.0,770000000.0
Cash Flow From Continuing Financing Activities,-5126000000.0,-6469000000.0,-8877000000.0,770000000.0
Net Other Financing Charges,-278000000.0,-173000000.0,-145000000.0,-138000000.0
Cash Dividends Paid,-3809000000.0,-3709000000.0,-3605000000.0,-3449000000.0
Common Stock Dividend Paid,-3809000000.0,-3709000000.0,-3605000000.0,-3449000000.0
Net Common Stock Issuance,-768000000.0,-1087000000.0,-377000000.0,-1327000000.0
Common Stock Payments,-1000000000.0,-1396000000.0,-546000000.0,-1583000000.0
Common Stock Issuance,232000000.0,309000000.0,169000000.0,256000000.0
Net Issuance Payments Of Debt,-270000000.0,-1500000000.0,-4750000000.0,5684000000.0
Net Long Term Debt Issuance,-270000000.0,-1500000000.0,-4750000000.0,5684000000.0
Long Term Debt Payments,-2250000000.0,-1500000000.0,-4750000000.0,-2500000000.0
Long Term Debt Issuance,1980000000.0,0.0,0.0,8184000000.0
Investing Cash Flow,-2265000000.0,-2466000000.0,-3131000000.0,-14615000000.0
Cash Flow From Continuing Investing Activities,-2266000000.0,-2466000000.0,-3131000000.0,-14615000000.0
Net Other Investing Changes,,-1000000.0,19000000.0,-171000000.0
Net Investment Purchase And Sale,-528000000.0,60000000.0,-987000000.0,11948000000.0
Sale Of Investment,1844000000.0,2002000000.0,2910000000.0,32718000000.0
Purchase Of Investment,-2372000000.0,-1942000000.0,-3897000000.0,-20770000000.0
Net Business Purchase And Sale,-1152000000.0,-1797000000.0,-1584000000.0,-25742000000.0
Purchase Of Business,-1152000000.0,-1797000000.0,-1584000000.0,-25742000000.0
Capital Expenditure Reported,-585000000.0,-728000000.0,-579000000.0,-650000000.0
Operating Cash Flow,8006000000.0,9072000000.0,11384000000.0,8168000000.0
Cash Flow From Continuing Operating Activities,8005000000.0,9072000000.0,11384000000.0,8168000000.0
Change In Working Capital,-2303000000.0,-1763000000.0,489000000.0,-1638000000.0
Change In Other Working Capital,-1768000000.0,-364000000.0,-361000000.0,
Change In Payables And Accrued Expense,111000000.0,-549000000.0,571000000.0,-58000000.0
Change In Accrued Expense,458000000.0,-775000000.0,689000000.0,640000000.0
Change In Payable,-347000000.0,226000000.0,-118000000.0,-698000000.0
Change In Account Payable,-347000000.0,226000000.0,-118000000.0,80000000.0
Change In Tax Payable,,-568000000.0,-364000000.0,-778000000.0
Change In Income Tax Payable,,-568000000.0,-364000000.0,-778000000.0
Change In Prepaid Assets,39000000.0,-134000000.0,-45000000.0,-214000000.0
Change In Inventory,-842000000.0,-310000000.0,11000000.0,-195000000.0
Change In Receivables,157000000.0,-406000000.0,313000000.0,-1171000000.0
Changes In Account Receivables,157000000.0,-406000000.0,313000000.0,-1171000000.0
Other Non Cash Items,1982000000.0,1724000000.0,1515000000.0,6106000000.0
Stock Based Compensation,766000000.0,637000000.0,635000000.0,643000000.0
Asset Impairment Charge,50000000.0,2700000000.0,0.0,40000000.0
Deferred Tax,-962000000.0,-1552000000.0,-116000000.0,-214000000.0
Deferred Income Tax,-962000000.0,-1552000000.0,-116000000.0,-214000000.0
Depreciation Amortization Depletion,2693000000.0,2103000000.0,2050000000.0,1480000000.0
Depreciation And Amortization,2693000000.0,2103000000.0,2050000000.0,1480000000.0
Amortization Cash Flow,2339000000.0,1780000000.0,1721000000.0,1192000000.0
Amortization Of Intangibles,2339000000.0,1780000000.0,1721000000.0,1192000000.0
Depreciation,354000000.0,323000000.0,329000000.0,288000000.0
Operating Gains Losses,167000000.0,657000000.0,610000000.0,1662000000.0
Gain Loss On Investment Securities,167000000.0,657000000.0,610000000.0,1662000000.0
Net Income From Continuing Operations,5613000000.0,4566000000.0,6201000000.0,89000000.0
