,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,599518678.0,582896393.0,572857062.0,557603316.0
Preferred Shares Number,91998000.0,159998000.0,159998000.0,266998000.0
Ordinary Shares Number,323376354.0,334918639.0,333573254.0,344088725.0
Share Issued,922895032.0,917815032.0,906430316.0,901692041.0
Net Debt,89439000000.0,80220000000.0,58555000000.0,136264000000.0
Total Debt,333248000000.0,324199000000.0,321879000000.0,294389000000.0
Tangible Book Value,98609000000.0,98103000000.0,94520000000.0,79767000000.0
Invested Capital,436718000000.0,428531000000.0,418814000000.0,376835000000.0
Net Tangible Assets,109812000000.0,108806000000.0,105223000000.0,90970000000.0
Capital Lease Obligations,2232000000.0,2154000000.0,2288000000.0,2283000000.0
Common Stock Equity,105702000000.0,106486000000.0,99223000000.0,84729000000.0
Preferred Stock Equity,11203000000.0,10703000000.0,10703000000.0,11203000000.0
Total Capitalization,364772000000.0,371434000000.0,373392000000.0,321950000000.0
Total Equity Gross Minority Interest,116905000000.0,117189000000.0,109926000000.0,95932000000.0
Stockholders Equity,116905000000.0,117189000000.0,109926000000.0,95932000000.0
Other Equity Interest,5121000000.0,5696000000.0,4211000000.0,3468000000.0
Gains Losses Not Affecting Retained Earnings,-2918000000.0,-3010000000.0,-2068000000.0,-1434000000.0
Treasury Stock,100445000000.0,94631000000.0,91136000000.0,85940000000.0
Retained Earnings,143688000000.0,139372000000.0,131811000000.0,112947000000.0
Additional Paid In Capital,60247000000.0,59050000000.0,56396000000.0,55679000000.0
Capital Stock,11212000000.0,10712000000.0,10712000000.0,11212000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0
Preferred Stock,11203000000.0,10703000000.0,10703000000.0,11203000000.0
Total Liabilities Net Minority Interest,1524689000000.0,1324610000000.0,1354062000000.0,1067096000000.0
Preferred Securities Outside Stock Equity,363000000.0,649000000.0,840000000.0,1640000000.0
Derivative Product Liabilities,56754000000.0,54735000000.0,51953000000.0,58591000000.0
Employee Benefits,7823000000.0,7250000000.0,10867000000.0,7930000000.0
Long Term Debt And Capital Lease Obligation,250099000000.0,256399000000.0,265754000000.0,228301000000.0
Long Term Capital Lease Obligation,2232000000.0,2154000000.0,2288000000.0,2283000000.0
Long Term Debt,247867000000.0,254245000000.0,263466000000.0,226018000000.0
Current Debt And Capital Lease Obligation,83149000000.0,67800000000.0,56125000000.0,66088000000.0
Current Debt,83149000000.0,67800000000.0,56125000000.0,66088000000.0
Other Current Borrowings,81936000000.0,66082000000.0,49395000000.0,60003000000.0
Commercial Paper,1213000000.0,1718000000.0,6730000000.0,6085000000.0
Payables And Accrued Expenses,244113000000.0,273447000000.0,262437000000.0,201256000000.0
Current Accrued Expenses,10438000000.0,8733000000.0,8146000000.0,7443000000.0
Payables,233675000000.0,264714000000.0,254291000000.0,193813000000.0
Total Tax Payable,2947000000.0,2669000000.0,2360000000.0,3155000000.0
Income Tax Payable,2947000000.0,2669000000.0,2360000000.0,3155000000.0
Accounts Payable,230728000000.0,262045000000.0,251931000000.0,190658000000.0
Total Assets,1641594000000.0,1441799000000.0,1463988000000.0,1163028000000.0
Investments And Advances,573229000000.0,372461000000.0,400675000000.0,412494000000.0
Held To Maturity Securities,56835000000.0,46343000000.0,4699000000.0,4800000000.0
Available For Sale Securities,56069000000.0,70340000000.0,83402000000.0,82753000000.0
Trading Securities,426390000000.0,241832000000.0,311956000000.0,324049000000.0
Long Term Equity Investment,762000000.0,766000000.0,593000000.0,366000000.0
Goodwill And Other Intangible Assets,7093000000.0,8383000000.0,4703000000.0,4962000000.0
Other Intangible Assets,1177000000.0,2009000000.0,418000000.0,630000000.0
Goodwill,5916000000.0,6374000000.0,4285000000.0,4332000000.0
Net PPE,13415000000.0,19246000000.0,20386000000.0,25427000000.0
Accumulated Depreciation,-13640000000.0,-12190000000.0,-10180000000.0,-10120000000.0
Gross PPE,27055000000.0,31436000000.0,30566000000.0,35547000000.0
Other Properties,27055000000.0,31436000000.0,30566000000.0,35547000000.0
Receivables,148577000000.0,147027000000.0,170192000000.0,128387000000.0
Other Receivables,16082000000.0,11579000000.0,9519000000.0,7056000000.0
Accounts Receivable,132495000000.0,135448000000.0,160673000000.0,121331000000.0
Other Short Term Investments,33173000000.0,13180000000.0,25000000.0,526000000.0
Cash And Cash Equivalents,241577000000.0,241825000000.0,261036000000.0,155842000000.0
Cash Cash Equivalents And Federal Funds Sold,465382000000.0,466942000000.0,466739000000.0,263902000000.0
