,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-26670000.0,-150150000.0,-3990000.0,-38340000.0
Tax Rate For Calcs,0.21,0.21,0.21,0.27
Normalized EBITDA,1853000000.0,1571000000.0,1833000000.0,1925000000.0
Total Unusual Items,-127000000.0,-715000000.0,-19000000.0,-142000000.0
Total Unusual Items Excluding Goodwill,-127000000.0,-715000000.0,-19000000.0,-142000000.0
Net Income From Continuing Operation Net Minority Interest,70000000.0,-689000000.0,202000000.0,764000000.0
Reconciled Depreciation,1049000000.0,1001000000.0,964000000.0,883000000.0
Reconciled Cost Of Revenue,15176000000.0,16557000000.0,16953000000.0,13692000000.0
EBITDA,1726000000.0,856000000.0,1814000000.0,1783000000.0
EBIT,677000000.0,-145000000.0,850000000.0,900000000.0
Net Interest Income,-530000000.0,-507000000.0,-457000000.0,-354000000.0
Interest Expense,522000000.0,532000000.0,451000000.0,387000000.0
Interest Income,54000000.0,84000000.0,34000000.0,72000000.0
Normalized Income,170330000.0,-124150000.0,217010000.0,867660000.0
Net Income From Continuing And Discontinued Operation,70000000.0,-689000000.0,202000000.0,764000000.0
Total Expenses,17958000000.0,19371000000.0,19751000000.0,16391000000.0
Diluted Average Shares,288000000.0,285000000.0,286000000.0,264000000.0
Basic Average Shares,287000000.0,285000000.0,284000000.0,261000000.0
Diluted EPS,0.24,-2.42,0.71,2.89
Basic EPS,0.24,-2.42,0.71,2.92
Diluted NI Availto Com Stockholders,70000000.0,-689000000.0,202000000.0,764000000.0
Net Income Common Stockholders,70000000.0,-689000000.0,202000000.0,764000000.0
Net Income,70000000.0,-689000000.0,202000000.0,764000000.0
Minority Interests,10000000.0,-2000000.0,-7000000.0,-16000000.0
Net Income Including Noncontrolling Interests,60000000.0,-687000000.0,209000000.0,780000000.0
Net Income Continuous Operations,60000000.0,-687000000.0,209000000.0,780000000.0
Tax Provision,95000000.0,10000000.0,190000000.0,-267000000.0
Pretax Income,155000000.0,-677000000.0,399000000.0,513000000.0
Other Income Expense,-235000000.0,-865000000.0,-198000000.0,-220000000.0
Other Non Operating Income Expenses,-108000000.0,-150000000.0,-179000000.0,-78000000.0
Special Income Charges,-118000000.0,-628000000.0,-7000000.0,-113000000.0
Gain On Sale Of Ppe,93000000.0,104000000.0,122000000.0,20000000.0
Other Special Charges,,,14000000.0,
Impairment Of Capital Assets,125000000.0,230000000.0,0.0,0.0
Restructuring And Mergern Acquisition,86000000.0,502000000.0,129000000.0,133000000.0
Gain On Sale Of Security,-9000000.0,-87000000.0,-12000000.0,-29000000.0
Net Non Operating Interest Income Expense,-530000000.0,-507000000.0,-457000000.0,-354000000.0
Total Other Finance Cost,62000000.0,59000000.0,40000000.0,39000000.0
Interest Expense Non Operating,522000000.0,532000000.0,451000000.0,387000000.0
Interest Income Non Operating,54000000.0,84000000.0,34000000.0,72000000.0
Operating Income,920000000.0,695000000.0,1054000000.0,1087000000.0
Operating Expense,2782000000.0,2814000000.0,2798000000.0,2699000000.0
Selling General And Administration,2782000000.0,2814000000.0,2798000000.0,2699000000.0
Gross Profit,3702000000.0,3509000000.0,3852000000.0,3786000000.0
Cost Of Revenue,15176000000.0,16557000000.0,16953000000.0,13692000000.0
Total Revenue,18878000000.0,20066000000.0,20805000000.0,17478000000.0
Operating Revenue,18878000000.0,20066000000.0,20805000000.0,17478000000.0
