,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1586000000.0,1077000000.0,682000000.0,926000000.0
Repurchase Of Capital Stock,-850000000.0,-603000000.0,-695000000.0,-601000000.0
Repayment Of Debt,-37000000.0,-15000000.0,-8000000.0,-1435000000.0
Issuance Of Debt,7000000.0,16000000.0,0.0,1596000000.0
Capital Expenditure,-445000000.0,-256000000.0,-255000000.0,-197000000.0
Interest Paid Supplemental Data,109000000.0,91000000.0,87000000.0,94000000.0
Income Tax Paid Supplemental Data,615000000.0,479000000.0,377000000.0,180000000.0
End Cash Position,660000000.0,325000000.0,241000000.0,585000000.0
Beginning Cash Position,325000000.0,241000000.0,585000000.0,360000000.0
Effect Of Exchange Rate Changes,4000000.0,-14000000.0,-16000000.0,7000000.0
Changes In Cash,331000000.0,98000000.0,-328000000.0,218000000.0
Financing Cash Flow,-1278000000.0,-972000000.0,-1039000000.0,-726000000.0
Cash Flow From Continuing Financing Activities,-1278000000.0,-972000000.0,-1039000000.0,-726000000.0
Net Other Financing Charges,-40000000.0,-26000000.0,-27000000.0,-18000000.0
Proceeds From Stock Option Exercised,34000000.0,26000000.0,48000000.0,70000000.0
Cash Dividends Paid,-392000000.0,-370000000.0,-357000000.0,-338000000.0
Common Stock Dividend Paid,-392000000.0,-370000000.0,-357000000.0,-338000000.0
Net Common Stock Issuance,-850000000.0,-603000000.0,-695000000.0,-601000000.0
Common Stock Payments,-850000000.0,-603000000.0,-695000000.0,-601000000.0
Net Issuance Payments Of Debt,-30000000.0,1000000.0,-8000000.0,161000000.0
Net Short Term Debt Issuance,,1000000.0,0.0,-53000000.0
Short Term Debt Payments,,-15000000.0,0.0,-65000000.0
Short Term Debt Issuance,,16000000.0,0.0,12000000.0
Net Long Term Debt Issuance,-30000000.0,1000000.0,-8000000.0,214000000.0
Long Term Debt Payments,-37000000.0,-15000000.0,-8000000.0,-1370000000.0
Long Term Debt Issuance,7000000.0,16000000.0,0.0,1584000000.0
Investing Cash Flow,-422000000.0,-263000000.0,-226000000.0,-179000000.0
Cash Flow From Continuing Investing Activities,-422000000.0,-263000000.0,-226000000.0,-179000000.0
Net Other Investing Changes,23000000.0,-7000000.0,29000000.0,18000000.0
Net Business Purchase And Sale,,,,20000000.0
Sale Of Business,,,,20000000.0
Net PPE Purchase And Sale,,-256000000.0,-255000000.0,-197000000.0
Purchase Of PPE,,-256000000.0,-255000000.0,-197000000.0
Capital Expenditure Reported,-445000000.0,-256000000.0,-255000000.0,-197000000.0
Operating Cash Flow,2031000000.0,1333000000.0,937000000.0,1123000000.0
Cash Flow From Continuing Operating Activities,2031000000.0,1333000000.0,937000000.0,1123000000.0
Change In Working Capital,-255000000.0,-616000000.0,-495000000.0,-170000000.0
Change In Other Working Capital,-4000000.0,42000000.0,-26000000.0,24000000.0
Change In Other Current Liabilities,-82000000.0,-95000000.0,-91000000.0,13000000.0
Change In Payables And Accrued Expense,-156000000.0,443000000.0,113000000.0,95000000.0
Change In Accrued Expense,-91000000.0,218000000.0,59000000.0,15000000.0
Change In Payable,-65000000.0,225000000.0,54000000.0,80000000.0
Change In Account Payable,-65000000.0,225000000.0,54000000.0,80000000.0
Change In Tax Payable,,,,24000000.0
Change In Income Tax Payable,,,,24000000.0
Change In Prepaid Assets,101000000.0,-158000000.0,-15000000.0,-23000000.0
Change In Inventory,-16000000.0,-412000000.0,-152000000.0,-158000000.0
Change In Receivables,-98000000.0,-436000000.0,-324000000.0,-121000000.0
Changes In Account Receivables,-98000000.0,-436000000.0,-324000000.0,-121000000.0
Other Non Cash Items,76000000.0,70000000.0,50000000.0,
Stock Based Compensation,62000000.0,48000000.0,42000000.0,46000000.0
Provisionand Write Offof Assets,23000000.0,19000000.0,18000000.0,22000000.0
Asset Impairment Charge,,7000000.0,0.0,187000000.0
Deferred Tax,-9000000.0,8000000.0,27000000.0,-5000000.0
Deferred Income Tax,-9000000.0,8000000.0,27000000.0,-5000000.0
Depreciation Amortization Depletion,214000000.0,205000000.0,187000000.0,182000000.0
Depreciation And Amortization,214000000.0,205000000.0,187000000.0,182000000.0
Operating Gains Losses,17000000.0,-14000000.0,-6000000.0,106000000.0
Net Income From Continuing Operations,1903000000.0,1613000000.0,1114000000.0,755000000.0
