,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,516300000.0,198700000.0,685200000.0,850500000.0
Repurchase Of Capital Stock,0.0,-125000000.0,0.0,-47400000.0
Repayment Of Debt,-359600000.0,-206000000.0,-1220100000.0,-284100000.0
Issuance Of Debt,2600000.0,3800000.0,144000000.0,1112600000.0
Issuance Of Capital Stock,,,0.0,0.0
Capital Expenditure,-209300000.0,-174200000.0,-132700000.0,-125800000.0
Interest Paid Supplemental Data,179000000.0,161700000.0,171900000.0,182900000.0
Income Tax Paid Supplemental Data,119800000.0,177200000.0,160500000.0,81600000.0
End Cash Position,545400000.0,513100000.0,1019200000.0,1449700000.0
Beginning Cash Position,513100000.0,1019200000.0,1449700000.0,4580400000.0
Effect Of Exchange Rate Changes,7200000.0,-12700000.0,-30600000.0,-12700000.0
Changes In Cash,25100000.0,-493400000.0,-399900000.0,-3118000000.0
Financing Cash Flow,-818100000.0,-553300000.0,-1459800000.0,405900000.0
Cash Flow From Continuing Financing Activities,-818100000.0,-553300000.0,-1459800000.0,405900000.0
Net Other Financing Charges,-31500000.0,-56700000.0,-34200000.0,-19100000.0
Proceeds From Stock Option Exercised,0.0,74200000.0,30600000.0,16600000.0
Cash Dividends Paid,-388000000.0,-385300000.0,-374500000.0,-372700000.0
Common Stock Dividend Paid,-388000000.0,-385300000.0,-374500000.0,-372652000.0
Net Common Stock Issuance,0.0,-125000000.0,0.0,-47400000.0
Common Stock Payments,0.0,-125000000.0,0.0,-47400000.0
Common Stock Issuance,,,0.0,0.0
Net Issuance Payments Of Debt,-398600000.0,-60500000.0,-1081700000.0,828500000.0
Net Short Term Debt Issuance,-41600000.0,141700000.0,-5600000.0,-8600000.0
Short Term Debt Payments,,,-5600000.0,-8600000.0
Net Long Term Debt Issuance,-357000000.0,-202200000.0,-1076100000.0,837100000.0
Long Term Debt Payments,-359600000.0,-206000000.0,-1220100000.0,-275500000.0
Long Term Debt Issuance,2600000.0,3800000.0,144000000.0,1112600000.0
Investing Cash Flow,117600000.0,-313000000.0,242000000.0,-4500200000.0
Cash Flow From Continuing Investing Activities,117600000.0,-313000000.0,242000000.0,-4500200000.0
Net Other Investing Changes,-2700000.0,7500000.0,-3800000.0,38500000.0
Net Investment Purchase And Sale,0.0,-146300000.0,0.0,-4412900000.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,0.0,-146300000.0,0.0,-4412900000.0
Net Business Purchase And Sale,329600000.0,0.0,378500000.0,0.0
Sale Of Business,329600000.0,0.0,378500000.0,0.0
Purchase Of Business,,,0.0,-4412900000.0
Net PPE Purchase And Sale,-209300000.0,-174200000.0,-132700000.0,-125800000.0
Purchase Of PPE,-209300000.0,-174200000.0,-132700000.0,-125800000.0
Operating Cash Flow,725600000.0,372900000.0,817900000.0,976300000.0
Cash Flow From Continuing Operating Activities,725600000.0,372900000.0,817900000.0,976300000.0
Change In Working Capital,201600000.0,-155300000.0,-132300000.0,378800000.0
Change In Other Working Capital,4000000.0,-48500000.0,-73100000.0,63400000.0
Change In Payables And Accrued Expense,-109700000.0,-278700000.0,313200000.0,49300000.0
Change In Payable,-109700000.0,-278700000.0,313200000.0,49300000.0
Change In Account Payable,-109700000.0,-278700000.0,313200000.0,49300000.0
Change In Prepaid Assets,34700000.0,17000000.0,-30600000.0,-7500000.0
Change In Inventory,257100000.0,-184700000.0,-182300000.0,62800000.0
Change In Receivables,15500000.0,339600000.0,-159500000.0,210800000.0
Changes In Account Receivables,15500000.0,339600000.0,-159500000.0,210800000.0
Other Non Cash Items,-322900000.0,-719300000.0,-616300000.0,-429900000.0
Stock Based Compensation,72400000.0,83400000.0,97800000.0,49700000.0
Asset Impairment Charge,1307200000.0,281000000.0,0.0,71500000.0
Deferred Tax,-243500000.0,-130100000.0,36000000.0,30300000.0
Deferred Income Tax,-243500000.0,-130100000.0,36000000.0,30300000.0
Depreciation Amortization Depletion,659600000.0,788100000.0,908700000.0,652000000.0
Depreciation And Amortization,659600000.0,788100000.0,908700000.0,652000000.0
Amortization Cash Flow,531900000.0,660800000.0,745400000.0,531800000.0
Amortization Of Intangibles,531900000.0,660800000.0,745400000.0,531800000.0
Depreciation,127700000.0,127300000.0,163300000.0,120200000.0
Operating Gains Losses,539000000.0,22100000.0,88700000.0,-1500000.0
Pension And Employee Benefit Expense,,,0.0,0.0
Gain Loss On Investment Securities,,,-20100000.0,-1500000.0
Gain Loss On Sale Of Business,539000000.0,22100000.0,108800000.0,0.0
Net Income From Continuing Operations,-1487800000.0,203000000.0,435300000.0,225400000.0
