,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,226354000.0,517693000.0,-573924000.0,554137000.0,
Repurchase Of Capital Stock,0.0,0.0,-25018000.0,0.0,
Repayment Of Debt,-3483766000.0,-6261154000.0,-3120261000.0,-1817925000.0,
Issuance Of Debt,2444500000.0,5684000000.0,3653843000.0,1149287000.0,
Capital Expenditure,-37889000.0,-44056000.0,-215122000.0,-69272000.0,
End Cash Position,215354000.0,205501000.0,238413000.0,560629000.0,
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0,-1166000.0
Beginning Cash Position,205501000.0,238413000.0,560629000.0,910603000.0,
Effect Of Exchange Rate Changes,-20703000.0,8897000.0,-42815000.0,-32908000.0,
Changes In Cash,30556000.0,-41809000.0,-279401000.0,-317066000.0,
Financing Cash Flow,-1046720000.0,-580075000.0,295829000.0,-888020000.0,
Cash Flow From Continuing Financing Activities,-1046720000.0,-580075000.0,295829000.0,-888020000.0,
Net Other Financing Charges,-7454000.0,-2921000.0,-3423000.0,-9898000.0,
Cash Dividends Paid,0.0,0.0,-209312000.0,-209484000.0,
Common Stock Dividend Paid,,,-209312000.0,-209484000.0,-210385000.0
Net Common Stock Issuance,0.0,0.0,-25018000.0,0.0,
Common Stock Payments,0.0,0.0,-25018000.0,0.0,
Net Issuance Payments Of Debt,-1039266000.0,-577154000.0,533582000.0,-668638000.0,
Net Short Term Debt Issuance,89000000.0,-203500000.0,209500000.0,0.0,
Short Term Debt Payments,-1742000000.0,-2473500000.0,-1630889000.0,0.0,
Short Term Debt Issuance,1831000000.0,2270000000.0,1840389000.0,0.0,
Net Long Term Debt Issuance,-1128266000.0,-373654000.0,324082000.0,-668638000.0,
Long Term Debt Payments,-1741766000.0,-3787654000.0,-1489372000.0,-1817925000.0,
Long Term Debt Issuance,613500000.0,3414000000.0,1813454000.0,1149287000.0,
Investing Cash Flow,813033000.0,-23483000.0,-216428000.0,-52455000.0,
Cash Flow From Continuing Investing Activities,813033000.0,-23483000.0,-216428000.0,-52455000.0,
Net Other Investing Changes,12362000.0,19273000.0,9510000.0,16817000.0,
Net Business Purchase And Sale,838560000.0,1300000.0,-10816000.0,0.0,
Purchase Of Business,,,,0.0,0.0
Net Intangibles Purchase And Sale,0.0,0.0,-103000000.0,0.0,
Purchase Of Intangibles,0.0,0.0,-103000000.0,0.0,
Capital Expenditure Reported,-37889000.0,-44056000.0,-112122000.0,-69272000.0,
Operating Cash Flow,264243000.0,561749000.0,-358802000.0,623409000.0,
Cash Flow From Continuing Operating Activities,264243000.0,561749000.0,-358802000.0,623409000.0,
Change In Working Capital,145237000.0,516981000.0,-761578000.0,-117943000.0,
Change In Other Working Capital,-4662000.0,6799000.0,-2023000.0,-40768000.0,
Change In Other Current Assets,17555000.0,82672000.0,-107742000.0,-40636000.0,
Change In Payables And Accrued Expense,19198000.0,-346721000.0,-368317000.0,438089000.0,
Change In Accrued Expense,1549000.0,-152119000.0,-126760000.0,69336000.0,
Change In Payable,17649000.0,-194602000.0,-241557000.0,368753000.0,
Change In Account Payable,17649000.0,-194602000.0,-241557000.0,368753000.0,
Change In Inventory,114931000.0,599982000.0,-437641000.0,-293455000.0,
Change In Receivables,-1785000.0,174249000.0,154145000.0,-181173000.0,
Changes In Account Receivables,-1785000.0,174249000.0,154145000.0,-181173000.0,
Other Non Cash Items,13444000.0,9549000.0,14811000.0,10221000.0,
Stock Based Compensation,25845000.0,20546000.0,23457000.0,16630000.0,
Asset Impairment Charge,196494000.0,0.0,0.0,163047000.0,
Deferred Tax,-11974000.0,-84745000.0,388607000.0,3934000.0,
Deferred Income Tax,-11974000.0,-84745000.0,388607000.0,3934000.0,
Depreciation Amortization Depletion,92055000.0,105037000.0,106267000.0,114198000.0,
Depreciation And Amortization,92055000.0,105037000.0,106267000.0,114198000.0,
Amortization Cash Flow,22194000.0,29769000.0,29973000.0,32529000.0,
Amortization Of Intangibles,22194000.0,29769000.0,29973000.0,32529000.0,
Depreciation,69861000.0,75268000.0,76294000.0,81669000.0,
Operating Gains Losses,123573000.0,12107000.0,-3162000.0,356098000.0,
Gain Loss On Sale Of Business,114161000.0,3641000.0,-3162000.0,312359000.0,
Net Income From Continuing Operations,-320431000.0,-17726000.0,-127204000.0,77224000.0,
