,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2969543.147208,466367.713004,2160000.0,39146722.164412
Tax Rate For Calcs,0.045685,0.038864,0.27,0.228928
Normalized EBITDA,1607000000.0,1477000000.0,843000000.0,-309000000.0
Total Unusual Items,65000000.0,12000000.0,8000000.0,171000000.0
Total Unusual Items Excluding Goodwill,65000000.0,12000000.0,8000000.0,171000000.0
Net Income From Continuing Operation Net Minority Interest,740000000.0,633000000.0,-11000000.0,-732000000.0
Reconciled Depreciation,697000000.0,664000000.0,762000000.0,665000000.0
Reconciled Cost Of Revenue,2461000000.0,2197000000.0,1397000000.0,1133000000.0
EBITDA,1672000000.0,1489000000.0,851000000.0,-138000000.0
EBIT,975000000.0,825000000.0,89000000.0,-803000000.0
Net Interest Income,-112000000.0,-126000000.0,-189000000.0,-150000000.0
Interest Expense,187000000.0,156000000.0,191000000.0,158000000.0
Interest Income,75000000.0,30000000.0,2000000.0,8000000.0
Normalized Income,677969543.147208,621466367.713004,-16840000.0,-863853277.835588
Net Income From Continuing And Discontinued Operation,740000000.0,633000000.0,-11000000.0,-732000000.0
Total Expenses,4553000000.0,4144000000.0,3148000000.0,2573000000.0
Total Operating Income As Reported,827000000.0,775000000.0,-250000000.0,-953000000.0
Diluted Average Shares,712800000.0,717500000.0,710300000.0,705900000.0
Basic Average Shares,709700000.0,714700000.0,710300000.0,705900000.0
Diluted EPS,1.04,0.88,-0.02,-1.04
Basic EPS,1.04,0.89,-0.02,-1.04
Diluted NI Availto Com Stockholders,740000000.0,633000000.0,-11000000.0,-732000000.0
Net Income Common Stockholders,740000000.0,633000000.0,-11000000.0,-732000000.0
Net Income,740000000.0,633000000.0,-11000000.0,-732000000.0
Minority Interests,-12000000.0,-10000000.0,0.0,9000000.0
Net Income Including Noncontrolling Interests,752000000.0,643000000.0,-11000000.0,-741000000.0
Net Income Continuous Operations,752000000.0,643000000.0,-11000000.0,-741000000.0
Tax Provision,36000000.0,26000000.0,-91000000.0,-220000000.0
Pretax Income,788000000.0,669000000.0,-102000000.0,-961000000.0
Other Income Expense,142000000.0,32000000.0,345000000.0,142000000.0
Other Non Operating Income Expenses,71000000.0,17000000.0,306000000.0,1000000.0
Special Income Charges,65000000.0,12000000.0,8000000.0,171000000.0
Gain On Sale Of Ppe,,18000000.0,307000000.0,207000000.0
Other Special Charges,-65000000.0,-12000000.0,-8000000.0,36000000.0
Earnings From Equity Interest,6000000.0,3000000.0,31000000.0,-30000000.0
Net Non Operating Interest Income Expense,-112000000.0,-126000000.0,-189000000.0,-150000000.0
Interest Expense Non Operating,187000000.0,156000000.0,191000000.0,158000000.0
Interest Income Non Operating,75000000.0,30000000.0,2000000.0,8000000.0
Operating Income,758000000.0,763000000.0,-258000000.0,-953000000.0
Operating Expense,2092000000.0,1947000000.0,1751000000.0,1440000000.0
Other Operating Expenses,1280000000.0,1181000000.0,989000000.0,686000000.0
Depreciation Amortization Depletion Income Statement,697000000.0,664000000.0,762000000.0,665000000.0
Depreciation And Amortization In Income Statement,697000000.0,664000000.0,762000000.0,665000000.0
Selling General And Administration,115000000.0,102000000.0,99000000.0,89000000.0
General And Administrative Expense,115000000.0,102000000.0,99000000.0,89000000.0
Other Gand A,85000000.0,76000000.0,81000000.0,72000000.0
Salaries And Wages,30000000.0,26000000.0,18000000.0,17000000.0
Gross Profit,2850000000.0,2710000000.0,1493000000.0,487000000.0
Cost Of Revenue,2461000000.0,2197000000.0,1397000000.0,1133000000.0
Total Revenue,5311000000.0,4907000000.0,2890000000.0,1620000000.0
Operating Revenue,4826000000.0,4432000000.0,2532000000.0,1402000000.0
