,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2977000000.0,3450000000.0,920000000.0,4675000000.0
Repurchase Of Capital Stock,-1573000000.0,-2096000000.0,-79000000.0,-1820000000.0
Repayment Of Debt,-2432000000.0,-3376000000.0,-2078000000.0,-1400000000.0
Issuance Of Debt,2855000000.0,1982000000.0,5836000000.0,2088000000.0
Capital Expenditure,-1004000000.0,-1137000000.0,-1342000000.0,-964000000.0
Interest Paid Supplemental Data,394000000.0,354000000.0,285000000.0,258000000.0
Income Tax Paid Supplemental Data,997000000.0,758000000.0,227000000.0,1132000000.0
End Cash Position,4694000000.0,5061000000.0,3394000000.0,4673000000.0
Beginning Cash Position,5061000000.0,3394000000.0,4673000000.0,4054000000.0
Changes In Cash,-367000000.0,1667000000.0,-1279000000.0,619000000.0
Financing Cash Flow,-856000000.0,-1914000000.0,3015000000.0,-1955000000.0
Cash Flow From Continuing Financing Activities,-856000000.0,-1914000000.0,3015000000.0,-1955000000.0
Net Other Financing Charges,725000000.0,1968000000.0,-310000000.0,-890000000.0
Proceeds From Stock Option Exercised,,,21000000.0,49000000.0
Cash Dividends Paid,-431000000.0,-392000000.0,-354000000.0,-323000000.0
Common Stock Dividend Paid,-431000000.0,-392000000.0,-354000000.0,-323000000.0
Net Common Stock Issuance,-1573000000.0,-2096000000.0,-79000000.0,-1820000000.0
Common Stock Payments,-1573000000.0,-2096000000.0,-79000000.0,-1820000000.0
Net Issuance Payments Of Debt,423000000.0,-1394000000.0,3758000000.0,1078000000.0
Net Short Term Debt Issuance,211000000.0,-376000000.0,352000000.0,390000000.0
Short Term Debt Payments,-100000000.0,-376000000.0,0.0,
Short Term Debt Issuance,311000000.0,0.0,352000000.0,390000000.0
Net Long Term Debt Issuance,212000000.0,-1018000000.0,3406000000.0,688000000.0
Long Term Debt Payments,-2332000000.0,-3000000000.0,-2078000000.0,-1400000000.0
Long Term Debt Issuance,2544000000.0,1982000000.0,5484000000.0,2088000000.0
Investing Cash Flow,-3492000000.0,-1006000000.0,-6556000000.0,-3065000000.0
Cash Flow From Continuing Investing Activities,-3492000000.0,-1006000000.0,-6556000000.0,-3065000000.0
Net Investment Purchase And Sale,-2465000000.0,-2250000000.0,-1053000000.0,-1392000000.0
Sale Of Investment,5087000000.0,3799000000.0,6144000000.0,7733000000.0
Purchase Of Investment,-7552000000.0,-6049000000.0,-7197000000.0,-9125000000.0
Net Business Purchase And Sale,-233000000.0,2364000000.0,-4187000000.0,-709000000.0
Sale Of Business,0.0,2701000000.0,0.0,0.0
Purchase Of Business,-233000000.0,-337000000.0,-4187000000.0,-709000000.0
Net PPE Purchase And Sale,-794000000.0,-1120000000.0,-1316000000.0,-964000000.0
Sale Of PPE,210000000.0,17000000.0,26000000.0,
Purchase Of PPE,-1004000000.0,-1137000000.0,-1342000000.0,-964000000.0
Operating Cash Flow,3981000000.0,4587000000.0,2262000000.0,5639000000.0
Cash Flow From Continuing Operating Activities,3981000000.0,4587000000.0,2262000000.0,5639000000.0
Change In Working Capital,81000000.0,534000000.0,-556000000.0,2143000000.0
Change In Other Working Capital,-20000000.0,32000000.0,-65000000.0,71000000.0
Change In Other Current Liabilities,841000000.0,44000000.0,176000000.0,599000000.0
Change In Other Current Assets,-1318000000.0,-463000000.0,-491000000.0,-581000000.0
Change In Payables And Accrued Expense,915000000.0,975000000.0,104000000.0,2139000000.0
Change In Payable,915000000.0,975000000.0,104000000.0,2139000000.0
Change In Account Payable,915000000.0,975000000.0,104000000.0,2139000000.0
Change In Receivables,-337000000.0,-54000000.0,-280000000.0,-85000000.0
Changes In Account Receivables,,,,-85000000.0
Other Non Cash Items,113000000.0,70000000.0,40000000.0,49000000.0
Stock Based Compensation,175000000.0,216000000.0,180000000.0,181000000.0
Asset Impairment Charge,261000000.0,248000000.0,0.0,0.0
Deferred Tax,-167000000.0,-100000000.0,15000000.0,195000000.0
Deferred Income Tax,-167000000.0,-100000000.0,15000000.0,195000000.0
Depreciation And Amortization,917000000.0,845000000.0,713000000.0,616000000.0
Amortization Cash Flow,67000000.0,96000000.0,73000000.0,88000000.0
Amortization Of Intangibles,67000000.0,96000000.0,73000000.0,88000000.0
Depreciation,850000000.0,749000000.0,640000000.0,528000000.0
Operating Gains Losses,117000000.0,-28000000.0,-1064000000.0,-912000000.0
Earnings Losses From Equity Investments,63000000.0,4000000.0,-1194000000.0,-74000000.0
Gain Loss On Investment Securities,54000000.0,205000000.0,130000000.0,-838000000.0
Gain Loss On Sale Of Business,0.0,-237000000.0,0.0,0.0
Net Income From Continuing Operations,2484000000.0,2802000000.0,2934000000.0,3367000000.0
