,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,185503000.0,102508000.0,266592000.0,197639000.0
Repurchase Of Capital Stock,-223496000.0,-499506000.0,-134889000.0,-37884000.0
Repayment Of Debt,-16031000.0,-18126000.0,-3810000.0,-3740000.0
Issuance Of Debt,,,0.0,0.0
Capital Expenditure,-110483000.0,-110141000.0,-123108000.0,-87696000.0
Interest Paid Supplemental Data,1284000.0,3214000.0,2714000.0,2234000.0
Income Tax Paid Supplemental Data,62916000.0,113200000.0,62998000.0,85861000.0
End Cash Position,514674000.0,698209000.0,709105000.0,878553000.0
Beginning Cash Position,698209000.0,709105000.0,878553000.0,682984000.0
Effect Of Exchange Rate Changes,-5587000.0,-5948000.0,-17800000.0,19888000.0
Changes In Cash,-177948000.0,-4948000.0,-151648000.0,175681000.0
Financing Cash Flow,-236380000.0,-514549000.0,-125066000.0,-10080000.0
Cash Flow From Continuing Financing Activities,-236380000.0,-514549000.0,-125066000.0,-10080000.0
Net Other Financing Charges,,-2500000.0,-2625000.0,-1650000.0
Proceeds From Stock Option Exercised,3147000.0,5583000.0,16258000.0,33194000.0
Net Common Stock Issuance,-223496000.0,-499506000.0,-134889000.0,-37884000.0
Common Stock Payments,-223496000.0,-499506000.0,-134889000.0,-37884000.0
Net Issuance Payments Of Debt,-16031000.0,-18126000.0,-3810000.0,-3740000.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,0.0
Short Term Debt Issuance,,,0.0,0.0
Net Long Term Debt Issuance,-16031000.0,-18126000.0,-3810000.0,-3740000.0
Long Term Debt Payments,-16031000.0,-18126000.0,-3810000.0,-3740000.0
Long Term Debt Issuance,,,,0.0
Investing Cash Flow,-237554000.0,296952000.0,-416282000.0,-99574000.0
Cash Flow From Continuing Investing Activities,-237554000.0,296952000.0,-416282000.0,-99574000.0
Net Other Investing Changes,558000.0,-43000.0,-1515000.0,-7000.0
Net Investment Purchase And Sale,-158870000.0,329333000.0,-293068000.0,-12331000.0
Sale Of Investment,1073993000.0,1446355000.0,1647537000.0,1099224000.0
Purchase Of Investment,-1232863000.0,-1117022000.0,-1940605000.0,-1111555000.0
Net Business Purchase And Sale,0.0,50941000.0,0.0,-429000.0
Sale Of Business,0.0,52941000.0,0.0,0.0
Purchase Of Business,0.0,-2000000.0,0.0,-429000.0
Net PPE Purchase And Sale,-79242000.0,-83279000.0,-121699000.0,-86807000.0
Sale Of PPE,31241000.0,26862000.0,1409000.0,889000.0
Purchase Of PPE,-110483000.0,-110141000.0,-123108000.0,-87696000.0
Operating Cash Flow,295986000.0,212649000.0,389700000.0,285335000.0
Cash Flow From Continuing Operating Activities,295986000.0,212649000.0,389700000.0,285335000.0
Change In Working Capital,-54556000.0,-202221000.0,-83974000.0,-96755000.0
Change In Payables And Accrued Expense,-43959000.0,-69853000.0,91568000.0,-40031000.0
Change In Accrued Expense,-44693000.0,-43547000.0,24715000.0,-14752000.0
Change In Payable,734000.0,-26306000.0,66853000.0,-25279000.0
Change In Account Payable,-16319000.0,-12174000.0,30997000.0,-1942000.0
Change In Tax Payable,17053000.0,-14132000.0,35856000.0,-23337000.0
Change In Income Tax Payable,17053000.0,-14132000.0,35856000.0,-23337000.0
Change In Prepaid Assets,-2025000.0,22545000.0,-23697000.0,-3802000.0
Change In Inventory,1823000.0,-189013000.0,-149754000.0,-39900000.0
Change In Receivables,-10395000.0,34100000.0,-2091000.0,-13022000.0
Changes In Account Receivables,-10395000.0,34100000.0,-2091000.0,-13022000.0
Other Non Cash Items,5194000.0,6211000.0,6116000.0,8642000.0
Stock Based Compensation,39502000.0,38302000.0,37864000.0,35472000.0
Provisionand Write Offof Assets,61058000.0,153652000.0,68441000.0,70572000.0
Asset Impairment Charge,-486000.0,79949000.0,0.0,45260000.0
Amortization Of Securities,-25102000.0,-4557000.0,2502000.0,
Deferred Tax,-13789000.0,-27575000.0,-6885000.0,-12813000.0
Deferred Income Tax,-13789000.0,-27575000.0,-6885000.0,-12813000.0
Depreciation Amortization Depletion,69621000.0,90564000.0,96330000.0,94554000.0
Depreciation And Amortization,69621000.0,90564000.0,96330000.0,94554000.0
Operating Gains Losses,-4334000.0,-32438000.0,-8560000.0,-19935000.0
Net Foreign Currency Exchange Gain Loss,-4334000.0,-592000.0,-8560000.0,-19935000.0
Gain Loss On Sale Of Business,0.0,-31846000.0,0.0,0.0
Net Income From Continuing Operations,218878000.0,110762000.0,277866000.0,160338000.0
