,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-117813000.0,236086000.0,276335000.0,384314000.0
Repurchase Of Capital Stock,-196588000.0,-331210000.0,-180191000.0,-119390000.0
Repayment Of Debt,-1911100000.0,-1770600000.0,0.0,-220100000.0
Issuance Of Debt,2223600000.0,1738100000.0,0.0,222124000.0
Capital Expenditure,-1862431000.0,-1540796000.0,-947563000.0,-738545000.0
Interest Paid Supplemental Data,65561000.0,50433000.0,47016000.0,48351000.0
Income Tax Paid Supplemental Data,135385000.0,195827000.0,203740000.0,95454000.0
End Cash Position,53344000.0,51927000.0,355549000.0,313302000.0
Beginning Cash Position,51927000.0,355549000.0,313302000.0,35000000.0
Changes In Cash,1417000.0,-303622000.0,42247000.0,278302000.0
Financing Cash Flow,-57986000.0,-530434000.0,-304633000.0,-231600000.0
Cash Flow From Continuing Financing Activities,-57986000.0,-530434000.0,-304633000.0,-231600000.0
Cash Dividends Paid,-173898000.0,-166724000.0,-124442000.0,-114234000.0
Common Stock Dividend Paid,-173898000.0,-166724000.0,-124442000.0,-114234000.0
Net Common Stock Issuance,-196588000.0,-331210000.0,-180191000.0,-119390000.0
Common Stock Payments,-196588000.0,-331210000.0,-180191000.0,-119390000.0
Net Issuance Payments Of Debt,312500000.0,-32500000.0,0.0,2024000.0
Net Short Term Debt Issuance,,317500000.0,0.0,2024000.0
Short Term Debt Payments,,-1420600000.0,0.0,-220100000.0
Short Term Debt Issuance,,1738100000.0,0.0,222124000.0
Net Long Term Debt Issuance,312500000.0,-32500000.0,0.0,0.0
Long Term Debt Payments,-1911100000.0,-1770600000.0,0.0,0.0
Long Term Debt Issuance,2223600000.0,1738100000.0,0.0,0.0
Investing Cash Flow,-1685215000.0,-1550070000.0,-877018000.0,-612957000.0
Cash Flow From Continuing Investing Activities,-1685215000.0,-1550070000.0,-877018000.0,-612957000.0
Net Other Investing Changes,,,,-52000.0
Net Business Purchase And Sale,-85000000.0,-118175000.0,0.0,-12136000.0
Purchase Of Business,-85000000.0,-118175000.0,0.0,-12136000.0
Net PPE Purchase And Sale,-1600215000.0,-1431895000.0,-877018000.0,-600769000.0
Sale Of PPE,262216000.0,108901000.0,70545000.0,137776000.0
Purchase Of PPE,-1862431000.0,-1540796000.0,-947563000.0,-738545000.0
Operating Cash Flow,1744618000.0,1776882000.0,1223898000.0,1122859000.0
Cash Flow From Continuing Operating Activities,1744618000.0,1776882000.0,1223898000.0,1122859000.0
Change In Working Capital,58039000.0,-147988000.0,-269603000.0,-14567000.0
Change In Other Working Capital,62054000.0,-69025000.0,-30633000.0,57851000.0
Change In Other Current Assets,-39351000.0,-83892000.0,-15252000.0,-18038000.0
Change In Payables And Accrued Expense,-224113000.0,18879000.0,158498000.0,55378000.0
Change In Accrued Expense,-175767000.0,42717000.0,18203000.0,60860000.0
Change In Payable,-48346000.0,-23838000.0,140295000.0,-5482000.0
Change In Account Payable,-48346000.0,-23838000.0,140295000.0,-5482000.0
Change In Receivables,259449000.0,-13950000.0,-382216000.0,-109758000.0
Changes In Account Receivables,259449000.0,-13950000.0,-382216000.0,-109758000.0
Other Non Cash Items,97666000.0,83797000.0,55137000.0,45985000.0
Stock Based Compensation,79189000.0,77535000.0,61505000.0,60698000.0
Deferred Tax,15677000.0,175089000.0,53420000.0,-7056000.0
Deferred Income Tax,15677000.0,175089000.0,53420000.0,-7056000.0
Depreciation Amortization Depletion,737954000.0,644520000.0,557093000.0,527375000.0
Depreciation And Amortization,737954000.0,644520000.0,557093000.0,527375000.0
Operating Gains Losses,27806000.0,-25422000.0,5540000.0,4389000.0
Gain Loss On Sale Of PPE,27806000.0,-25422000.0,5540000.0,4389000.0
Net Income From Continuing Operations,728287000.0,969351000.0,760806000.0,506035000.0
