,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,713400000.0,-7500000.0,589700000.0,511600000.0
Repurchase Of Capital Stock,-397600000.0,-315200000.0,-443500000.0,-381100000.0
Repayment Of Debt,0.0,0.0,-423800000.0,-376200000.0
Issuance Of Debt,,0.0,0.0,792400000.0
Issuance Of Capital Stock,61900000.0,57200000.0,56400000.0,54700000.0
Capital Expenditure,-159400000.0,-105100000.0,-100000000.0,-100400000.0
Interest Paid Supplemental Data,81500000.0,67300000.0,62600000.0,87200000.0
Income Tax Paid Supplemental Data,400900000.0,253200000.0,113200000.0,84100000.0
End Cash Position,1084300000.0,897700000.0,942700000.0,1383000000.0
Beginning Cash Position,897700000.0,942700000.0,1383000000.0,1276500000.0
Effect Of Exchange Rate Changes,200000.0,-21700000.0,-12100000.0,5800000.0
Changes In Cash,186400000.0,-23300000.0,-428200000.0,100700000.0
Financing Cash Flow,-618800000.0,-528400000.0,-1131700000.0,-222400000.0
Cash Flow From Continuing Financing Activities,-618800000.0,-528400000.0,-1131700000.0,-222400000.0
Net Other Financing Charges,-2300000.0,,-61700000.0,-48100000.0
Cash Dividends Paid,-280800000.0,-270400000.0,-259100000.0,-264100000.0
Common Stock Dividend Paid,,-270400000.0,-259100000.0,-264100000.0
Net Common Stock Issuance,-335700000.0,-258000000.0,-387100000.0,-326400000.0
Common Stock Payments,-397600000.0,-315200000.0,-443500000.0,-381100000.0
Common Stock Issuance,61900000.0,57200000.0,56400000.0,54700000.0
Net Issuance Payments Of Debt,0.0,0.0,-423800000.0,416200000.0
Net Long Term Debt Issuance,0.0,0.0,-423800000.0,416200000.0
Long Term Debt Payments,0.0,0.0,-423800000.0,-376200000.0
Long Term Debt Issuance,,0.0,0.0,792400000.0
Investing Cash Flow,-67600000.0,407500000.0,13800000.0,-288900000.0
Cash Flow From Continuing Investing Activities,-67600000.0,407500000.0,13800000.0,-288900000.0
Net Other Investing Changes,-5800000.0,2500000.0,700000.0,44800000.0
Net Investment Purchase And Sale,98300000.0,435600000.0,305800000.0,250700000.0
Sale Of Investment,264900000.0,556200000.0,965700000.0,1235100000.0
Purchase Of Investment,-166600000.0,-120600000.0,-659900000.0,-984400000.0
Net Business Purchase And Sale,-700000.0,74500000.0,-192700000.0,-484000000.0
Sale Of Business,0.0,89100000.0,0.0,50000000.0
Purchase Of Business,-700000.0,-14600000.0,-192700000.0,-484000000.0
Net PPE Purchase And Sale,-159400000.0,-105100000.0,-100000000.0,-100400000.0
Purchase Of PPE,-159400000.0,-105100000.0,-100000000.0,-100400000.0
Operating Cash Flow,872800000.0,97600000.0,689700000.0,612000000.0
Cash Flow From Continuing Operating Activities,872800000.0,97600000.0,689700000.0,612000000.0
Change In Working Capital,70000000.0,-611500000.0,-204000000.0,-90500000.0
Change In Other Working Capital,361000000.0,251600000.0,128700000.0,61500000.0
Change In Payables And Accrued Expense,-172200000.0,62100000.0,9400000.0,41900000.0
Change In Accrued Expense,-20700000.0,-26400000.0,-15100000.0,43100000.0
Change In Payable,-151500000.0,88500000.0,24500000.0,-1200000.0
Change In Account Payable,-51900000.0,67400000.0,200000.0,56000000.0
Change In Tax Payable,-99600000.0,21100000.0,24300000.0,-57200000.0
Change In Income Tax Payable,-99600000.0,21100000.0,24300000.0,-57200000.0
Change In Prepaid Assets,182200000.0,-299000000.0,-249900000.0,-117800000.0
Change In Inventory,-484400000.0,-394200000.0,-60400000.0,
Change In Receivables,183400000.0,-232000000.0,-31800000.0,-76100000.0
Changes In Account Receivables,183400000.0,-232000000.0,-31800000.0,-76100000.0
Other Non Cash Items,40700000.0,40300000.0,44900000.0,39400000.0
Stock Based Compensation,279400000.0,209300000.0,222600000.0,190200000.0
Provisionand Write Offof Assets,109800000.0,36900000.0,4900000.0,
Asset Impairment Charge,28000000.0,5100000.0,16300000.0,
Deferred Tax,-262100000.0,-222500000.0,71700000.0,-52300000.0
Deferred Income Tax,-262100000.0,-222500000.0,71700000.0,-52300000.0
Depreciation Amortization Depletion,194700000.0,217700000.0,237400000.0,212400000.0
Depreciation And Amortization,194700000.0,217700000.0,237400000.0,212400000.0
Depreciation,194700000.0,217700000.0,237400000.0,212400000.0
Operating Gains Losses,102100000.0,-48700000.0,43200000.0,55000000.0
Earnings Losses From Equity Investments,9600000.0,4800000.0,0.0,
Gain Loss On Investment Securities,97300000.0,-20400000.0,-12700000.0,
Gain Loss On Sale Of PPE,-4800000.0,12700000.0,-4700000.0,
Gain Loss On Sale Of Business,0.0,-45800000.0,0.0,
Net Income From Continuing Operations,310200000.0,471000000.0,252700000.0,257800000.0
