,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-15901200.0,3887200.0,-15891500.0,-3071600.0
Tax Rate For Calcs,0.084,0.113,0.185,0.028
Normalized EBITDA,813000000.0,778200000.0,684200000.0,664300000.0
Total Unusual Items,-189300000.0,34400000.0,-85900000.0,-109700000.0
Total Unusual Items Excluding Goodwill,-189300000.0,34400000.0,-85900000.0,-109700000.0
Net Income From Continuing Operation Net Minority Interest,310200000.0,471000000.0,252700000.0,257800000.0
Reconciled Depreciation,194700000.0,217700000.0,237400000.0,212400000.0
Reconciled Cost Of Revenue,2362600000.0,2342900000.0,1995300000.0,1871400000.0
EBITDA,623700000.0,812600000.0,598300000.0,554600000.0
EBIT,429000000.0,594900000.0,360900000.0,342200000.0
Net Interest Income,-29400000.0,-39000000.0,-35900000.0,-40700000.0
Interest Expense,80000000.0,58600000.0,50800000.0,77000000.0
Interest Income,50600000.0,19600000.0,14900000.0,36300000.0
Normalized Income,483598800.0,440487200.0,322708500.0,364428400.0
Net Income From Continuing And Discontinued Operation,310200000.0,471000000.0,252700000.0,257800000.0
Total Expenses,4996400000.0,4761900000.0,4305000000.0,4024000000.0
Total Operating Income As Reported,470100000.0,519100000.0,387500000.0,353100000.0
Diluted Average Shares,325900000.0,329500000.0,331600000.0,335200000.0
Basic Average Shares,320000000.0,322100000.0,324400000.0,330400000.0
Diluted EPS,0.95,1.43,0.76,0.77
Basic EPS,0.97,1.46,0.78,0.78
Diluted NI Availto Com Stockholders,310200000.0,471000000.0,252700000.0,257800000.0
Net Income Common Stockholders,310200000.0,471000000.0,252700000.0,257800000.0
Net Income,310200000.0,471000000.0,252700000.0,257800000.0
Net Income Including Noncontrolling Interests,310200000.0,471000000.0,252700000.0,257800000.0
Net Income Continuous Operations,310200000.0,471000000.0,252700000.0,257800000.0
Earnings From Equity Interest Net Of Tax,-9600000.0,-4800000.0,0.0,
Tax Provision,29200000.0,60500000.0,57400000.0,7400000.0
Pretax Income,349000000.0,536300000.0,310100000.0,265200000.0
Other Income Expense,-189700000.0,36000000.0,-84400000.0,-115200000.0
Other Non Operating Income Expenses,-400000.0,1600000.0,1500000.0,-5500000.0
Special Income Charges,-98000000.0,25600000.0,-103500000.0,-123000000.0
Gain On Sale Of Business,0.0,45800000.0,0.0,
Other Special Charges,,,60600000.0,55000000.0
Restructuring And Mergern Acquisition,98000000.0,20200000.0,42900000.0,68000000.0
Gain On Sale Of Security,-91300000.0,8800000.0,17600000.0,13300000.0
Net Non Operating Interest Income Expense,-29400000.0,-39000000.0,-35900000.0,-40700000.0
Interest Expense Non Operating,80000000.0,58600000.0,50800000.0,77000000.0
Interest Income Non Operating,50600000.0,19600000.0,14900000.0,36300000.0
Operating Income,568100000.0,539300000.0,430400000.0,421100000.0
Operating Expense,2633800000.0,2419000000.0,2309700000.0,2152600000.0
Research And Development,1144400000.0,1036100000.0,1007200000.0,958400000.0
Selling General And Administration,1489400000.0,1382900000.0,1302500000.0,1194200000.0
Selling And Marketing Expense,1233900000.0,1133400000.0,1052700000.0,938800000.0
General And Administrative Expense,255500000.0,249500000.0,249800000.0,255400000.0
Other Gand A,255500000.0,249500000.0,249800000.0,255400000.0
Gross Profit,3201900000.0,2958300000.0,2740100000.0,2573700000.0
Cost Of Revenue,2362600000.0,2342900000.0,1995300000.0,1871400000.0
Total Revenue,5564500000.0,5301200000.0,4735400000.0,4445100000.0
Operating Revenue,5564500000.0,5301200000.0,4735400000.0,4445100000.0
