,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,25704070.481462,-69288450.0,2187401.9696,819931.419568
Tax Rate For Calcs,0.094659,0.21,0.004536,0.001054
Normalized EBITDA,1129835000.0,1106072000.0,862363000.0,625826000.0
Total Unusual Items,271545000.0,-329945000.0,482216000.0,777907000.0
Total Unusual Items Excluding Goodwill,271545000.0,-329945000.0,482216000.0,777907000.0
Net Income From Continuing Operation Net Minority Interest,654273000.0,125976000.0,844059000.0,1000833000.0
Reconciled Depreciation,507265000.0,505000000.0,395320000.0,266440000.0
Reconciled Cost Of Revenue,556718000.0,530907000.0,417911000.0,365484000.0
EBITDA,1401380000.0,776127000.0,1344579000.0,1403733000.0
EBIT,894115000.0,271127000.0,949259000.0,1114778000.0
Net Interest Income,-250201000.0,-226823000.0,-204133000.0,-186904000.0
Interest Expense,250201000.0,226823000.0,204133000.0,186904000.0
Normalized Income,408432070.481462,386632550.0,364030401.9696,223745931.419568
Net Income From Continuing And Discontinued Operation,654273000.0,125976000.0,844059000.0,1000833000.0
Total Expenses,1200790000.0,1155441000.0,917352000.0,725141000.0
Rent Expense Supplemental,15997000.0,15811000.0,13773000.0,11270000.0
Total Operating Income As Reported,638777000.0,565464000.0,424286000.0,332612000.0
Diluted Average Shares,618199000.0,617858000.0,511385000.0,431633000.0
Basic Average Shares,616947000.0,615528000.0,506248000.0,429950000.0
Diluted EPS,1.02,0.16,1.6,2.25
Basic EPS,1.02,0.16,1.61,2.26
Diluted NI Availto Com Stockholders,628809000.0,98576000.0,818688000.0,971391000.0
Average Dilution Earnings,53000.0,0.0,3087000.0,161000.0
Net Income Common Stockholders,628756000.0,98576000.0,815601000.0,971230000.0
Otherunder Preferred Stock Dividend,496000.0,2182000.0,3042000.0,4187000.0
Preferred Stock Dividends,25021000.0,25218000.0,25416000.0,25416000.0
Net Income,654273000.0,125976000.0,844059000.0,1000833000.0
Minority Interests,-11676000.0,11442000.0,-5637000.0,-2044000.0
Net Income Including Noncontrolling Interests,665949000.0,114534000.0,849696000.0,1002877000.0
Net Income Extraordinary,,,,28628000.0
Net Income Continuous Operations,665949000.0,114534000.0,849696000.0,1002877000.0
Earnings From Equity Interest Net Of Tax,82987000.0,126884000.0,107950000.0,75981000.0
Tax Provision,60952000.0,56654000.0,3380000.0,978000.0
Pretax Income,643914000.0,44304000.0,745126000.0,927874000.0
Other Income Expense,311505000.0,-301116000.0,502026000.0,782026000.0
Other Non Operating Income Expenses,39960000.0,28829000.0,19810000.0,4119000.0
Special Income Charges,-18809000.0,-29616000.0,-53788000.0,-14162000.0
Other Special Charges,,7658000.0,,7538000.0
Impairment Of Capital Assets,14043000.0,21958000.0,3597000.0,6624000.0
Restructuring And Mergern Acquisition,4766000.0,0.0,50191000.0,0.0
Gain On Sale Of Security,290354000.0,-300329000.0,536004000.0,792069000.0
Net Non Operating Interest Income Expense,-250201000.0,-226823000.0,-204133000.0,-186904000.0
Interest Expense Non Operating,250201000.0,226823000.0,204133000.0,186904000.0
Operating Income,582610000.0,572243000.0,447233000.0,332752000.0
Operating Expense,644072000.0,624534000.0,499441000.0,382172000.0
Other Operating Expenses,,,222882000.0,174038000.0
Provision For Doubtful Accounts,,,,0.0
Depreciation Amortization Depletion Income Statement,507265000.0,505000000.0,395320000.0,288955000.0
Depreciation And Amortization In Income Statement,507265000.0,505000000.0,395320000.0,288955000.0
Selling General And Administration,136807000.0,119534000.0,104121000.0,93217000.0
General And Administrative Expense,136807000.0,119534000.0,104121000.0,93217000.0
Other Gand A,136807000.0,119534000.0,104121000.0,93217000.0
Gross Profit,1226682000.0,1196777000.0,946674000.0,714924000.0
Cost Of Revenue,556718000.0,530907000.0,417911000.0,342969000.0
Total Revenue,1783400000.0,1727684000.0,1364585000.0,1057893000.0
Operating Revenue,1783400000.0,1727684000.0,1364585000.0,1057893000.0
