,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,50000000.0,267000000.0,246000000.0,219000000.0
Ordinary Shares Number,110712124.0,111000000.0,131000000.0,158000000.0
Share Issued,160712124.0,378000000.0,377000000.0,377000000.0
Net Debt,1547000000.0,1844000000.0,323000000.0,180000000.0
Total Debt,7376000000.0,7566000000.0,6785000000.0,6739000000.0
Tangible Book Value,3893000000.0,3763000000.0,4661000000.0,5196000000.0
Invested Capital,5623000000.0,5760000000.0,6571000000.0,7647000000.0
Working Capital,798000000.0,621000000.0,1737000000.0,2813000000.0
Net Tangible Assets,3893000000.0,3763000000.0,4661000000.0,5196000000.0
Capital Lease Obligations,5646000000.0,5569000000.0,4875000000.0,4288000000.0
Common Stock Equity,3893000000.0,3763000000.0,4661000000.0,5196000000.0
Total Capitalization,5531000000.0,5400000000.0,6571000000.0,7647000000.0
Total Equity Gross Minority Interest,3893000000.0,3763000000.0,4661000000.0,5196000000.0
Stockholders Equity,3893000000.0,3763000000.0,4661000000.0,5196000000.0
Treasury Stock,2571000000.0,13715000000.0,12975000000.0,11595000000.0
Retained Earnings,2934000000.0,13995000000.0,14257000000.0,13468000000.0
Additional Paid In Capital,3528000000.0,3479000000.0,3375000000.0,3319000000.0
Capital Stock,2000000.0,4000000.0,4000000.0,4000000.0
Common Stock,2000000.0,4000000.0,4000000.0,4000000.0
Total Liabilities Net Minority Interest,10116000000.0,10582000000.0,10393000000.0,10141000000.0
Total Non Current Liabilities Net Minority Interest,7504000000.0,7467000000.0,7107000000.0,7119000000.0
Other Non Current Liabilities,298000000.0,337000000.0,379000000.0,354000000.0
Non Current Deferred Liabilities,107000000.0,129000000.0,206000000.0,302000000.0
Non Current Deferred Taxes Liabilities,107000000.0,129000000.0,206000000.0,302000000.0
Long Term Debt And Capital Lease Obligation,7099000000.0,7001000000.0,6522000000.0,6463000000.0
Long Term Capital Lease Obligation,5461000000.0,5364000000.0,4612000000.0,4012000000.0
Long Term Debt,1638000000.0,1637000000.0,1910000000.0,2451000000.0
Current Liabilities,2612000000.0,3115000000.0,3286000000.0,3022000000.0
Current Deferred Liabilities,327000000.0,356000000.0,353000000.0,339000000.0
Current Deferred Revenue,327000000.0,356000000.0,353000000.0,339000000.0
Current Debt And Capital Lease Obligation,277000000.0,565000000.0,263000000.0,276000000.0
Current Capital Lease Obligation,185000000.0,205000000.0,263000000.0,276000000.0
Current Debt,92000000.0,360000000.0,,
Other Current Borrowings,,275000000.0,,
Line Of Credit,92000000.0,85000000.0,0.0,
Payables And Accrued Expenses,2008000000.0,2194000000.0,2670000000.0,2407000000.0
Current Accrued Expenses,672000000.0,668000000.0,700000000.0,725000000.0
Payables,1336000000.0,1526000000.0,1970000000.0,1682000000.0
Total Tax Payable,202000000.0,196000000.0,287000000.0,206000000.0
Income Tax Payable,40000000.0,12000000.0,106000000.0,10000000.0
Accounts Payable,1134000000.0,1330000000.0,1683000000.0,1476000000.0
Total Assets,14009000000.0,14345000000.0,15054000000.0,15337000000.0
Total Non Current Assets,10599000000.0,10609000000.0,10031000000.0,9502000000.0
Other Non Current Assets,148000000.0,138000000.0,140000000.0,141000000.0
Non Current Deferred Assets,32000000.0,46000000.0,39000000.0,42000000.0
Non Current Deferred Taxes Assets,32000000.0,46000000.0,39000000.0,42000000.0
Non Current Accounts Receivable,200000000.0,195000000.0,300000000.0,232000000.0
Goodwill And Other Intangible Assets,,1345790000.0,1318670000.0,
Other Intangible Assets,,1345790000.0,1318670000.0,
Net PPE,10219000000.0,10230000000.0,9552000000.0,9087000000.0
Accumulated Depreciation,-7214000000.0,-7281000000.0,-8061000000.0,-7583000000.0
Gross PPE,17433000000.0,17511000000.0,17613000000.0,16670000000.0
Construction In Progress,56000000.0,49000000.0,84000000.0,313000000.0
Other Properties,2499000000.0,2304000000.0,2248000000.0,5253000000.0
Machinery Furniture Equipment,3044000000.0,3387000000.0,4383000000.0,1267000000.0
Buildings And Improvements,10746000000.0,10671000000.0,9789000000.0,8746000000.0
Land And Improvements,1088000000.0,1100000000.0,1109000000.0,1091000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3410000000.0,3736000000.0,5023000000.0,5835000000.0
Other Current Assets,14000000.0,14000000.0,15000000.0,13000000.0
Prepaid Assets,166000000.0,170000000.0,164000000.0,172000000.0
Inventory,2880000000.0,3189000000.0,3067000000.0,2590000000.0
Finished Goods,2880000000.0,3189000000.0,3067000000.0,2590000000.0
Receivables,167000000.0,210000000.0,190000000.0,789000000.0
Other Receivables,157000000.0,183000000.0,175000000.0,179000000.0
Taxes Receivable,10000000.0,27000000.0,15000000.0,610000000.0
Cash Cash Equivalents And Short Term Investments,183000000.0,153000000.0,1587000000.0,2271000000.0
Cash And Cash Equivalents,183000000.0,153000000.0,1587000000.0,2271000000.0
